index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,1,1380,92.6174,0.926174,39.4,23,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,0.926174496644295,0.261574499313259,0.282424640562867,0.01,JOA-3-MGE-L225
1,NR_025230.1,1,1411,7,1351,95.7477,6.44791,38.2,2.86,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,6.44790928419561,1.50529121905901,0.233454155868571,0.04,JOA-3-MGE-L225
2,NR_025300.1,1,1495,6,1398,93.5117,5.39933,39.9,2.83,77768,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella albensis,5.39933110367893,1.62201209830795,0.300409822469076,0.03,JOA-3-MGE-L225
3,NR_025514.1,1,1518,240,1406,92.6219,216.668,37.8,21.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,216.667984189723,62.5174816106855,0.288540468239842,1.23,JOA-3-MGE-L225
4,NR_025518.1,1,1494,30,1358,90.8969,25.7851,38.9,17.4,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,25.785140562249,9.06322327628061,0.351490163662312,0.15,JOA-3-MGE-L225
5,NR_025525.1,1,1475,1,1349,91.4576,0.914576,39.5,60,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.914576271186441,0.279606005716063,0.305721911364857,0.01,JOA-3-MGE-L225
6,NR_025567.1,1,1498,1,1379,92.0561,0.920561,39.9,18,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,0.920560747663551,0.270513414941481,0.293857212169933,0.01,JOA-3-MGE-L225
7,NR_026075.1,1,1468,2,1130,76.9755,1.52725,39.7,3,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,1.52724795640327,0.842752526682437,0.551811199451301,0.01,JOA-3-MGE-L225
8,NR_026100.1,1,1499,1,1350,90.06,0.9006,37.6,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,0.900600400266845,0.299297642040853,0.332331233643881,0.01,JOA-3-MGE-L225
9,NR_026312.1,1,1482,1,1149,77.5304,0.775304,38.2,1,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.775303643724696,0.417523091955668,0.538528478919321,0.01,JOA-3-MGE-L225
