index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,3,1387,93.0872,2.76711,36.9,1,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,2.76711409395973,0.776669799574789,0.280678632395449,0.02,WOL-44-DRS-L177
1,NR_025230.1,1,1411,3,1351,95.7477,2.66903,40.7,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,2.6690290574061,0.708828105786044,0.265575267462589,0.02,WOL-44-DRS-L177
2,NR_025452.1,1,1380,1,1130,81.8841,0.818841,38.4,1,158787,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,0.818840579710145,0.385289833670768,0.470530947314743,0.01,WOL-44-DRS-L177
3,NR_025514.1,1,1518,58,1406,92.6219,52.0132,37.6,10,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,52.0131752305665,15.1204292492814,0.290703829986437,0.47,WOL-44-DRS-L177
4,NR_025525.1,1,1475,1,1353,91.7288,0.917288,41.7,55,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.91728813559322,0.275539624179156,0.300385030054881,0.01,WOL-44-DRS-L177
5,NR_025567.1,1,1498,4,1390,92.7904,3.67757,36.6,15.5,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,3.67757009345794,1.05026203274944,0.28558586405131,0.03,WOL-44-DRS-L177
6,NR_025672.1,1,1523,1,1106,72.6198,0.726198,31.2,1,212365,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium porcinum,0.726198292843073,0.446054898505395,0.614232920817103,0.01,WOL-44-DRS-L177
7,NR_025934.1,1,1470,1,1373,93.4014,0.934014,42.7,60,2718,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,Cardiobacterium hominis,0.934013605442177,0.248342798349575,0.265887773906682,0.01,WOL-44-DRS-L177
8,NR_025981.1,1,1477,5,1353,91.6046,4.51117,38.2,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,4.51117129316182,1.41877310486131,0.314502157568686,0.04,WOL-44-DRS-L177
9,NR_026100.1,1,1499,2,1362,90.8606,1.78185,37.8,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.78185456971314,0.594627956013025,0.333712956219964,0.02,WOL-44-DRS-L177
10,NR_026312.1,1,1482,3,1133,76.4507,2.23549,38.4,4,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.23549257759784,1.26736768848317,0.566929946976173,0.02,WOL-44-DRS-L177
