tax	BUD-16-DRS-L161	CHA-41-DRS-L176	CHA-57-DRS-L131	EXP-PBC096_barcode56	EXP-PBC096_barcode92	EXP-PBC096_barcode96	GIN-43-DRS-L130	GIN-66-DRS-L155	GOO-4-DRS-L222	GOO-4-MGE-L223	GRO-36-MGE-L214	GRO-41-DRS-L189	GRO-41-MGE-L190	GRO-70-DRS-L217	HAM-17-MGE-L175	HAM-4-DRS-L132	HAM-4-MGE-L133	HAM-67-DRS-L207	HAM-67-MGE-L208	HER-17-MGE-L187	HER-2-DRS-L145	HER-2-MGE-L146	HER-44-DRS-L137	HER-44-MGE-L138	HER-58-DRS-L179	HER-58-MGE-L180	IRI-16-DRS-L147	IRI-16-MGE-L148	IRI-36-MGE-L134	IVY-36-MGE-L188	JAR-2-DRS-L159	JAR-2-MGE-L160	JAR-3-DRS-L220	JAR-3-MGE-L221	JAR-44-DRS-L203	JAR-44-MGE-L204	JOA-3-MGE-L225	KOR-44-DRS-L191	KOR-44-MGE-L192	KOR-58-MGE-L215	KUB-58-DRS-L205	KUB-58-MGE-L206	LAM-2-DRS-L218	LAM-2-MGE-L219	LAM-70-DRS-L143	LAM-70-MGE-L144	MAR-37-MGE-L224	MAR-41-MGE-L202	MAR-70-DRS-L209	PAD-1-MGE-L96	WOL-44-DRS-L177	WOL-44-MGE-L178	WOL-70-DRS-L157	WOL-70-MGE-L158	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	695	5	5470	0	0	0	2821	9895	2	35	114	530	589	55	4	2403	1798	10	20	7	1797	4402	5	9	4	7	13	8	10	7460	7125	8131	4502	4270	5	14	12264	4890	6626	14398	3842	5091	4183	3688	7671	12271	2217	4552	107	41	7	18	15	12	144108
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	7	2162	5613	0	0	0	3	0	0	18	1220	1100	1650	743	5525	1730	2165	2211	3987	6374	968	3367	1870	3102	4377	4135	2	0	7	0	2815	3380	3680	3353	2783	3194	1869	2234	5014	685	7	1	3291	2816	3	3	2240	2527	822	42	2	2	0	1	93100
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	7	3	39	0	0	0	16	455	1	17	3959	2667	3417	2846	7690	8726	6273	6306	7958	3247	1350	3622	3890	5832	5807	3793	4	3	14	11	326	273	725	542	4642	4359	16	7	14	7	8	10	470	341	7	4	13	9	1899	8	14	14	15	21	91697
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	4	2	22	0	0	0	2	3	1	14	9576	14252	13670	9470	0	6	0	2	6	3	0	4	1	5	3	4	1	2	5	129	102	49	54	42	2	8	30	4	1	8	8	1	46	35	16	16	6508	3690	7082	1	0	2	1	9	64902
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	199	18	1308	0	0	0	414	1771	0	10	310	725	1100	417	1982	1216	1511	1341	3082	1681	865	1826	646	1394	584	532	397	485	4642	1341	2274	1641	1300	1169	766	1166	740	1174	817	251	1599	2629	1790	1057	88	68	1254	2097	209	13	1673	2530	1723	2178	60003
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	851	2737	1581	0	0	0	83	689	1	7	225	346	617	156	731	1520	1045	1567	1462	390	106	282	752	1289	1148	618	241	276	343	526	159	147	330	324	903	811	40	118	92	1393	1036	1165	28	40	141	152	37	131	277	3851	728	784	1285	1229	34790
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	278	808	1795	1	0	0	405	841	1	4	731	494	825	838	739	1142	476	659	424	634	522	481	635	475	639	405	492	258	242	833	930	381	478	434	644	264	535	406	245	327	563	472	1080	689	436	281	234	359	582	271	466	533	613	332	27632
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	157	3269	794	0	0	0	1089	736	0	7	145	162	296	113	600	338	329	606	884	226	27	186	163	311	644	337	826	886	737	489	6	16	62	48	585	572	92	315	337	95	317	511	77	193	127	93	428	418	126	788	421	575	1094	1603	23256
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	38	785	745	0	0	0	747	400	1	4	101	160	276	384	183	333	379	106	199	310	309	652	153	330	653	445	91	124	216	1715	1241	886	1012	821	407	615	132	365	281	1348	206	420	1572	1030	894	451	206	480	84	11	195	260	132	220	23108
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	1412	1	1	0	0	0	3	11	3216	4981	1	2	2	15	1	2	69	25	5	6	2	0	1	16	385	118	0	1	2	1	1	2	5	7	123	75	1	2	5	1793	10	17	828	544	169	365	24	65	0	7131	40	60	0	2	21548
