tax	CM-NTC-002-CTRL	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	GRO-70-DRS-S15	HAM-17-MGE-S5	HAM-67-MGE-S12	IRI-16-MGE-S1	JAR-2-DRS-S3	JAR-2-MGE-S4	JAR-3-DRS-S18	JAR-3-MGE-S19	JAR-44-MGE-S10	JOA-3-MGE-S23	KOR-44-MGE-S8	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	MAR-41-MGE-S9	WOL-44-MGE-S6	WOL-70-MGE-S2	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	0	0	0	37284	51446	44795	0	0	0	707	623	791	552	0	157	10	14	1	169	140	25443	18703	1	0	180836
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	0	0	0	2545	3964	7328	22339	3078	7076	8620	3801	6716	5556	931	8916	4047	1628	7395	4252	6157	2676	2687	5852	3561	119125
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	0	0	1	211	487	554	11186	787	21865	1634	2862	1870	4385	736	9481	1331	5434	4893	1163	4019	1417	1050	19792	14843	110001
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	11913	12545	3	0	127	1	42	0	2	6	13	68	777	0	135	13041	354	4630	3786	205	618	480	5	48751
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	0	0	21	110	11	0	1	13	3393	5922	2185	1438	0	6460	5207	2483	8371	512	669	1264	2002	3	4	40069
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	0	0	0	124	287	204	7224	849	3677	810	3892	1310	2291	134	1491	676	426	2304	1440	3691	1042	698	3352	3050	38972
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	1	7405	7997	0	0	561	1	53	0	0	3	9	33	310	0	65	8046	77	2816	2544	140	409	93	4	30567
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	0	0	0	127	269	272	4220	128	2278	862	1402	994	2308	161	4333	725	709	2576	473	1713	733	543	2048	1473	28347
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	0	0	0	252	309	300	2969	631	1327	2310	1205	3476	2279	108	1135	853	240	795	741	797	857	464	1248	1259	23555
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	0	0	0	221	362	228	2165	433	1712	1957	1182	2874	1889	114	928	823	177	888	675	685	799	543	917	995	20567
