tax	CHA-46-MGE-S38	CM-NTC-003-CTRL	FRA-44-DRS-S35	GIN-58-MGE-S42	GOO-59-MGE-S43	GRO-24-MGE-S46	HAM-22-MGE-S44	HAM-31-MGE-S32	HER-19-MGE-S27	IRI-11-MGE-S25	IRI-29-MGE-S31	IRI-48-MGE-S39	IVY-45-MGE-S36	JAR-32-DRS-S33	JAR-32-MGE-S34	KOR-20-DRS-S29	KUB-20-MGE-S30	KUB-24-MGE-S45	KUB-50-MGE-S41	LAM-18-MGE-S26	LAM-46-MGE-S37	MAR-36-MGE-S28	MAR-48-MGE-S40	PAD-6-MGE-S24	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1742	0	803	1118	1318	499	508	1537	852	78	536	827	734	1455	954	886	528	692	1457	0	1192	88	895	927	19626
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	664	0	488	852	536	348	604	1999	202	116	525	969	517	436	447	267	303	901	451	1149	1347	2	509	138	13770
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	502	0	102	625	289	267	289	1713	161	27	142	199	275	397	333	277	299	694	310	839	982	8	432	14	9176
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	1835	0	0	554	444	559	0	0	0	0	3	0	0	316	469	277	32	404	420	0	2710	43	132	973	9171
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	117	0	99	390	641	169	124	444	204	24	299	286	290	315	438	83	55	269	260	1686	243	16	530	217	7199
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	0	1	0	55	267	741	14	0	0	0	0	11	849	339	438	50	412	1	920	8	1	527	2260	6894
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	1273	0	0	0	594	917	0	0	0	0	0	0	0	1028	166	0	130	0	0	0	80	941	1270	0	6399
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	0	0	0	5	6045	63	1	0	0	0	0	42	30	7	2	2	22	0	0	0	8	13	6240
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	1	0	42	144	459	15	0	0	0	0	18	366	180	368	40	267	2	1221	4	1	324	1336	4788
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	86	0	41	312	134	123	53	234	99	8	233	283	111	189	261	65	24	186	136	426	61	8	282	138	3493
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	72	0	99	286	232	106	73	183	98	17	87	157	80	363	271	287	39	251	124	0	39	8	209	57	3138
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	32	0	397	53	67	16	118	273	117	10	90	124	763	110	126	145	72	131	103	0	97	4	54	0	2902
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	81	1	103	179	165	91	122	201	91	19	64	148	83	308	241	274	37	240	112	0	45	4	173	68	2850
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	77	0	40	288	133	90	41	217	101	6	104	90	93	178	248	58	24	160	137	363	40	7	247	73	2815
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	8	0	665	17	7	4	78	239	49	22	19	28	429	89	90	40	32	47	155	0	116	3	16	263	2416
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	47	0	511	48	100	45	26	165	15	6	35	51	178	103	104	96	7	40	49	177	336	4	30	42	2215
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	23	0	33	175	77	63	33	129	52	10	57	76	101	87	98	33	11	96	70	221	41	3	162	89	1740
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	694	0	0	0	0	33	0	0	0	0	958	0	0	0	0	0	0	0	0	0	0	0	1685
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	68	0	0	0	61	73	136	329	164	0	0	0	0	129	146	87	69	60	0	0	0	8	40	172	1542
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	2	8	638	5	0	0	0	0	0	114	51	196	23	199	0	23	0	0	8	50	1317
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	76	0	65	19	17	46	162	221	27	3	11	32	172	79	19	34	41	144	18	0	17	2	83	11	1299
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	37	0	46	47	29	28	30	120	11	10	67	147	67	9	21	81	53	59	87	0	89	9	48	167	1262
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	8	0	712	0	11	0	0	0	0	24	91	58	3	0	0	0	9	0	9	0	239	0	0	36	1200
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	39	0	5	47	29	33	34	116	42	2	19	69	13	119	207	47	47	59	74	0	9	5	33	31	1079
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	13	0	180	15	25	8	45	90	47	1	15	27	297	37	56	67	23	36	45	0	21	2	14	0	1064
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	4	0	6	0	1	0	77	252	4	4	7	11	44	0	0	0	13	5	3	0	15	0	0	568	1014
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	30	0	19	138	32	40	19	93	35	4	19	30	43	63	99	25	13	46	39	81	9	0	89	47	1013
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	27	0	174	26	46	4	22	170	37	7	15	45	64	88	13	79	50	21	55	0	47	0	8	7	1005
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	2	0	6	14	4	0	144	541	212	0	0	0	18	15	30	2	0	6	3	0	3	0	2	0	1002
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	23	0	95	43	42	39	29	53	20	11	17	58	92	104	93	56	29	40	37	0	8	4	71	9	973
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	53	0	75	67	24	19	54	102	19	5	24	30	36	38	34	14	24	46	28	55	113	0	30	6	896
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	67	0	0	0	36	0	0	0	0	23	462	285	0	0	0	0	0	0	0	0	0	0	0	0	873
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	6	50	18	2	0	0	0	0	0	72	27	1	0	2	0	1	0	0	93	509	781
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	0	0	8	38	14	1	0	0	0	0	0	70	60	79	11	93	0	0	0	0	75	321	770
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	18	0	13	76	27	32	12	49	21	0	13	27	46	43	48	18	12	44	40	85	10	1	82	35	752
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	16	0	22	39	34	18	14	45	9	1	13	26	22	81	58	85	5	46	28	0	10	0	39	14	625
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	18	0	30	20	31	19	25	77	23	0	28	27	16	58	47	46	19	16	69	6	4	3	6	12	600
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	17	0	4	0	85	9	15	43	16	0	0	0	4	28	25	24	5	34	54	131	25	3	19	44	585
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	8	0	254	8	6	3	29	16	5	4	7	24	93	10	8	13	25	13	25	0	7	0	2	3	563
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	28	0	20	24	15	16	14	59	11	6	9	41	27	31	22	29	18	46	60	0	0	0	19	7	502
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	18	0	0	0	24	17	29	89	33	1	1	3	0	30	39	19	12	16	0	0	0	2	8	45	386
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	19	0	10	6	13	12	9	56	16	3	15	50	4	23	29	9	16	18	42	0	2	1	17	12	382
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	9	0	11	6	12	10	30	36	19	3	7	12	11	40	33	27	2	29	21	0	3	1	14	5	341
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	10	0	89	4	15	2	2	21	4	0	7	3	26	21	21	20	1	9	8	16	42	0	2	14	337
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	8	0	66	2	0	1	88	13	1	1	0	3	24	4	32	3	2	9	19	0	0	0	4	4	284
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	7	0	0	0	148	5	0	0	0	0	0	0	0	5	1	0	2	0	0	0	96	10	9	0	283
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	3	0	45	3	3	3	8	30	9	0	6	8	80	6	15	16	3	12	12	0	6	0	2	0	270
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	17	0	0	0	14	0	0	2	0	1	125	89	0	0	0	0	0	0	0	0	0	0	0	2	250
