tax	BUD-28-MGE-S47	BUD-48-MGE-S69	CHA-44-MGE-S55	CM-NTC-004-CTRL	FRA-45-DRS-S57	FRA-68-MGE-S51	GOO-46-DRS-S58	GRO-44-DRS-S68	GRO-46-DRS-S59	GRO-46-MGE-S60	HAM-41-DRS-S63	HAM-41-MGE-S64	HEN-36-MGE-S62	HER-67-MGE-S48	IRI-44-MGE-S67	IVY-44-DRS-S53	IVY-44-MGE-S54	IVY-67-MGE-S49	JAR-45-MGE-S56	JAR-68-MGE-S50	JOA-36-MGE-S52	JOA-41-DRS-S65	JOA-41-MGE-S66	LAM-48-MGE-S61	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	490	1101	74	1	1045	1372	1227	480	168	345	1964	1076	3687	996	1048	2779	1698	480	268	1285	469	3094	739	2839	28725
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	389	566	1474	0	742	1737	158	145	11	54	744	1383	1455	1790	2026	1169	1514	834	378	761	524	661	344	2110	20969
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	996	6593	0	1	106	1035	279	1281	1899	2194	0	1	0	1	1	342	238	0	0	523	1564	636	273	1040	19003
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	225	423	1	0	301	1199	102	98	9	57	473	1009	746	1274	409	577	964	289	143	604	375	491	202	1433	11404
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	100	130	2	0	498	787	262	61	5	33	115	186	483	591	327	786	464	287	28	409	114	415	277	2888	9248
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	606	466	0	0	910	849	829	200	7	19	0	0	368	0	2	597	686	1	0	592	219	674	184	1005	8214
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	31	87	6	0	317	417	174	112	11	17	652	213	543	98	219	767	441	68	45	348	77	872	182	347	6044
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	66	93	0	1	325	488	66	41	8	23	30	73	270	374	327	532	352	119	17	257	70	714	430	769	5445
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	16	58	6	0	246	337	135	108	7	16	623	247	377	133	182	630	314	63	32	259	48	587	125	290	4839
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	101	106	0	0	288	432	73	38	5	8	45	76	271	319	120	479	290	112	10	231	120	125	114	635	3998
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	47	151	56	0	245	212	242	18	3	10	89	96	141	16	162	210	168	77	15	181	127	409	156	220	3051
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	53	46	0	0	181	285	46	32	0	16	28	51	168	148	98	320	174	109	12	114	57	134	96	408	2576
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	35	64	0	0	302	90	263	47	9	19	96	68	216	33	375	154	129	52	38	167	14	86	33	151	2441
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	1	0	0	0	0	0	0	8	67	0	0	0	0	0	0	2243	0	0	0	0	0	2319
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	17	31	2	0	99	144	36	40	6	13	149	55	170	38	110	234	111	50	45	94	26	341	77	96	1984
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	9	19	328	0	122	63	39	9	2	8	283	180	289	9	95	51	45	139	46	129	4	32	10	18	1929
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	0	0	0	92	438	2	3	0	0	6	56	73	0	0	52	92	300	31	266	0	137	327	16	1891
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	3	0	0	0	6	2	6	1	30	56	476	325	613	89	3	4	1	2	123	19	0	13	6	2	1780
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	0	0	150	243	0	3	0	0	41	315	72	0	0	63	104	195	15	69	0	113	287	13	1683
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	1	52	5	0	0	0	235	30	20	32	124	135	373	32	0	0	0	0	29	170	32	56	19	267	1612
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	9	67	26	0	41	88	62	6	3	6	341	156	148	24	57	133	50	54	22	47	39	32	6	136	1553
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	93	32	0	0	224	109	80	0	0	0	0	0	0	0	484	177	194	0	0	0	29	31	4	89	1546
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	20	15	0	0	56	154	22	12	5	2	22	14	0	98	0	136	332	17	2	79	19	160	13	246	1424
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	12	44	0	1	23	59	24	55	1	5	70	111	164	89	155	37	44	74	181	85	14	35	30	41	1354
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	6	27	21	0	173	47	42	26	8	12	43	27	172	5	435	79	82	23	19	29	5	0	0	65	1346
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	19	33	0	0	100	155	20	11	1	4	12	35	116	127	29	156	89	44	5	77	28	11	12	153	1237
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	68	27	0	2	10	76	0	0	0	0	0	210	1	254	1	3	142	5	116	0	163	65	5	1148
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	22	34	195	0	39	60	7	8	1	2	27	84	59	101	55	60	65	59	16	41	38	38	14	92	1117
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	4	11	2	0	67	62	33	24	5	4	119	39	90	24	42	133	65	13	10	64	7	132	36	72	1058
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	0	25	1	0	55	63	57	19	4	13	23	15	115	21	221	32	38	20	19	192	9	3	4	46	995
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	15	106	0	0	3	8	170	12	10	15	0	0	0	0	0	3	4	0	0	5	36	9	1	414	811
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	12	8	0	0	135	39	75	16	5	8	31	23	60	14	84	55	50	22	13	70	3	40	6	28	797
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	14	14	1	0	57	75	15	14	1	6	8	22	76	78	18	94	45	24	3	57	11	17	13	116	779
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	2	19	52	0	20	38	20	12	1	2	90	48	63	63	65	86	35	13	25	37	6	32	10	13	752
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	7	28	0	0	21	62	56	14	1	3	88	59	59	10	28	54	46	10	11	33	17	60	25	54	746
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	0	26	0	0	20	33	9	2	3	3	118	58	14	71	62	67	33	6	32	32	5	36	5	17	652
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	0	574	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	578
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	0	6	0	0	18	23	15	11	3	2	84	37	20	22	11	56	29	7	5	29	9	62	12	29	490
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	2	18	0	0	0	0	0	0	458	1	0	1	0	0	480
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	8	18	8	0	39	32	25	4	0	1	10	13	29	3	20	37	39	12	2	29	11	62	21	36	459
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	5	123	0	0	0	0	4	39	1	0	0	6	2	99	6	56	0	26	83	0	450
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	3	10	0	0	21	40	4	4	0	0	2	5	19	16	30	50	20	11	1	23	10	63	42	43	417
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	1	6	1	0	5	1	64	11	2	8	46	39	83	5	5	0	3	0	11	32	6	8	5	67	409
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	0	1	44	0	6	8	0	0	0	0	57	63	0	79	7	8	7	15	75	1	0	9	5	0	385
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	27	4	0	0	25	21	23	1	0	0	0	0	0	0	133	25	53	0	0	0	1	7	0	32	352
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	85	0	239	0	0	0	0	331
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	4	7	5	0	13	13	5	4	1	2	34	13	55	27	23	32	8	28	7	8	0	31	6	3	329
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	320	0	0	0	0	0	329
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	0	5	1	0	9	4	2	0	0	0	47	6	35	27	14	20	3	20	3	5	1	96	22	1	321
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	3	4	73	0	14	5	14	5	2	5	11	14	26	0	54	13	5	45	7	2	0	4	7	1	314
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	1	1	3	96	0	0	0	0	0	2	34	2	0	2	0	79	11	53	0	6	19	2	311
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	1	3	0	13	4	6	1	0	0	1	12	22	82	18	6	16	73	4	30	0	1	0	6	299
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	1	5	0	0	20	18	6	8	2	1	30	10	22	4	7	43	22	1	2	19	2	40	5	25	293
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	2	1	0	11	9	28	4	0	0	2	7	14	54	10	7	13	24	5	82	1	5	3	5	287
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	1	1	0	0	8	16	2	2	0	0	3	1	9	7	34	15	14	2	0	8	2	61	53	25	264
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	243	0	0	0	0	0	249
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	0	7	0	0	2	5	0	0	0	0	88	28	0	23	23	0	0	11	35	13	0	0	0	0	235
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	3	1	0	0	14	10	5	4	0	2	17	5	29	1	14	21	9	2	7	3	1	61	13	4	226
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	0	10	6	0	1	0	0	0	0	0	85	43	59	2	2	0	0	5	1	0	0	0	0	0	214
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	6	5	0	0	35	9	14	1	2	3	7	5	25	2	20	11	9	8	4	13	0	9	6	12	206
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	13	4	0	0	16	10	18	0	0	0	1	0	1	0	82	11	14	0	0	1	6	5	2	22	206
