tax	BUD-46-MGE-S81	CM-NTC-005-CTRL	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	4090	4	511	874	671	423	2934	1098	2372	2802	2253	4275	2216	2951	1577	6338	3239	1707	4679	3112	1656	2009	1426	2055	55272
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1390	1	1068	3871	529	1078	1353	5280	1992	860	2649	1087	2036	805	4458	1613	914	838	1669	234	913	2875	5733	296	43542
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	9125	2	1	1	1	2	1085	1	1	0	0	0	5	496	3041	5837	2220	244	124	9184	5334	0	0	0	36704
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	1	1	8450	4	4301	4252	102	479	27	1	1	1	2	409	3	20	12	3450	9	0	37	89	869	3715	26235
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	1092	0	791	3061	445	827	831	937	603	193	686	425	669	730	282	1537	873	653	1401	189	853	1297	65	22	18462
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	4216	0	443	436	908	831	1021	0	7	3	2	0	0	1094	884	219	127	17	4099	43	510	1	347	413	15621
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	4623	2	2419	2369	55	467	19	1	0	1	3	156	2	16	10	2181	7	1	24	35	448	2030	14869
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	386	0	395	309	240	414	1469	201	492	864	1492	675	755	845	0	447	208	129	467	110	619	207	64	436	11224
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	295	0	245	257	141	144	530	369	416	1188	498	462	154	1514	37	808	274	125	264	350	238	220	95	154	8778
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	295	1	218	365	142	149	441	274	335	933	435	516	158	1292	38	601	167	90	356	277	197	198	66	130	7674
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	255	0	314	242	236	366	464	116	537	597	1126	476	438	634	0	258	139	53	128	96	394	120	34	245	7268
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	80	0	0	376	0	0	0	5	239	252	197	673	1329	4	117	319	72	95	363	1	0	45	2978	9	7154
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	347	1	251	184	221	323	369	66	174	251	489	387	350	538	0	211	90	42	108	72	302	101	27	174	5078
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	1055	0	11	68	34	19	155	67	674	133	185	238	375	399	119	423	190	161	73	32	189	332	0	1	4933
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	1246	0	8	0	0	0	256	60	0	0	0	0	1	209	0	786	375	155	0	0	144	244	108	974	4566
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	1699	1	904	797	21	60	1	0	1	0	0	37	0	1	1	3	0	0	12	4	175	736	4453
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	315	0	21	165	15	2	22	215	278	47	63	163	263	128	24	1203	391	284	56	15	51	216	237	240	4414
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	100	0	48	66	36	21	181	121	137	352	110	710	255	506	67	664	234	76	13	152	133	121	95	46	4244
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	150	0	44	234	14	69	61	413	78	30	106	126	250	53	573	106	65	64	161	15	46	183	1021	40	3902
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	424	0	106	293	172	99	320	55	205	209	189	115	225	239	300	154	53	43	150	7	68	192	146	73	3837
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	640	1	29	89	147	73	79	33	958	146	120	77	173	5	0	449	135	48	71	26	183	91	149	109	3831
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	1097	0	574	532	15	184	1	0	0	0	0	79	0	5	1	579	0	0	5	18	115	466	3671
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	143	0	23	107	49	5	244	116	104	156	49	440	147	111	67	592	149	265	172	13	30	185	105	48	3320
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	21	0	0	0	0	0	0	816	16	3	5	17	95	0	7	546	116	566	0	0	0	21	892	7	3128
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	144	0	39	297	17	22	60	328	47	71	58	216	310	72	276	304	64	128	24	55	44	507	20	6	3109
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	453	1	0	0	1	0	165	0	807	557	662	0	0	1	322	1	0	0	0	0	0	0	0	0	2970
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	145	0	153	76	100	160	180	71	148	147	276	239	274	233	0	137	64	29	86	35	215	55	12	118	2953
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	393	0	16	56	76	29	70	15	490	85	60	13	17	582	0	394	124	53	5	12	55	150	84	33	2812
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	3	0	0	0	0	0	0	494	12	6	35	47	38	1	15	30	18	15	13	1	1	191	1242	185	2347
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	103	0	10	5	5	1	8	12	85	10	17	492	708	28	12	196	62	72	16	33	23	23	402	0	2323
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	228	0	107	96	5	32	28	0	0	0	0	9	0	6	4	1591	0	0	2	3	20	91	2222
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	32	1	0	153	6	1	4	719	4	2	2	13	23	18	2	8	2	6	1	416	4	695	0	0	2112
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	83	0	63	51	38	29	115	55	91	227	113	125	34	361	9	165	58	14	60	74	47	70	24	31	1937
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	108	0	106	89	99	139	79	43	49	69	97	190	167	227	0	72	46	20	18	26	153	41	15	78	1931
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	368	0	6	19	6	5	52	22	155	38	38	86	146	133	35	150	58	53	19	17	66	116	0	0	1588
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	211	0	0	0	21	5	720	0	0	0	0	0	0	4	17	44	22	1	299	68	54	0	0	0	1466
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	45	0	84	47	62	100	79	30	36	52	120	125	143	149	0	53	30	12	23	14	102	23	8	53	1390
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	85	0	6	21	2	4	35	159	74	90	99	62	14	139	3	210	99	24	3	11	20	135	26	21	1342
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	67	0	9	33	6	4	52	149	69	114	85	62	30	92	50	192	80	28	0	0	7	128	56	12	1325
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	286	0	0	0	0	0	76	13	14	10	12	0	0	47	5	170	95	40	0	0	37	54	39	223	1121
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	18	0	85	0	0	0	264	52	0	0	0	0	0	172	0	172	22	16	87	43	43	13	0	114	1101
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	11	0	0	2	1	0	2	29	108	23	15	163	277	3	0	110	49	34	46	115	1	33	52	1	1075
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	13	0	1	0	0	0	0	25	151	6	10	92	156	0	1	204	62	42	0	15	1	87	115	78	1059
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	45	0	36	60	13	14	51	23	48	82	27	55	16	185	1	114	28	11	49	35	31	32	7	15	978
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	947	26	0	978
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	91	0	20	7	5	7	75	25	60	58	59	40	43	108	26	81	34	58	1	3	66	81	2	25	975
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium perfoetens	6	0	0	0	0	0	0	409	4	2	1	9	31	0	2	61	17	13	0	0	0	7	407	2	971
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	13	0	4	35	2	3	11	78	17	45	13	230	82	23	1	173	67	24	0	41	2	33	66	5	968
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	17	0	3	28	3	3	11	68	15	35	8	256	149	15	7	137	57	24	0	23	2	34	45	9	949
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	129	0	0	0	0	0	47	1	189	148	164	0	0	0	81	2	0	0	0	0	1	1	0	1	764
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	5	0	22	0	0	0	0	58	25	66	232	54	66	0	30	18	3	7	0	20	4	0	102	0	712
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	19	0	0	0	1	0	0	75	26	7	6	180	79	13	0	115	22	8	0	0	0	93	37	4	685
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	0	52	1	29	30	0	65	360	0	0	0	0	3	0	0	1	40	0	0	0	4	5	46	636
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	61	0	25	47	30	16	43	10	31	25	26	12	41	46	37	27	5	8	26	1	12	42	30	12	613
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	1	0	0	0	0	0	0	34	0	0	0	63	107	0	0	183	70	31	0	0	0	83	0	0	572
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	23	0	17	10	8	7	35	19	31	84	38	24	2	108	0	25	9	4	17	24	14	7	4	13	523
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	94	0	0	0	0	1	29	0	144	89	100	0	0	1	47	2	1	0	0	0	2	1	2	4	517
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	14	0	8	12	1	0	5	46	6	31	7	122	24	20	3	97	38	13	0	18	2	16	30	1	514
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	22	0	13	9	11	26	27	1	42	68	83	33	23	29	0	8	11	1	7	5	28	4	1	10	462
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	11	0	8	17	12	2	11	13	29	30	7	54	22	48	4	106	31	5	6	14	5	18	3	3	459
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides humanifaecis	1	0	2	0	0	0	0	14	2	1	4	85	157	14	0	59	23	23	6	36	0	23	4	0	454
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	51	0	0	0	0	0	30	0	112	86	102	0	0	1	61	1	0	0	0	0	0	1	1	6	452
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola barnesiae	94	0	1	11	4	2	10	6	36	9	6	31	40	48	14	42	16	20	3	4	17	29	0	0	443
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	145	0	0	0	0	0	28	6	0	1	0	0	0	13	0	61	38	12	0	0	12	20	10	79	425
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	21	0	0	0	0	0	0	10	102	9	23	14	22	2	0	77	29	49	7	14	0	26	2	9	416
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	13	0	3	5	2	1	17	32	13	34	19	37	15	48	7	72	25	6	2	13	5	30	8	3	410
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	11	0	2	17	1	1	5	30	8	19	4	79	36	14	2	94	31	7	0	13	0	12	10	1	397
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	115	0	1	8	2	3	0	25	6	2	3	12	112	4	2	18	12	6	5	6	7	27	16	3	395
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	101	0	0	0	1	0	34	0	0	0	0	0	0	2	27	52	24	2	12	91	48	0	0	0	394
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	12	0	6	8	12	16	24	1	46	67	118	13	6	19	0	6	2	0	7	1	11	2	0	4	381
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	105	0	2	11	6	7	8	41	8	1	0	39	34	18	4	3	3	1	29	7	12	8	5	1	353
