tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006-CTRL	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	500	998	0	1584	1897	1598	925	2613	1171	319	632	787	1480	2010	1048	1141	1048	1120	826	2046	1592	1118	1036	1607	29096
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	616	1901	0	632	1129	1792	1183	828	688	11	442	1681	3612	394	634	328	1933	350	314	502	1153	300	1851	1872	24146
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	1517	0	0	203	0	0	0	782	626	7170	0	0	0	0	1705	214	0	1300	0	0	0	0	0	0	13517
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	281	7	0	0	0	0	0	190	261	0	1283	1514	18	0	928	80	60	552	2973	23	763	665	0	46	9644
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	132	1995	0	607	435	408	603	595	821	28	74	271	167	300	257	645	147	214	58	112	83	236	215	465	8868
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	457	3	0	381	700	1382	961	541	369	11	18	94	606	87	183	262	379	287	143	223	454	131	421	451	8544
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	58	345	0	1056	0	506	495	1127	295	20	778	798	0	8	449	283	362	761	0	0	0	0	0	0	7341
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	175	3	0	0	0	0	0	134	196	0	720	854	14	0	472	23	26	1739	1175	2	282	289	0	28	6132
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	99	574	0	454	239	280	402	175	236	11	18	89	68	312	180	450	68	206	30	84	43	121	162	134	4435
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	83	86	0	305	318	385	164	418	70	72	25	9	197	289	244	217	93	220	60	149	172	169	121	268	4134
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	59	0	0	336	750	250	51	125	49	8	64	28	103	530	131	93	36	18	110	395	152	334	51	279	3952
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	1	0	0	13	25	10	5	1	0	63	435	251	804	7	77	6	1	0	326	1119	448	177	1	7	3777
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	58	82	0	341	364	357	163	348	69	52	5	4	184	225	244	169	99	184	55	104	124	125	137	280	3773
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	20	32	0	186	732	91	16	18	10	9	315	120	150	456	323	27	157	20	99	341	129	181	53	236	3721
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	2209	0	0	0	0	0	0	3	1	0	9	10	308	0	9	1	0	149	285	0	7	3	0	481	3475
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	111	232	0	400	180	281	363	137	172	10	12	27	63	101	170	411	47	137	21	55	24	96	68	111	3229
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	39	43	0	447	146	232	73	69	14	18	0	0	28	1054	114	0	14	51	54	109	46	233	101	119	3004
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	58	624	0	214	150	176	235	93	129	11	18	72	44	92	93	186	51	85	17	40	26	80	55	91	2640
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	64	119	0	194	197	153	44	180	151	14	156	111	150	132	194	127	38	28	14	67	75	75	24	156	2463
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	2	0	0	0	0	0	0	31	44	0	158	199	0	0	129	19	8	770	739	5	177	103	0	2	2386
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	68	348	0	0	0	0	0	185	63	34	0	0	114	0	0	96	0	59	68	317	139	664	0	0	2155
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	43	309	0	37	68	109	96	34	38	0	78	268	234	17	91	19	233	12	23	30	64	20	86	76	1985
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	17	10	0	0	2	0	0	30	2	0	1256	320	2	25	0	0	57	0	16	35	27	0	87	79	1965
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	174	37	0	51	200	117	24	48	8	1	2	1	98	58	53	12	52	32	96	99	211	41	330	24	1769
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	11	13	0	110	79	122	42	46	12	8	30	11	8	307	43	195	15	45	57	121	92	198	29	158	1752
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	24	65	0	173	159	95	15	85	8	22	31	14	43	128	120	78	29	70	53	72	111	56	56	47	1554
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	28	0	0	307	0	0	0	78	37	0	0	0	0	818	0	0	0	0	0	0	0	0	72	189	1529
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	7	0	0	0	0	0	0	52	47	0	256	291	0	0	154	4	7	146	309	1	80	64	0	0	1418
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	8	0	0	15	1	0	0	1	5	6	7	12	378	254	0	38	0	89	363	65	50	92	24	1409
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	21	0	0	158	327	93	7	34	15	4	16	5	34	131	46	39	17	11	39	134	65	114	6	85	1401
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	2	2	0	10	104	10	1	0	2	2	69	37	13	101	618	1	77	0	14	81	27	22	23	176	1392
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	24	194	0	136	96	113	145	54	57	10	6	30	21	33	58	142	25	47	11	31	20	27	23	37	1340
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	63	47	0	26	126	77	18	61	51	6	72	54	93	72	38	1	66	40	31	82	101	46	41	98	1310
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	12	19	0	73	119	59	12	35	4	6	0	0	42	197	1	27	19	10	22	77	55	32	148	59	1028
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	16	197	0	82	63	62	103	36	57	2	8	34	17	21	48	103	16	44	6	16	6	27	12	32	1008
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	992	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1005
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	0	39	0	2	0	0	0	2	0	0	11	6	13	170	219	0	18	2	15	71	13	12	368	13	974
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	13	5	0	46	83	18	9	52	26	2	0	0	44	103	63	46	37	48	15	41	33	44	6	199	933
