tax	BUD-50-MGE-S118	CHA-49-MGE-S116	CHA-51-MGE-S131	FRA-22-MGE-S138	FRA-49-MGE-S125	GIN-47-MGE-S133	GIN-49-MGE-S130	GOO-44-MGE-S121	GRO-45-MGE-S128	HEN-42-MGE-S126	HEN-59-MGE-S135	HER-45-MGE-S127	IVY-46-MGE-S123	JOA-44-MGE-S122	JOA-51-MGE-S119	JOA-62-MGE-S137	KOR-49-MGE-S134	KUB-30-MGE-S132	KUB-48-MGE-S124	LAM-37-MGE-S120	LAM-50-MGE-S117	OPH-49-MGE-S129	WOL-60-MGE-S136	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1873	302	1684	1325	1481	295	844	1037	699	1067	1576	1496	663	2085	2087	1014	83	1403	2308	1887	1546	2241	1412	30408
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	351	975	1170	980	516	1432	2086	998	1490	1239	1140	596	1832	796	545	1164	30	707	1121	568	1230	343	3884	25193
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	271	14	878	1531	825	97	392	126	155	719	581	0	0	1285	3033	1065	39	42	1143	831	1801	0	1	14829
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	254	0	0	586	438	1140	1634	739	1153	921	842	473	952	541	407	900	18	499	444	294	968	155	800	14158
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	122	23	1032	492	714	774	1184	1793	590	593	670	304	986	157	196	429	28	239	214	798	447	157	950	12892
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	1708	0	0	12	334	0	0	209	1761	0	0	0	1	1895	552	44	0	4445	0	1007	80	0	0	12048
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	92	5	238	294	529	465	738	454	307	383	465	136	442	84	118	359	16	125	123	199	106	64	253	5995
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	97	2	114	230	459	464	631	340	249	318	370	88	334	143	174	498	18	86	107	170	82	49	218	5241
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	122	14	202	387	584	115	244	373	119	228	55	205	112	160	110	87	15	111	126	525	42	179	190	4305
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter sedlakii	0	3676	397	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4074
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	81	13	173	342	536	74	192	380	90	201	82	285	163	163	118	68	16	113	135	364	54	164	143	3950
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	49	12	315	144	254	282	426	236	191	189	249	86	318	64	77	216	14	71	81	132	84	47	129	3666
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	10	0	0	170	290	94	55	28	77	40	229	426	146	203	646	9	3	41	245	113	40	443	322	3630
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	3	0	0	3	4	1	1	1	0	29	159	1916	4	11	19	4	0	0	4	3	0	1208	4	3374
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	89	9	84	102	125	27	25	4	21	199	97	811	149	28	92	5	0	41	547	17	54	317	293	3136
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	49	79	547	0	0	0	0	34	66	0	403	465	0	133	428	20	3	83	0	171	0	431	0	2912
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	68	12	215	163	235	110	47	58	36	300	197	86	95	153	93	163	3	13	67	193	161	92	271	2831
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	2071	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	6	442	2529
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	64	48	58	80	313	73	51	15	71	344	44	135	23	36	121	2	5	48	128	89	19	127	104	1998
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	35	0	116	100	147	182	267	103	108	124	151	49	137	45	46	117	3	43	49	51	31	20	63	1987
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	36	140	145	54	18	55	110	43	97	77	56	31	136	60	46	62	5	47	114	40	90	22	135	1619
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	15	0	0	165	297	1	0	20	0	0	0	0	0	247	523	110	0	0	0	75	0	0	166	1619
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	18	15	94	47	36	6	6	76	8	17	41	53	46	86	367	84	0	31	188	118	65	103	110	1615
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	57	17	91	141	224	16	15	97	35	56	4	63	50	38	18	6	7	40	53	148	8	111	62	1357
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	184	3	1	52	0	217	1	112	13	0	1	8	0	0	0	18	27	122	0	336	4	224	23	1346
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	16	3	73	51	84	109	159	100	108	61	109	30	146	21	23	44	3	18	35	39	19	18	40	1309
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	24	0	0	0	1	0	0	185	10	0	0	0	0	77	396	95	0	32	0	344	132	0	0	1296
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	10	0	0	84	128	27	27	9	25	11	79	138	55	64	228	8	1	21	80	32	2	144	120	1293
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	32	7	21	14	84	47	40	13	221	161	18	74	9	33	78	4	6	28	50	54	2	161	86	1243
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	50	1	24	96	39	39	30	108	144	217	5	39	48	16	27	7	3	26	54	38	97	63	60	1231
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	19	0	0	44	80	0	0	166	351	0	0	40	87	48	10	59	8	56	33	134	57	15	0	1207
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pasteurianus	0	1154	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1157
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	139	0	25	10	3	2	15	39	106	35	0	251	55	0	5	2	0	117	5	5	2	34	209	1059
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	16	0	22	44	40	7	3	29	32	58	43	63	15	35	28	41	0	22	56	66	2	66	325	1013
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	88	5	8	65	0	199	2	62	7	0	4	37	0	0	0	20	23	69	0	170	13	69	18	859
