tax	BUD-52-MGE-S144	CHA-55-MGE-S150	CM-NTC-008-CTRL	FRA-19-MGE-S160	FRA-53-MGE-S147	GIN-52-MGE-S145	GOO-20-MGE-S161	GOO-22-MGE-S139	GRO-56-MGE-S151	HAM-18-MGE-S157	HAM-23-MGE-S140	HER-24-MGE-S142	HER-53-MGE-S146	IRI-17-MGE-S155	IRI-23-MGE-S141	JOA-24-MGE-S143	JOA-56-MGE-S152	JOA-60-MGE-S154	LAM-17-MGE-S156	LAM-55-MGE-S149	MAR-53-MGE-S148	OPH-19-MGE-S159	WOL-18-MGE-S158	WOL-58-MGE-S153	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1128	294	12	1471	998	1847	1400	1098	172	1161	1011	1090	979	2032	1354	374	2265	1563	1517	967	112	1408	2758	3558	30569
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	1035	1250	16	1567	1081	1562	1415	798	630	2197	1681	1933	1771	1981	840	268	1749	2046	0	753	444	2580	1051	770	29418
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	1829	3	6	6	23	0	272	217	6489	1	1	0	1	0	1	887	115	102	1	26	7368	0	4	2	17354
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	238	1855	5	635	714	844	1706	763	56	396	359	500	256	708	619	129	242	229	526	350	54	361	713	425	12683
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	244	835	0	1186	395	742	407	667	13	0	0	1	0	3	3	358	933	367	1	3767	17	1	0	0	9940
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	105	157	0	274	242	481	644	406	85	172	159	186	191	284	203	79	189	140	0	30	56	138	150	163	4534
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	1	8	3	470	0	1	2	402	0	1	34	0	14	0	0	0	0	94	3440	36	1	6	0	7	4520
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	248	21	1	239	256	412	261	221	38	127	207	212	223	54	38	49	545	342	423	225	20	204	70	82	4518
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	154	659	1	302	376	419	190	126	33	128	92	173	66	142	186	68	178	161	91	68	38	112	137	74	3974
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	3	1	246	0	0	0	644	0	1	15	3	27	0	0	0	0	87	2728	18	0	3	0	80	3856
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	69	103	2	255	220	265	384	262	63	195	198	321	192	205	160	44	164	145	0	44	42	122	171	152	3778
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	102	65	0	92	150	167	264	196	36	183	78	455	80	306	147	21	131	28	0	149	20	476	311	76	3533
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius	2	0	3	0	0	0	5	2	179	567	536	1202	213	0	0	6	4	4	0	1	46	558	1	0	3329
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	104	0	2	216	662	0	174	76	0	0	1	0	0	587	891	126	190	98	0	0	1	0	2	51	3181
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	154	83	1	194	234	274	220	83	7	105	81	109	53	134	114	93	206	219	46	43	23	84	85	28	2673
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	85	333	0	0	0	0	206	81	51	194	148	251	62	0	0	1	162	39	0	1	20	466	0	0	2100
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	53	89	0	176	53	31	273	205	57	86	44	65	116	201	31	13	33	101	0	25	26	101	51	73	1903
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	24	93	0	79	105	119	104	32	8	116	62	99	49	284	344	15	20	35	26	15	8	60	33	26	1756
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	99	66	1	108	520	82	43	54	29	15	34	73	13	201	55	1	27	25	0	76	16	11	115	56	1720
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	4	0	0	0	0	1	0	0	0	9	0	0	0	1	0	1	0	237	2	0	0	0	0	1436	1691
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	41	322	0	87	53	30	24	13	57	85	219	140	67	69	12	3	16	8	0	53	13	133	135	80	1660
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	41	57	0	62	80	156	211	85	2	13	53	72	24	38	28	61	133	67	20	166	1	124	19	15	1528
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	56	74	0	18	6	21	66	41	9	73	44	58	31	83	6	7	458	220	0	26	3	73	39	48	1460
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	69	58	0	72	22	44	12	90	7	105	10	128	42	114	21	32	55	27	0	11	4	136	189	95	1343
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	61	26	0	88	24	2	56	33	23	69	49	42	106	66	81	0	7	50	0	0	22	112	100	72	1089
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	48	106	1	75	97	143	46	24	4	37	46	66	35	24	24	24	49	54	20	10	14	44	33	18	1042
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	43	49	0	21	97	104	49	43	27	21	15	36	16	37	29	0	21	19	0	7	5	200	61	27	927
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	26	607	1	6	6	3	3	0	9	7	0	27	90	3	2	2	1	0	0	3	3	57	10	26	892
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	33	19	0	46	27	62	57	37	14	68	28	30	57	67	45	17	20	16	0	0	3	55	56	42	799
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;Succinivibrio dextrinosolvens	14	0	0	0	0	0	259	148	4	0	0	0	0	0	0	0	154	69	0	51	9	0	0	0	708
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	42	39	0	45	50	0	93	40	9	12	58	14	28	0	0	6	32	26	61	38	2	40	0	0	635
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides mediterraneensis	14	12	0	26	35	31	39	32	8	28	24	91	17	18	16	1	22	8	1	14	5	107	57	16	622
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	12	10	0	26	13	30	50	18	10	57	16	9	24	30	5	13	36	41	5	1	6	55	39	30	536
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	10	55	0	12	10	2	11	14	7	26	35	41	41	140	7	2	13	25	0	0	0	17	15	27	510
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	25	49	0	8	1	8	6	0	4	2	0	96	155	0	1	2	2	2	0	20	0	10	2	3	396
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	4	2	0	12	36	17	16	22	9	31	21	40	22	20	19	0	21	23	0	12	2	12	19	14	374
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	8	26	0	0	0	0	0	0	0	7	257	13	44	1	1	0	0	0	0	0	0	0	0	1	358
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	10	87	0	9	1	8	7	0	9	2	2	50	85	0	4	1	1	0	0	33	1	6	3	6	325
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] gnavus	0	22	0	36	0	0	0	3	0	23	34	88	16	15	39	1	1	1	0	15	0	10	8	10	322
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	17	0	0	9	18	0	19	9	0	0	0	1	0	64	119	15	24	15	0	0	0	0	0	6	316
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	31	1	0	0	0	0	0	13	9	19	21	10	138	1	0	0	0	0	4	4	21	18	18	309
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris	3	20	0	1	0	0	0	0	1	6	9	5	7	228	7	0	0	0	0	3	0	6	8	5	309
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	6	10	0	22	24	31	32	15	1	2	5	15	4	1	7	15	20	13	5	23	0	24	4	10	289
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	5	8	0	15	15	23	38	23	4	7	6	10	8	20	16	6	10	9	0	3	6	7	13	14	266
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	6	31	0	0	1	0	25	10	6	25	18	36	7	0	0	0	10	4	0	0	2	60	0	0	241
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	19	6	0	6	7	22	7	13	4	9	5	12	5	3	5	4	31	10	9	14	4	19	9	10	233
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei	4	95	0	2	2	5	3	1	15	8	1	9	1	23	4	0	2	0	0	2	4	4	11	34	230
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	14	29	0	40	0	0	4	11	0	0	0	0	0	23	21	0	0	0	0	40	0	0	6	36	224
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	3	0	0	0	2	0	0	13	2	10	0	0	0	0	78	13	0	0	1	0	96	218
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	7	9	0	9	2	0	0	0	0	19	24	15	7	18	3	0	0	0	0	0	0	8	59	34	214
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	3	88	0	0	0	0	0	0	4	13	11	23	0	43	1	0	0	0	0	0	2	8	4	1	201
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis	0	3	0	17	11	1	1	0	7	2	6	2	3	19	5	0	0	0	0	27	3	6	20	50	183
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella herbatica	10	0	0	9	15	0	11	3	0	0	0	0	0	37	60	12	15	6	0	0	0	0	0	4	182
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum	2	7	0	31	0	0	0	0	4	11	27	3	2	21	52	2	0	0	0	0	4	0	8	0	174
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	0	57	3	0	0	11	2	11	0	3	1	20	14	0	0	1	0	0	2	20	14	6	167
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	2	16	0	3	3	1	7	1	2	7	10	6	12	25	1	1	17	31	0	0	1	10	4	7	167
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	126	36	0	0	0	0	166
