tax	BUD-57-MGE-S165	CM-NTC-009-NTC	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	2323	8	818	5944	1656	3021	3914	1195	6626	1840	8474	4497	1855	4343	906	4961	1565	5911	6710	4487	1583	8084	7156	1918	89795
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	4516	5	652	5405	1273	3064	2810	2551	4175	4609	4969	3269	1140	3456	0	6006	837	2627	2841	3814	1256	3248	4131	456	67110
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	7590	1	5027	0	0	2	1	0	0	0	1	0	0	2590	577	6983	5550	0	188	0	0	0	1	1	28512
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	5	7177	0	1	316	634	13	9	0	0	949	18	845	9642	0	341	4861	1015	303	89	1	0	204	26423
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	465	1	135	992	636	811	558	570	781	1259	1376	1914	169	1030	0	486	393	695	729	429	320	1579	1206	367	16901
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	5	1	4543	0	1	264	763	9	15	0	1	682	1	430	5477	0	102	3281	674	128	46	0	1	24	16448
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	598	5	178	1455	477	769	628	299	822	94	702	792	222	1153	6	1138	396	1755	1843	484	201	302	288	70	14677
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	1091	1	155	1285	577	1	1216	2822	1620	8	1	0	0	659	0	1220	268	215	38	0	0	0	0	0	11177
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	343	1	66	856	341	538	545	839	519	1114	180	369	198	1172	0	560	207	399	322	466	220	396	631	179	10461
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	272	0	221	186	68	595	465	965	245	874	413	177	148	628	0	79	180	374	288	422	977	729	258	110	8674
