tax	BUD-11-MGE-S206	BUD-44-MGE-S192	CHA-9-MGE-S204	CM-NTC-010-CTRL	FRA-47-MGE-S195	GIN-46-MGE-S194	GIN-50-MGE-S202	GRO-22-MGE-S189	GRO-50-MGE-S201	HAM-11-MGE-S205	HAM-25-MGE-S190	HEN-48-MGE-S198	IRI-22-MGE-S188	IVY-47-MGE-S196	JAR-14-MGE-S207	JAR-21-MGE-S185	JOA-49-MGE-S200	KOR-21-MGE-S187	KOR-48-MGE-S197	KUB-21-MGE-S186	LAM-25-MGE-S191	MAR-49-MGE-S199	OPH-9-MGE-S203	WOL-17-MGE-S193	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	2981	1196	4646	10	1786	1328	3562	164	733	4539	924	1344	6392	5810	1476	1539	1021	1728	1896	2065	2520	1477	2637	8716	60490
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	2235	3398	1979	15	1577	975	2164	1535	2334	1410	2654	2015	1848	2702	2638	2894	2651	2578	2099	3239	2729	1159	2320	1445	50593
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum thomasii	284	5198	1	7	163	1	0	12053	11841	1	0	2	1	0	0	1296	617	0	11	563	4	4731	1	0	36775
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	649	319	50	6	1941	956	1444	62	420	180	276	1044	1203	1268	190	2422	362	792	1078	619	523	656	262	1288	18010
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	1988	731	284	2	836	534	682	89	103	0	0	300	4	0	1	1084	1854	1043	1438	199	1903	168	1	0	13244
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	224	403	73	3	568	453	1341	53	289	343	313	416	494	1328	305	603	378	714	708	820	853	562	421	676	12341
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	1553	0	4354	2	5	1	5	0	0	34	1	5	0	0	7	226	0	1292	1299	278	127	278	0	0	9467
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sartorii	24	302	0	3	252	440	139	42	66	159	203	216	729	1202	475	750	171	426	245	492	1	145	258	1764	8504
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	423	236	36	3	984	541	817	36	253	41	77	566	414	606	71	703	264	457	593	217	114	386	101	295	8234
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	190	524	62	2	194	93	34	23	31	396	92	63	59	3025	384	210	18	102	80	207	386	31	156	531	6893
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium mortiferum	43	48	47	1	0	0	0	0	0	6516	23	0	6	93	4	0	0	2	0	9	1	0	15	0	6808
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	417	316	27	1	840	401	608	30	174	30	78	402	266	297	41	889	375	390	416	145	55	271	63	154	6686
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	990	0	2656	2	3	0	4	1	0	36	0	8	0	1	2	117	0	865	760	182	100	166	0	0	5893
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	59	113	9	2	36	122	166	83	110	284	56	1090	140	52	822	128	30	120	669	398	0	332	614	384	5819
