sampleID,alias,study_day,collection,subject,room,seqrun,barcode,tech_replicates,kit,flow_cell,flow_cell_id,origin,sex,stabilizer,group,diet_trial,gum_ml,group_phase,bristol
PAD-1-MGE,PAD-1-MGE-L96,1,2023-03-10,padme,F,cm001,barcode02,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,Ethanol,2,run-in,0,baseline,4
GIN-43-DRS,GIN-43-DRS-L130,43,2023-04-21,ginger,F,cm001,barcode03,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,F,D_R-Shield,2,intervention_2,2,gum,2
CHA-57-DRS,CHA-57-DRS-L131,57,2023-05-05,charles,F,cm001,barcode04,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,M,D_R-Shield,2,washout_2,0,gum-washout,3
HAM-4-DRS,HAM-4-DRS-L132,4,2023-03-13,hamlet,B,cm001,barcode05,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,M,D_R-Shield,1,run-in,0,baseline,1
HAM-4-MGE,HAM-4-MGE-L133,4,2023-03-13,hamlet,B,cm001,barcode06,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,M,Ethanol,1,run-in,0,baseline,1
IRI-36-MGE,IRI-36-MGE-L134,36,2023-04-14,iris,B,cm001,barcode07,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,Ethanol,1,washout_1,0,gum-washout,3
HER-44-DRS,HER-44-DRS-L137,44,2023-04-22,hera,B,cm001,barcode08,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,D_R-Shield,1,intervention_2,0,control,2
HER-44-MGE,HER-44-MGE-L138,44,2023-04-22,hera,B,cm001,barcode09,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,Ethanol,1,intervention_2,0,control,2
LAM-70-DRS,LAM-70-DRS-L143,70,2023-05-18,lambchop,F,cm001,barcode10,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,D_R-Shield,1,washout_2,0,control-washout,3
LAM-70-MGE,LAM-70-MGE-L144,70,2023-05-18,lambchop,F,cm001,barcode11,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,Ethanol,1,washout_2,0,control-washout,3
HER-2-DRS,HER-2-DRS-L145,2,2023-03-11,hera,B,cm001,barcode12,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,D_R-Shield,1,run-in,0,baseline,2
HER-2-MGE,HER-2-MGE-L146,2,2023-03-11,hera,B,cm001,barcode13,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,Ethanol,1,run-in,0,baseline,2
IRI-16-DRS,IRI-16-DRS-L147,16,2023-03-25,iris,B,cm001,barcode14,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,D_R-Shield,1,intervention_1,2,gum,2
IRI-16-MGE,IRI-16-MGE-L148,16,2023-03-25,iris,B,cm001,barcode15,2,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,F,Ethanol,1,intervention_1,2,gum,2
GIN-66-DRS,GIN-66-DRS-L155,66,2023-05-14,ginger,F,cm001,barcode16,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,F,D_R-Shield,2,washout_2,0,gum-washout,2
WOL-70-DRS,WOL-70-DRS-L157,70,2023-05-18,wolverine,B,cm001,barcode17,1,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,M,D_R-Shield,1,washout_2,0,control-washout,2
WOL-70-MGE,WOL-70-MGE-L158,70,2023-05-18,wolverine,B,cm001,barcode18,2,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,NE,M,Ethanol,1,washout_2,0,control-washout,2
JAR-2-DRS,JAR-2-DRS-L159,2,2023-03-11,jarjarbinks,B,cm001,barcode19,2,SQK-LSK114 EXP-PBC096,FLO-MIN114,FAW97410,TX,M,D_R-Shield,1,run-in,0,baseline,3
