"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.0188571428571429	0.000428571428571429	0.329571428571429	0.299428571428571	0.606571428571429	0.193142857142857	0.197285714285714	0.350285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.148714285714286	0.0267142857142857	0.215428571428571	0.134285714285714	0.101285714285714	0.211857142857143	0.065	0.208428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.198285714285714	0.006	0.0758571428571429	0.0455714285714286	0.052	0.0397142857142857	0.0801428571428571	0.107142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.000428571428571429	0.00185714285714286	0	0	0	0.234285714285714	0.287142857142857	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.132285714285714	0.0667142857142857	0.0462857142857143	0.138285714285714	0.0428571428571429	0.0305714285714286	0.00757142857142857	0.0502857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.103285714285714	0.135571428571429	0	0	0	0.0208571428571429	0.0365714285714286	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.00457142857142857	0.226714285714286	0.0105714285714286	0.00257142857142857	0.00628571428571429	0.005	0.00214285714285714	0.00642857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0148571428571429	0.000142857142857143	0.0255714285714286	0.0358571428571429	0.0388571428571429	0.0287142857142857	0.0594285714285714	0.0275714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.0658571428571429	0.069	0	0	0	0.01	0.0225714285714286	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0127142857142857	0.0817142857142857	0.0332857142857143	0.0102857142857143	0.00171428571428571	0.01	0.00257142857142857	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0431428571428571	0.00485714285714286	0.0202857142857143	0.0127142857142857	0.012	0.0138571428571429	0.0171428571428571	0.0214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0161428571428571	0.000714285714285714	0.02	0.0408571428571429	0.00471428571428571	0.00557142857142857	0.00885714285714286	0.0225714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0277142857142857	0	0.02	0.0114285714285714	0.00971428571428571	0.011	0.0144285714285714	0.0221428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.00157142857142857	0.00157142857142857	0.0191428571428571	0.0345714285714286	0.00585714285714286	0.00114285714285714	0.00771428571428571	0.0125714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.00914285714285714	0.002	0.0145714285714286	0.00971428571428571	0.008	0.0138571428571429	0.0107142857142857	0.0158571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0132857142857143	0.00928571428571429	0.00428571428571429	0.0138571428571429	0.0138571428571429	0.00771428571428571	0.00828571428571429	0.0122857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0281428571428571	0.00157142857142857	0.015	0.00471428571428571	0.00428571428571429	0.00557142857142857	0.00757142857142857	0.0142857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.00285714285714286	0.0668571428571429	0.003	0.000714285714285714	0.000857142857142857	0.00214285714285714	0	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00114285714285714	0.0151428571428571	0.0107142857142857	0.021	0.00242857142857143	0.00728571428571429	0.005	0.00728571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.009	0.00157142857142857	0.0142857142857143	0.00971428571428571	0.00528571428571429	0.00914285714285714	0.00757142857142857	0.0117142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.00257142857142857	0.055	0.00542857142857143	0.000428571428571429	0.000142857142857143	0	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00742857142857143	0.003	0.00528571428571429	0.00842857142857143	0.00857142857142857	0.0104285714285714	0.0128571428571429	0.00428571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0.001	0.001	0	0	0	0.0218571428571429	0.033	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.004	0.000428571428571429	0.00714285714285714	0.00471428571428571	0.004	0.00571428571428571	0.0225714285714286	0.00257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00114285714285714	0.00828571428571429	0.00442857142857143	0.0128571428571429	0.00228571428571429	0.00357142857142857	0.00142857142857143	0.00628571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0.00142857142857143	0	0.00942857142857143	0.0148571428571429	0.003	0.00171428571428571	0.00357142857142857	0.00571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00657142857142857	0.00157142857142857	0.00571428571428571	0.00328571428571429	0.00285714285714286	0.00642857142857143	0.00314285714285714	0.00942857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.000571428571428571	0.00114285714285714	0.00457142857142857	0.00471428571428571	0.00614285714285714	0.002	0.00814285714285714	0.0117142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00242857142857143	0.0191428571428571	0.00242857142857143	0.003	0.00257142857142857	0.00185714285714286	0.00171428571428571	0.003
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio dextrinosolvens"	0.000142857142857143	0.000142857142857143	0.00228571428571429	0.007	0.00971428571428571	0.00271428571428571	0.00942857142857143	0.00371428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.0111428571428571	0.00242857142857143	0.00171428571428571	0.00485714285714286	0.00314285714285714	0.004	0.00557142857142857	0.00171428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.000857142857142857	0.0285714285714286	0.00214285714285714	0.000714285714285714	0.000285714285714286	0.00128571428571429	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00928571428571429	0.000571428571428571	0.00542857142857143	0.00357142857142857	0.003	0.004	0.00314285714285714	0.00442857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0.0127142857142857	0.0154285714285714	0	0	0	0.000428571428571429	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00685714285714286	0.000857142857142857	0.00585714285714286	0.00285714285714286	0.00242857142857143	0.003	0.00171428571428571	0.00428571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000714285714285714	0	0.004	0.00371428571428571	0.000142857142857143	0.0157142857142857	0.000714285714285714	0.00214285714285714
