"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.117428571428571	0.276714285714286	0.0208571428571429	0.09	0.197571428571429	0.159571428571429	0.439857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.000428571428571429	0.0508571428571429	0.00642857142857143	0.382428571428571	0.207571428571429	0.350142857142857	0.0102857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0321428571428571	0.235142857142857	0.0418571428571429	0.0988571428571429	0.183857142857143	0.153428571428571	0.0692857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.0225714285714286	0.164428571428571	0.154428571428571	0.219142857142857	0.143571428571429	0.0392857142857143	0.00571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.365142857142857	0.00957142857142857	0.0168571428571429	0.0214285714285714	0.0375714285714286	0.0698571428571429	0.189571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.00971428571428571	0.000714285714285714	0.510714285714286	0.0994285714285714	0.0442857142857143	0.00242857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0474285714285714	0.0522857142857143	0.0581428571428571	0.0451428571428571	0.0837142857142857	0.0697142857142857	0.0231428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0582857142857143	0.01	0.00228571428571429	0.015	0.0315714285714286	0.00957142857142857	0.0962857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.135714285714286	0.0104285714285714	0.00757142857142857	0.00542857142857143	0.00857142857142857	0.0141428571428571	0.04
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00142857142857143	0.176857142857143	0.002	0.00471428571428571	0.0102857142857143	0.00928571428571429	0.00585714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.169428571428571	0.001	0.00357142857142857	0.00114285714285714	0.00585714285714286	0.007	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000142857142857143	0.000142857142857143	0.160285714285714	0.000857142857142857	0.00385714285714286	0.00314285714285714	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00185714285714286	0.00157142857142857	0.000571428571428571	0.00128571428571429	0.00814285714285714	0.0932857142857143	0.00257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.0232857142857143	0	0.000857142857142857	0.000571428571428571	0.000571428571428571	0.00357142857142857	0.0247142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00528571428571429	0.00614285714285714	0.00457142857142857	0.0111428571428571	0.0138571428571429	0.00642857142857143	0.00585714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0.00271428571428571	0	0.000142857142857143	0	0	0	0.0454285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00528571428571429	0.002	0.007	0.00285714285714286	0.0167142857142857	0.00242857142857143	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0.00157142857142857	0	0	0.000428571428571429	0.00314285714285714	0.031
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000142857142857143	0.000428571428571429	0	0.000142857142857143	0.000857142857142857	0.00228571428571429	0.00171428571428571
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0	0	0	0	0	0.00342857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0.000142857142857143	0	0	0.000142857142857143	0.000428571428571429	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae"	0.001	0	0.000428571428571429	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae"	0.000428571428571429	0	0.000571428571428571	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0	0.000428571428571429	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0	0	0	0	0.000285714285714286	0.000428571428571429	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0.000142857142857143	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0	0.000142857142857143	0	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0	0.000285714285714286	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0	0	0	0	0	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0.000142857142857143	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0.000142857142857143	0	0
