"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.214428571428571	0.267142857142857	0.253	0.282714285714286	0.163714285714286	0.311428571428571	0.242428571428571	0.268571428571429	0.115571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.156571428571429	0.160285714285714	0.0362857142857143	0.202714285714286	0.378571428571429	0.210714285714286	0.234714285714286	0.114	0.203714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.199285714285714	0.186285714285714	0.0941428571428571	0.142714285714286	0.181142857142857	0.109857142857143	0.0977142857142857	0.178	0.249142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.139857142857143	0.18	0.107142857142857	0.134714285714286	0.115857142857143	0.143	0.203857142857143	0.214142857142857	0.115571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.182	0.152428571428571	0.113428571428571	0.137571428571429	0.120571428571429	0.166	0.148857142857143	0.178	0.114142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.0835714285714286	0.0141428571428571	0.119428571428571	0.0334285714285714	0.000714285714285714	0	0	0	0.0778571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0127142857142857	0.0277142857142857	0.0891428571428571	0.0401428571428571	0.0184285714285714	0.0282857142857143	0.0308571428571429	0.0294285714285714	0.0254285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00285714285714286	0.00685714285714286	0.0245714285714286	0.0198571428571429	0.0167142857142857	0.0242857142857143	0.0372857142857143	0.0118571428571429	0.0945714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00471428571428571	0.00271428571428571	0.108857142857143	0.000428571428571429	0.000428571428571429	0	0.000142857142857143	0.000428571428571429	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00342857142857143	0.00228571428571429	0.0161428571428571	0.00514285714285714	0.00371428571428571	0.00528571428571429	0.00242857142857143	0.00457142857142857	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0.0248571428571429	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0	0.00942857142857143	0	0	0	0.00114285714285714	0.000428571428571429	0.000142857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000714285714285714	0	0	0.000857142857142857	0.000285714285714286	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0.000285714285714286	0	0.000714285714285714	0	0	0	0	0	0.000857142857142857
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000428571428571429	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0.000285714285714286	0	0	0.000142857142857143	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales"	0	0	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0.000285714285714286	0	0	0	0	0.000285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0	0	0.000142857142857143	0	0
