"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.582	0.366857142857143	0.0422857142857143	0.217	0.402142857142857	0.375142857142857	0.281428571428571	0.346571428571429	0.0342857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0785714285714286	0.111428571428571	0.053	0.289	0.363428571428571	0.275285714285714	0.227	0.202857142857143	0.0258571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.071	0.266714285714286	0.0308571428571429	0.116714285714286	0.0885714285714286	0.162285714285714	0.192714285714286	0.158428571428571	0.0408571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0354285714285714	0.0634285714285714	0.216571428571429	0.0638571428571429	0.0412857142857143	0.0511428571428571	0.0915714285714286	0.0628571428571429	0.485571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0545714285714286	0.0732857142857143	0.0207142857142857	0.0727142857142857	0.0504285714285714	0.0524285714285714	0.0948571428571429	0.0727142857142857	0.0215714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0.293285714285714	0	0	0	0	0	0.0614285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.012	0.022	0.123857142857143	0.0562857142857143	0.00971428571428571	0.0171428571428571	0.023	0.0301428571428571	0.0524285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0328571428571429	0.0321428571428571	0.0221428571428571	0.072	0.00928571428571429	0.0141428571428571	0.0257142857142857	0.0324285714285714	0.0897142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0277142857142857	0.0171428571428571	0.0648571428571429	0.0484285714285714	0.00528571428571429	0.0122857142857143	0.0231428571428571	0.0144285714285714	0.0285714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.000571428571428571	0.00571428571428571	0.0314285714285714	0.00685714285714286	0.000285714285714286	0.000857142857142857	0.00371428571428571	0.00171428571428571	0.0861428571428571
