"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.255142857142857	0.139571428571429	0.0838571428571429	0.163857142857143	0.351857142857143	0.244142857142857	0.204142857142857	0.0177142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.116571428571429	0.167857142857143	0.0334285714285714	0.208714285714286	0.101857142857143	0.0977142857142857	0.147857142857143	0.424714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0717142857142857	0.197571428571429	0.045	0.344571428571429	0.141857142857143	0.199428571428571	0.163142857142857	0.0562857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.00242857142857143	0.000285714285714286	0.659285714285714	0.000142857142857143	0.00771428571428571	0.01	0.0267142857142857	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0151428571428571	0.149714285714286	0.0248571428571429	0.0738571428571429	0.108857142857143	0.0454285714285714	0.0747142857142857	0.0327142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.381	0.000142857142857143	0.000714285714285714	0.00371428571428571	0.00128571428571429	0.0121428571428571	0.0201428571428571	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0228571428571429	0.0478571428571429	0.0185714285714286	0.0557142857142857	0.0395714285714286	0.124	0.0701428571428571	0.0207142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.005	0.0717142857142857	0.012	0.0218571428571429	0.0302857142857143	0.017	0.0452857142857143	0.121428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0175714285714286	0.0272857142857143	0.00671428571428571	0.017	0.0165714285714286	0.0145714285714286	0.0365714285714286	0.0825714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0148571428571429	0.0197142857142857	0.0151428571428571	0.00728571428571429	0.0227142857142857	0.0158571428571429	0.0262857142857143	0.00542857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00471428571428571	0.0145714285714286	0.00557142857142857	0.00971428571428571	0.0217142857142857	0.007	0.0165714285714286	0.0425714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00114285714285714	0.022	0.00214285714285714	0.00385714285714286	0.00714285714285714	0.00957142857142857	0.00242857142857143	0.0611428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.00228571428571429	0	0.0424285714285714	0	0.00142857142857143	0.024	0.0332857142857143	0.00214285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00442857142857143	0.0114285714285714	0.002	0.0214285714285714	0.0157142857142857	0.0325714285714286	0.00528571428571429	0.00357142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.0214285714285714	0.00985714285714286	0.00685714285714286	0.00185714285714286	0.0234285714285714	0.00857142857142857	0.017	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0.0402857142857143	0	0	0	0	0	0.0341428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00585714285714286	0.00571428571428571	0.00242857142857143	0.00757142857142857	0.0172857142857143	0.0135714285714286	0.00814285714285714	0.00914285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0137142857142857	0.009	0.00128571428571429	0.00628571428571429	0.00742857142857143	0.0161428571428571	0.0104285714285714	0.005
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00342857142857143	0.00428571428571429	0.0114285714285714	0.00142857142857143	0.00428571428571429	0.002	0.0164285714285714	0.0212857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.00128571428571429	0.00957142857142857	0.00457142857142857	0.00257142857142857	0.013	0.00871428571428571	0.00728571428571429	0.0162857142857143
