"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.157714285714286	0.290428571428571	0.125571428571429	0.196857142857143	0.192	0.122857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.219714285714286	0.114571428571429	0.145857142857143	0.131285714285714	0.138857142857143	0.0575714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.0682857142857143	0.029	0.0847142857142857	0.0292857142857143	0.0707142857142857	0.136
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0352857142857143	0.0587142857142857	0.108428571428571	0.0405714285714286	0.102571428571429	0.0144285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0312857142857143	0.038	0.0698571428571429	0.102	0.0815714285714286	0.0274285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0472857142857143	0.0294285714285714	0	0.0231428571428571	0.0491428571428571	0.0595714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0205714285714286	0.0128571428571429	0.0255714285714286	0.106428571428571	0.000571428571428571	0.0104285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0305714285714286	0.0427142857142857	0.0268571428571429	0.0238571428571429	0.00671428571428571	0.0404285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0277142857142857	0.0482857142857143	0.00342857142857143	0.000571428571428571	0.0194285714285714	0.0658571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0111428571428571	0.0212857142857143	0.0374285714285714	0.0392857142857143	0.045	0.0102857142857143
