"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.237857142857143	0.224714285714286	0.394714285714286	0.0602857142857143	0.223714285714286	0.137285714285714	0.0952857142857143	0.035
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0798571428571429	0.219142857142857	0.114142857142857	0.0161428571428571	0.115714285714286	0.163571428571429	0.238571428571429	0.178571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0.036	0.0648571428571429	0.0554285714285714	0.007	0.0534285714285714	0.0555714285714286	0.0998571428571429	0.0727142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0422857142857143	0.0782857142857143	0.0742857142857143	0.0168571428571429	0.0361428571428571	0.0338571428571429	0.0651428571428571	0.0267142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.0391428571428571	0.0222857142857143	0.0205714285714286	0.0494285714285714	0.048	0.066	0.0312857142857143	0.0935714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.00914285714285714	0.00328571428571429	0.000714285714285714	0.310857142857143	0.00314285714285714	0.00414285714285714	0.011	0.00914285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0315714285714286	0.0338571428571429	0.045	0.0295714285714286	0.0414285714285714	0.0464285714285714	0.0452857142857143	0.0471428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.0215714285714286	0.0314285714285714	0.0478571428571429	0.000857142857142857	0.0361428571428571	0.037	0.0405714285714286	0.0277142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0188571428571429	0.0314285714285714	0.0167142857142857	0.00214285714285714	0.0241428571428571	0.0287142857142857	0.0577142857142857	0.0257142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.025	0.006	0.0305714285714286	0.00628571428571429	0.0451428571428571	0.0415714285714286	0.00485714285714286	0.00771428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0152857142857143	0.0227142857142857	0.016	0.00528571428571429	0.0201428571428571	0.0231428571428571	0.0397142857142857	0.02
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.0121428571428571	0.00414285714285714	0.00842857142857143	0.0371428571428571	0.0242857142857143	0.0337142857142857	0.0145714285714286	0.0272857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0108571428571429	0.00757142857142857	0.00371428571428571	0.023	0.0104285714285714	0.0191428571428571	0.0198571428571429	0.0405714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.0631428571428571	0.0252857142857143	0.00114285714285714	0.00171428571428571	0.00557142857142857	0.007	0.00328571428571429	0.0151428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.0295714285714286	0.0152857142857143	0.00171428571428571	0.00771428571428571	0.00928571428571429	0.0104285714285714	0.00342857142857143	0.0335714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0105714285714286	0.0157142857142857	0.0255714285714286	0.00271428571428571	0.0108571428571429	0.0101428571428571	0.0217142857142857	0.00814285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris"	0.0194285714285714	0.00714285714285714	0.00814285714285714	0.025	0.009	0.01	0.0111428571428571	0.0125714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.0118571428571429	0.00257142857142857	0.0118571428571429	0.018	0.028	0.0164285714285714	0.00442857142857143	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.015	0.0148571428571429	0.0164285714285714	0.000142857142857143	0.0132857142857143	0.012	0.013	0.009
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.0107142857142857	0.0222857142857143	0.00842857142857143	0.000857142857142857	0.0121428571428571	0.00942857142857143	0.0124285714285714	0.0114285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0.01	0.00414285714285714	0.00442857142857143	0.0132857142857143	0.0147142857142857	0.013	0.00628571428571429	0.0208571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00657142857142857	0.002	0.00514285714285714	0.0341428571428571	0.00928571428571429	0.0107142857142857	0.006	0.0115714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0261428571428571	0.0125714285714286	0.00871428571428571	0.00214285714285714	0.0171428571428571	0.00328571428571429	0.00514285714285714	0.00514285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00571428571428571	0.00414285714285714	0.00385714285714286	0.00414285714285714	0.0178571428571429	0.0141428571428571	0.0157142857142857	0.0117142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.00228571428571429	0.000285714285714286	0.000857142857142857	0.0615714285714286	0.002	0.000428571428571429	0.000142857142857143	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.00442857142857143	0.00214285714285714	0.00128571428571429	0.0311428571428571	0.00628571428571429	0.00742857142857143	0.00414285714285714	0.009
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00514285714285714	0.00728571428571429	0.00242857142857143	0.00242857142857143	0.00685714285714286	0.00514285714285714	0.0152857142857143	0.0157142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00585714285714286	0.00742857142857143	0.00142857142857143	0.000428571428571429	0.00714285714285714	0.00471428571428571	0.0112857142857143	0.0174285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00557142857142857	0.00914285714285714	0.00471428571428571	0.00128571428571429	0.00628571428571429	0.00714285714285714	0.00742857142857143	0.00642857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.016	0.0154285714285714	0.00114285714285714	0	0.00257142857142857	0.00114285714285714	0.006	0.00528571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.005	0.00257142857142857	0.00342857142857143	0.013	0.006	0.00585714285714286	0.00171428571428571	0.00571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0.00771428571428571	0.00314285714285714	0.00242857142857143	0.000857142857142857	0.007	0.00514285714285714	0.000714285714285714	0.0107142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oryzae"	0.00242857142857143	0.00142857142857143	0.00185714285714286	0.001	0.00671428571428571	0.00771428571428571	0.00228571428571429	0.00985714285714286
