"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.517428571428571	0.74	0.123285714285714	0.612	0.763571428571429	0.531428571428571	0.612142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.146142857142857	0.081	0.531285714285714	0.127571428571429	0.0595714285714286	0.265428571428571	0.0651428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.197285714285714	0.0717142857142857	0.0192857142857143	0.176857142857143	0.116428571428571	0.052	0.145
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.016	0.0275714285714286	0.167428571428571	0.0257142857142857	0.0158571428571429	0.091	0.0224285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0204285714285714	0.0181428571428571	0.00742857142857143	0.0528571428571429	0.00657142857142857	0.00485714285714286	0.119571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0724285714285714	0.0411428571428571	0.00328571428571429	0.000142857142857143	0.00514285714285714	0.0425714285714286	0.0194285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0.000285714285714286	0.000142857142857143	0.127714285714286	0.000142857142857143	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.0104285714285714	0.0165714285714286	0.0171428571428571	0.00314285714285714	0.0324285714285714	0.012	0.0101428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.0175714285714286	0.000857142857142857	0	0.00128571428571429	0.000428571428571429	0.000571428571428571	0.002
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00157142857142857	0.00271428571428571	0.00314285714285714	0.000142857142857143	0	0.000142857142857143	0.004
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Tissierellia"	0.000142857142857143	0	0	0	0	0	0
