"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.000142857142857143	0	0.186142857142857	0.105857142857143	0.266	0.326571428571429	0.0791428571428571	0.238428571428571	0.519285714285714	0.702428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.212	0.264285714285714	0.338142857142857	0.0914285714285714	0.209571428571429	0.294	0.217142857142857	0.302571428571429	0.166142857142857	0.0287142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0	0	0.267	0.191571428571429	0.303428571428571	0.143571428571429	0.169571428571429	0.204571428571429	0.103857142857143	0.025
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0778571428571429	0.376714285714286	0.0778571428571429	0.143	0.0542857142857143	0.0492857142857143	0.301142857142857	0.102571428571429	0.0671428571428571	0.014
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.388	0.166857142857143	0.0247142857142857	0.023	0.000714285714285714	0.00157142857142857	0.00114285714285714	0.00328571428571429	0.01	0.0195714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.298428571428571	0.122142857142857	0.0125714285714286	0.0421428571428571	0.000571428571428571	0.001	0.001	0.000714285714285714	0.00242857142857143	0.0195714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00271428571428571	0.0248571428571429	0.0114285714285714	0.0217142857142857	0.0114285714285714	0.0455714285714286	0.0152857142857143	0.0238571428571429	0.026	0.0538571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0	0	0.000142857142857143	0.0994285714285714	0.0441428571428571	0.0112857142857143	0.0422857142857143	0.0137142857142857	0.0105714285714286	0.00942857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.000142857142857143	0	0.000428571428571429	0.103285714285714	0.00871428571428571	0.00985714285714286	0.0627142857142857	0.011	0.00357142857142857	0.00114285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0	0	0.0378571428571429	0.0162857142857143	0.0124285714285714	0.0332857142857143	0.0112857142857143	0.0162857142857143	0.0322857142857143	0.0237142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0	0	0	0.0348571428571429	0.0194285714285714	0.0115714285714286	0.0247142857142857	0.0174285714285714	0.007	0.000571428571428571
