"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.161142857142857	0.0875714285714286	0.103285714285714	0.121285714285714	0.324	0.322714285714286	0.112571428571429	0.267142857142857	0.122857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.00114285714285714	0.637428571428571	0.127	0.121571428571429	0.046	0.0587142857142857	0.274857142857143	0.0182857142857143	0.332285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.306571428571429	0.0941428571428571	0.190714285714286	0.142857142857143	0.231285714285714	0.238714285714286	0.172857142857143	0.108714285714286	0.128285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.193857142857143	0.0545714285714286	0.251857142857143	0.309428571428571	0.0852857142857143	0.0554285714285714	0.181428571428571	0.156714285714286	0.0517142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.0817142857142857	0.0542857142857143	0.179142857142857	0.139857142857143	0.0917142857142857	0.102714285714286	0.116714285714286	0.107714285714286	0.0685714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.065	0.012	0.0162857142857143	0.025	0.0564285714285714	0.0655714285714286	0.0207142857142857	0.105714285714286	0.115714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0845714285714286	0.0165714285714286	0.0384285714285714	0.0404285714285714	0.0402857142857143	0.04	0.0232857142857143	0.053	0.0688571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0248571428571429	0.0125714285714286	0.0102857142857143	0.0171428571428571	0.0262857142857143	0.0307142857142857	0.015	0.0767142857142857	0.0494285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0241428571428571	0.004	0.0172857142857143	0.0224285714285714	0.0137142857142857	0.0182857142857143	0.0124285714285714	0.0228571428571429	0.015
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0148571428571429	0.00542857142857143	0.021	0.0172857142857143	0.0217142857142857	0.03	0.0141428571428571	0.00928571428571429	0.00771428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.003	0.00642857142857143	0.0107142857142857	0.01	0.0195714285714286	0.0104285714285714	0.0108571428571429	0.00771428571428571	0.00928571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00871428571428571	0.00357142857142857	0.0135714285714286	0.0131428571428571	0.00928571428571429	0.011	0.011	0.00942857142857143	0.00528571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00885714285714286	0.00228571428571429	0.000857142857142857	0.003	0.0148571428571429	0.004	0.0142857142857143	0.015	0.00871428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.005	0.00114285714285714	0.000857142857142857	0.00171428571428571	0.00528571428571429	0.004	0.00371428571428571	0.0118571428571429	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00685714285714286	0.002	0.000857142857142857	0.00171428571428571	0.00271428571428571	0.00357142857142857	0.00285714285714286	0.01	0.005
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0	0.00342857142857143	0.00685714285714286	0.005	0.00657142857142857	0.000714285714285714	0.00585714285714286	0.00185714285714286	0.000142857142857143
