"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.306571428571429	0.0941428571428571	0.190714285714286	0.142857142857143	0.231285714285714	0.238714285714286	0.172857142857143	0.108714285714286	0.128285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.167285714285714	0.0357142857142857	0.224428571428571	0.204285714285714	0.0567142857142857	0.0365714285714286	0.125142857142857	0.137	0.0344285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0662857142857143	0.0371428571428571	0.0382857142857143	0.0494285714285714	0.126428571428571	0.128714285714286	0.0485714285714286	0.0811428571428571	0.0202857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.000285714285714286	0.338714285714286	0.0151428571428571	0.00628571428571429	0.00257142857142857	0.0238571428571429	0.0828571428571429	0.00771428571428571	0.0762857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0552857142857143	0.00771428571428571	0.0134285714285714	0.0172857142857143	0.0358571428571429	0.0458571428571429	0.0151428571428571	0.0898571428571429	0.0761428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0565714285714286	0.0125714285714286	0.0211428571428571	0.0235714285714286	0.0445714285714286	0.0471428571428571	0.0164285714285714	0.0845714285714286	0.0382857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0242857142857143	0.0162857142857143	0.0242857142857143	0.0921428571428571	0.0251428571428571	0.0165714285714286	0.0492857142857143	0.0174285714285714	0.015
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.000714285714285714	0.133857142857143	0.00642857142857143	0.00242857142857143	0.000285714285714286	0.00728571428571429	0.0305714285714286	0.004	0.033
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0157142857142857	0.0112857142857143	0.0145714285714286	0.0152857142857143	0.0385714285714286	0.0337142857142857	0.014	0.0334285714285714	0.0207142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasiroggenkampii"	0	0.000285714285714286	0.067	0.0672857142857143	0.0261428571428571	0.00985714285714286	0.000857142857142857	0	0.0124285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0161428571428571	0.0108571428571429	0.0481428571428571	0.036	0.0111428571428571	0.00657142857142857	0.0228571428571429	0.0261428571428571	0.00471428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0428571428571429	0.00657142857142857	0.0214285714285714	0.0147142857142857	0.0127142857142857	0.0167142857142857	0.009	0.0277142857142857	0.027
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0164285714285714	0.00685714285714286	0.0232857142857143	0.0155714285714286	0.0168571428571429	0.0191428571428571	0.0187142857142857	0.019	0.0194285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.0235714285714286	0.00642857142857143	0.00642857142857143	0.0107142857142857	0.0137142857142857	0.0171428571428571	0.01	0.044	0.0227142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.00242857142857143	0.0101428571428571	0.00757142857142857	0.00614285714285714	0.041	0.0445714285714286	0.007	0.0157142857142857	0.00571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia marmotae"	0	0.0841428571428571	0.00428571428571429	0.00128571428571429	0.000571428571428571	0.005	0.0191428571428571	0.00157142857142857	0.0118571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0144285714285714	0.00628571428571429	0.0175714285714286	0.0141428571428571	0.0117142857142857	0.0174285714285714	0.0134285714285714	0.016	0.0142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00128571428571429	0.00614285714285714	0.00385714285714286	0.00642857142857143	0.0122857142857143	0.0135714285714286	0.005	0.0325714285714286	0.0267142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.012	0.006	0.0208571428571429	0.00857142857142857	0.00814285714285714	0.0118571428571429	0.012	0.0148571428571429	0.00642857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.0127142857142857	0.00442857142857143	0.00514285714285714	0.00828571428571429	0.0151428571428571	0.0152857142857143	0.007	0.017	0.013
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0147142857142857	0.00157142857142857	0.0118571428571429	0.0137142857142857	0.00757142857142857	0.00985714285714286	0.00814285714285714	0.015	0.00857142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter asburiae"	0	0	0.008	0.00657142857142857	0.00342857142857143	0.001	0	0	0.0672857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00871428571428571	0.00357142857142857	0.0135714285714286	0.0131428571428571	0.00928571428571429	0.011	0.011	0.00942857142857143	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0132857142857143	0.00242857142857143	0.0142857142857143	0.00957142857142857	0.01	0.0165714285714286	0.00928571428571429	0.00485714285714286	0.003
