"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"lambchop17",36,55.5,14.7305376255838,59.3214644171486,4.1573559741487,1.64825144818164,0.738697020408163,3.82697511357134,4.96404735433422,0.459953324229329,0.998142857142857
"lambchop18",48,59.375,8.08117778008394,65.1363814389102,4.06771639659431,2.35660393076407,0.871878775510204,7.80510804499565,6.9389174356661,0.608752664644349,0.998
"lambchop25",48,111.333333333333,42.3594654632739,103.9500297442,5.76719116175215,2.0844610007717,0.820360448979592,5.5667028464483,6.9389174356661,0.538453310716316,0.997142857142857
"lambchop37",148,274.428571428571,47.6434579650734,247.131487368508,8.65433623212714,3.20381618626834,0.925277020408163,13.3827639832131,26.526632000869,0.641120691047828,0.991428571428571
"lambchop44",98,192.6,41.6162048226669,193.175424836601,8.43386292360267,2.25776577577464,0.813901551020408,5.37349991621726,16.13111429914,0.492427871359577,0.993714285714286
"lambchop46",97,115.913043478261,9.11717968008261,131.936536312849,5.94221478620337,2.33104538256262,0.828186693877551,5.82027098231445,15.9344037829937,0.509550306787954,0.995714285714286
"lambchop48",101,139.75,18.8034198313143,138.217902792493,6.01837635107364,2.83804258879671,0.904224653061224,10.4411002618372,16.7240647590588,0.614944415522905,0.995571428571429
"lambchop50",97,131.363636363636,17.5159406007067,124.537891737892,5.54778981138324,2.44000223157573,0.853003102040816,6.80286464465167,15.9344037829937,0.533367516120981,0.996
"lambchop55",67,79,7.95923156395186,88.8727838782063,5.22672592075545,1.93341772017838,0.696934612244898,3.29961797157803,10.2661997439582,0.459823795742394,0.997714285714286
"lambchop70",111,258.333333333333,63.1861435635991,219.909631868081,8.62675996732578,1.65110733635606,0.513686571428571,2.05628703887029,18.7304232979908,0.350588544032688,0.992571428571429
