"","buddy11","hamlet11","hera11","padme11","ginger14","hera14","jarjarbinks14","joans14","kubo14","wolverine14","jarjarbinks15","kubo15","buddy16","iris16","hamlet17","hera17","iris17","lambchop17","wolverine17","lambchop18","franc19","ophelia19","goose20","jarjarbinks21","joans21","korra21","kubo21","franc22","goose22","grogu22","hamlet22","iris22","hera24","ivy24","marshmallow24","hamlet25","lambchop25","ginger27","henry29","ivy29","jarjarbinks29","joans29","korra29","kubo30","hamlet31","jarjarbinks32","grogu36","henry36","iris36","ivy36","goose37","grogu37","lambchop37","marshmallow37","ophelia37","wolverine37","charles41","grogu41","hamlet41","joans41","marshmallow41","goose42","henry42","ginger43","ophelia43","buddy44","franc44","goose44","hera44","iris44","ivy44","jarjarbinks44","joans44","korra44","lambchop44","marshmallow44","wolverine44","franc45","grogu45","hera45","ophelia45","buddy46","charles46","ginger46","iris46","ivy46","lambchop46","franc47","ivy47","buddy48","franc48","henry48","korra48","kubo48","lambchop48","ophelia48","charles49","franc49","ginger49","jarjarbinks49","joans49","marshmallow49","ophelia49","wolverine49","buddy50","charles50","ginger50","grogu50","lambchop50","charles51","joans51","ginger52","marshmallow53","charles55","ginger55","lambchop55","ophelia55","buddy56","franc56","grogu56","joans56","buddy57","charles57","joans57","ophelia57","wolverine57","hera58","korra58","kubo58","wolverine58","hamlet59","henry59","iris59","ophelia59","iris60","marshmallow60","wolverine60","ginger66","henry66","hamlet67","hera67","franc68","jarjarbinks68","grogu70","ivy70","lambchop70","marshmallow70","wolverine70"
"buddy11",0,0.33754055843896,0.265600432733493,0.26666741752765,0.310929981960027,0.234579320130587,0.313490900140982,0.524305361018114,0.316498673519958,0.261282793933058,0.26596494057616,0.226177132404725,0.363475832745648,0.268474613240466,0.262068658196552,0.526096989363871,0.221230319676039,0.37798523882708,0.264158101375343,0.280885916525107,0.12084874419415,0.23985920062051,0.2055435689642,0.176640144374584,0.161619838154482,0.0844879869948711,0.183287947880864,0.187329444298813,0.0946423069086998,0.492057688945467,0.388600100280822,0.232399178203079,0.263424737880539,0.25520376145359,0.406204667917101,0.259566527025534,0.190948026681582,0.242472637508946,0.143938602961186,0.282785093349099,0.15368227343364,0.181344889470686,0.237779430401053,0.320760962099679,0.196353540221139,0.130404171920848,0.439771754469339,0.206019465074431,0.422127629231316,0.4366879101006,0.116100043873909,0.549464110703253,0.134838711943194,0.360927267668064,0.346537381375267,0.280168128702535,0.529107033008674,0.442022713224205,0.215605486029892,0.220311673564469,0.308056463539325,0.15525037958519,0.194752834868158,0.431416062962487,0.187165869213723,0.188530073302417,0.292532217198606,0.317319824670504,0.510048330161369,0.227341920887249,0.209484192943981,0.400112956787896,0.154070588899906,0.421533984700204,0.209245579827186,0.2388682853027,0.175269807429699,0.181603688427262,0.225627779297145,0.3795151444086,0.159000362585225,0.252948933277218,0.18901618768039,0.212056777777951,0.237843568612446,0.333002770084523,0.242306266861568,0.218448980156544,0.235775849755402,0.365708961798964,0.215984066403081,0.277684734850328,0.10270602327124,0.208938835475338,0.203639341908196,0.332015660291325,0.37078993677459,0.211152665861629,0.332436415350512,0.221499665469263,0.178333173886288,0.266012268967056,0.339555684509458,0.163186323882151,0.268438866979296,0.201645117262485,0.288173513955974,0.420566646466293,0.186729519972428,0.165048553128331,0.329126725252022,0.214760735141936,0.53528839272036,0.237418670034352,0.240943501115354,0.35961923571206,0.168301628827152,0.312684516763084,0.262992013250653,0.477812085627045,0.140634283188804,0.20476735150008,0.484726085073152,0.324661458493234,0.349130926684716,0.234627469760154,0.522218833696311,0.280400313012583,0.256744260950699,0.206995247595007,0.226276097583921,0.201423911258798,0.245311420954102,0.247526165995058,0.367901508445003,0.247175750149895,0.21370370039356,0.47852293743622,0.350665050248105,0.508284523344872,0.35876182702558,0.149023141887629,0.132065202800049,0.453204104194253,0.22070913497802,0.511630659947406,0.43852368010951,0.283489614598875
"hamlet11",0.33754055843896,0,0.282331585922341,0.200300799827579,0.358455670630966,0.257531100120347,0.312817711544116,0.653552234974591,0.432662948490162,0.294190267775134,0.278914987604423,0.321151453941978,0.353682803990864,0.304436892575294,0.320520112016624,0.522274929373857,0.310744970542578,0.531071714584159,0.306746558504083,0.504662902198103,0.341406063519793,0.29827973620918,0.349242017605968,0.353995086238124,0.352109259196854,0.342671708231159,0.306385798748318,0.357504260552168,0.34812678075187,0.582606172361325,0.519871047995174,0.31908511714971,0.311559272695494,0.266212029935476,0.496823450709522,0.307291638015071,0.365267126398225,0.340536433286567,0.309434365073025,0.337661878348783,0.340337996038116,0.365708418252187,0.419491519997653,0.442672323487493,0.286096008462571,0.357545209775152,0.504675842331675,0.298049994669078,0.472007349806648,0.517436930183336,0.360471553644392,0.640097083368192,0.372706678301345,0.493001930164182,0.461696677268099,0.31907629342833,0.44522181936141,0.521847488126703,0.281214709350396,0.413507908338174,0.490421541265786,0.357608119346323,0.316200748027707,0.513982892420095,0.291532293193635,0.345982119596464,0.315544960385857,0.443764347762768,0.498160130401383,0.293263718987689,0.359185728546488,0.49070073144441,0.375565273593016,0.484233663365224,0.35994426235923,0.397996284640799,0.301705087334515,0.360416321074337,0.389540012077181,0.347705297930833,0.276576554664859,0.423450451812742,0.383573291134345,0.330701903491094,0.319773259678365,0.379709259681689,0.367469940423155,0.343825940083905,0.294698741863392,0.491960210507857,0.368066948309815,0.364684582779445,0.350841372527578,0.315145744012082,0.376499618140481,0.337338861379803,0.502654623616321,0.375127804380842,0.416776798740724,0.378110836854652,0.391740087811093,0.41367917470402,0.35385680890322,0.292013777009164,0.444012944256224,0.36953546887438,0.383024722782409,0.532499819199066,0.364872981800897,0.351754433898289,0.429632990887225,0.331113696495586,0.625818160313305,0.377561325004305,0.33632954902048,0.433910164851603,0.298367612425387,0.468390242605882,0.321571588291059,0.560654283201188,0.33972930563839,0.372863252565788,0.539559383388862,0.485633627707268,0.333846883668987,0.365485987655804,0.530256614103222,0.482753587166421,0.38733126654563,0.385805665310404,0.282133779737058,0.340365877897893,0.351451767419329,0.399333786741905,0.388318633031475,0.448355625185556,0.32266640473195,0.533902384915002,0.384612940490296,0.499029788164197,0.413802972234332,0.358035968311611,0.330828130899867,0.541734685189075,0.355173874825306,0.587046510185093,0.513983065267269,0.296477260073454
"hera11",0.265600432733493,0.282331585922341,0,0.152536422747138,0.173649675567514,0.119169876417941,0.320585709347438,0.61098455251439,0.376177394470173,0.18672502463128,0.21954119696077,0.0845092707533332,0.509283084627056,0.308383496840454,0.319762240950743,0.597319973438351,0.25537351209142,0.473466532002178,0.212311872421604,0.343476959413997,0.233245255499865,0.273319469661201,0.232558005938176,0.259118512330958,0.235296434158338,0.257268187168949,0.178143976335028,0.303771235843045,0.267812337415797,0.557810402624751,0.465088808578115,0.220252465902152,0.301822604882889,0.202177563898154,0.455702294362527,0.283654821287859,0.282938065307195,0.214923626247817,0.241635692828344,0.16995056777279,0.194293395082385,0.240189758931694,0.307239014357749,0.388847275803263,0.176795050962303,0.282933988753281,0.534939157854201,0.231412493223506,0.536876835389901,0.580681402855676,0.277706711070739,0.618578709133699,0.301265353791487,0.496344070694401,0.434555020364798,0.168874847220639,0.567838551679818,0.529239685092838,0.178521472914298,0.233604964471608,0.512641398845359,0.260695719879016,0.250100414147327,0.569693157673527,0.166707299835988,0.34446418031227,0.352102974420164,0.26061351293274,0.574705506968513,0.264755796457311,0.226895223888236,0.540566979909369,0.361597575325372,0.548118493251186,0.322767773055052,0.33956614929172,0.24396047773078,0.305912954438717,0.23054993761938,0.428663023151114,0.162511926285086,0.453262000577004,0.370806249525719,0.263711514735114,0.319175069905698,0.230064038670628,0.357319837238167,0.273553999468233,0.250192446744776,0.455748740441524,0.338813003597269,0.256697283894353,0.272970713341595,0.310488957675174,0.252620687773079,0.378897685451169,0.452103029268235,0.31901965254459,0.26643729898996,0.29554536565934,0.362806835629999,0.32573345954957,0.384319787436368,0.186014342664476,0.37896353798014,0.234639136342988,0.238032946639066,0.496634151466885,0.303991153662821,0.281490999419454,0.477097818535069,0.253234580779333,0.603274457260982,0.357700342974139,0.228669854914501,0.496246397421515,0.256589868072086,0.404886308848581,0.287957050818285,0.535117313692533,0.233437047818433,0.334128454701114,0.611147226716901,0.428284243853047,0.396750253962611,0.282967005512881,0.595224304104324,0.497971418776729,0.411599307445911,0.154782711693961,0.236809869519379,0.292630592753668,0.31958981921541,0.408160865213173,0.453995524914319,0.400704882379947,0.158757201284577,0.597196514814817,0.459798036877506,0.576905595085822,0.242557077107114,0.206343365173516,0.254993588738145,0.512807474202249,0.162216411801857,0.635694489581788,0.569244801798578,0.323208498883403
"padme11",0.26666741752765,0.200300799827579,0.152536422747138,0,0.25953778493387,0.218301967099132,0.353501547346892,0.587607206426524,0.366092375777761,0.274549705439173,0.283200525485469,0.171169521482925,0.385133723346402,0.30963437977386,0.344608319274034,0.57556371075045,0.311802711091582,0.46547208870442,0.295838889405312,0.386786026198245,0.273583355660874,0.322469721385685,0.298718137032344,0.301397073778154,0.255803091183204,0.270332188191872,0.24052318177072,0.336305786265445,0.27907331285074,0.542943406223724,0.46451222674589,0.286020816671508,0.341969758884138,0.268578122337633,0.462677550661104,0.332969006833347,0.310224015763607,0.269210908595988,0.248593880796295,0.247591528679862,0.23590131728042,0.269776657189466,0.305631434352315,0.391357494610626,0.251279376019676,0.292931246581396,0.522734952990478,0.292896641941058,0.501264399710342,0.547809879037619,0.302880896509757,0.602188725763319,0.310755407831092,0.475754366195931,0.42870731030721,0.245090817534417,0.48546168038642,0.514539524730111,0.254478647545046,0.293286798778716,0.482156505385454,0.301025128098799,0.294428145456401,0.538970024990213,0.230109133537798,0.331711405970796,0.321531763256638,0.34349628896677,0.553004214478325,0.286028455317248,0.298064721592948,0.512430121154217,0.342182650770439,0.525158408027205,0.340902812304708,0.328772012034732,0.235020534527884,0.319833750166881,0.278985589889547,0.425179840537827,0.22108076654284,0.425557498854265,0.346721943325844,0.314812371259679,0.306702310354245,0.304742632549114,0.33679026403043,0.325509914715927,0.267600314563041,0.438266671796652,0.355395660512025,0.325892020934327,0.280818133732028,0.317137037054214,0.297400585282174,0.37406056827861,0.425814307506236,0.349033527382519,0.334728681228015,0.324707322176456,0.349016979553401,0.333624822275085,0.384740232920205,0.233251277483534,0.366366528146669,0.264125289003434,0.298074125240364,0.493427137690163,0.322140949623874,0.300326622554921,0.448212273814722,0.305783427686925,0.588371190258678,0.369330965701269,0.285790649651971,0.465393369354141,0.27993428009292,0.399447509166364,0.334929452017304,0.526014656943712,0.270834267648653,0.320787287986248,0.574443499476899,0.414870495256618,0.394162243680083,0.290167736839043,0.570116515432979,0.458685538218428,0.389354728250531,0.242630587197155,0.269384894277034,0.325284800141242,0.350162502680465,0.391691134254938,0.448535613313026,0.388671381871788,0.211804944190557,0.568741877887465,0.444118251907363,0.557751749891686,0.34605715939047,0.254851952962751,0.269188412644997,0.503796280467286,0.23634418351884,0.600241185271745,0.536277494410451,0.314701896981776
"ginger14",0.310929981960027,0.358455670630966,0.173649675567514,0.25953778493387,0,0.14658926368004,0.383678270724355,0.667205570726471,0.451881015292241,0.212307462611041,0.287250313520382,0.177752592721536,0.580620872474414,0.31700833801069,0.333530679574234,0.627598595330443,0.251482509043975,0.523014110949272,0.156604915988025,0.335936062895269,0.281922178489592,0.279100645134256,0.235426636444622,0.266419527068892,0.256026216315724,0.301454569298808,0.231066271040238,0.306067701513519,0.320256611366596,0.591113781463519,0.528983420906932,0.157824308232617,0.321878438469613,0.261141643438606,0.498151461787528,0.29310910936449,0.240024045546001,0.114213200678616,0.288808043907601,0.115735007469623,0.233630612804035,0.262444768337885,0.358195647438764,0.430598854519979,0.192078479413537,0.33001258027388,0.587621799168274,0.233905380791671,0.554242191077321,0.590608202787834,0.301094880256203,0.651432999151581,0.336500545190934,0.511427628404397,0.515308121796222,0.135460736800044,0.613722166989857,0.572192817558423,0.265944569851953,0.272572182992438,0.534449952056226,0.268358049575932,0.221871002904998,0.56879107350408,0.272811787446121,0.375692667588277,0.443586555771043,0.22313783188625,0.607343796870587,0.264876941583362,0.212168885571398,0.60263926536525,0.378131673891343,0.544959184929263,0.314017426240311,0.350417845530072,0.297368673760878,0.326890870816759,0.227020681506313,0.44843342190153,0.257851258269039,0.479004694510537,0.394226518836372,0.223930382914593,0.32832923593279,0.14688527648009,0.352504419656819,0.202261834216884,0.284043294605446,0.465323726480907,0.337092228182148,0.225564170632649,0.313773116481642,0.307916972780496,0.203829229146596,0.433011588870251,0.512729614440293,0.32693994520346,0.151943344875471,0.335281805782367,0.373986853417495,0.355299563144138,0.451745053092167,0.233659167437843,0.419845420104184,0.211460292416423,0.126152287871224,0.523195710164825,0.27483774817531,0.298781131496529,0.499593153069158,0.165780766485251,0.636752023045899,0.354087000082505,0.136520268879369,0.487734482541238,0.356807132486206,0.448357855298789,0.31653786075781,0.573241337679448,0.222099837987104,0.349929424054435,0.622004957145945,0.465925290199746,0.427767059496896,0.342592204947664,0.637707756387833,0.536934105038162,0.448917436080137,0.190471394264298,0.317205522778483,0.23082293072712,0.329560811614412,0.469484350322727,0.457559618714774,0.434458619262524,0.174671487807339,0.60709639971267,0.457549571655676,0.603847120830244,0.159411129547412,0.225470977583107,0.2899478014972,0.557034530027029,0.201371997670764,0.649711753104798,0.609707388661992,0.33631211476594
"hera14",0.234579320130587,0.257531100120347,0.119169876417941,0.218301967099132,0.14658926368004,0,0.275045034895987,0.637466327592876,0.4054183247232,0.154278652943048,0.183917351530282,0.14235456951162,0.50182132036142,0.272230709306068,0.251892269190774,0.543499292581544,0.194646745909192,0.504270407569364,0.12594047680662,0.340563079138258,0.218677575369268,0.189347624110428,0.187430528849512,0.194769359267009,0.204200367220172,0.235793536748296,0.152762937494794,0.262203379894341,0.26302603587525,0.567267002491559,0.494781859011928,0.135462739625465,0.238877175178529,0.184053714214963,0.463235408656525,0.20055311376264,0.197797336859047,0.1410802027487,0.213017755142515,0.13213576673743,0.196434705780334,0.248181159273122,0.336961094724123,0.397298180861786,0.0983688663277663,0.266949382517295,0.490254766515748,0.166702009065885,0.487771140742629,0.537184989522501,0.239699348471297,0.630597342788604,0.27667430406135,0.467048353550826,0.437363513534722,0.127717630028603,0.532130587519021,0.503098693727801,0.148063917763904,0.272190201735242,0.472095131617928,0.218901325312527,0.18704851306822,0.526758325543245,0.168579158817087,0.300982707244874,0.341533716398316,0.256233065812155,0.522361068599598,0.21905232906227,0.183136461549987,0.50007034168144,0.310779794654866,0.49321793924741,0.259799898146312,0.337950911832416,0.218795820551586,0.266697942882253,0.237189848355079,0.362562888524044,0.144042399036206,0.406905801511195,0.327258276356611,0.185546391599357,0.254161805598207,0.203642523636428,0.301507795684336,0.187764406961068,0.205706927559726,0.461478210758417,0.290042511597277,0.217139324715941,0.252320905768469,0.245165584464107,0.193588588851495,0.315114277015506,0.481427861243437,0.275489554683868,0.237613965016348,0.266216615060488,0.314487892125669,0.350698212953573,0.333771776485099,0.150455035510604,0.398470198841691,0.198446846779055,0.194108483238651,0.502905279320414,0.223266887393871,0.230058361626757,0.428723153463733,0.164316382123636,0.616301671468283,0.298168608496648,0.15275377671649,0.445295319904296,0.238583851616366,0.433548970505544,0.2450649527932,0.549667782462694,0.160725713133796,0.306222094574671,0.561606947320129,0.454581152721826,0.335607335801188,0.318546217168773,0.54321182033753,0.472315334761157,0.377764623784137,0.167557655717647,0.20523723828537,0.195293834097793,0.275510996045913,0.372244313851775,0.400354610399234,0.403702223561268,0.117585558979772,0.553924531824605,0.39385298168669,0.519653842306636,0.21474377144249,0.205757264913158,0.225895489100579,0.515812483526626,0.17623958272113,0.598195245937285,0.516446971505552,0.277104730085981
"jarjarbinks14",0.313490900140982,0.312817711544116,0.320585709347438,0.353501547346892,0.383678270724355,0.275045034895987,0,0.70351365862068,0.467587404391547,0.228143958215696,0.177137271387605,0.319185580086817,0.418766288575976,0.179985340846464,0.140389011377872,0.437233395151918,0.194707467284973,0.581858158508251,0.272537002994142,0.529823254073663,0.242756715771591,0.138290678106608,0.295253004883677,0.272603166641794,0.378679102300578,0.287597439440497,0.245187620520871,0.195847207520508,0.294597959696172,0.611605126871313,0.535387715902473,0.300177768176061,0.122087264587029,0.212784188173109,0.49847268501162,0.130488723886078,0.291180005577296,0.328644398699237,0.208936220796587,0.345679074327203,0.314856320966941,0.367341647860839,0.450517440951143,0.438074061538092,0.221997374123953,0.28979458976326,0.524685618186982,0.189332788397626,0.395666326379196,0.445999368756842,0.266776680374975,0.677014051525641,0.301676817404459,0.502161177122879,0.477415704455436,0.295687642415443,0.439309724828724,0.54098643061279,0.208801751594234,0.33662764536875,0.409493371922025,0.305645123375003,0.249838343756608,0.437474492759482,0.226393134314809,0.292879830593121,0.258225704094813,0.406054219099839,0.415241079662271,0.179878530894172,0.298405334595057,0.388944982526018,0.246214667871615,0.402840059747114,0.240328978795129,0.386305451225317,0.257626226952291,0.194396767664127,0.392940593666992,0.223961974302265,0.220053655637086,0.310242001493476,0.253193816764763,0.264427258163209,0.184676718130982,0.39172724108355,0.299386830150974,0.300566876487564,0.206461693847343,0.512611753175039,0.197470304721027,0.277509800788454,0.246550736264484,0.17626961796707,0.358582191969999,0.164286525986464,0.529619175518137,0.216190974721391,0.438067021900551,0.256124832643794,0.252870159249771,0.402071609102475,0.186899840565365,0.229385023074674,0.432175475544521,0.369773089176762,0.388929883402974,0.549942069156956,0.265567498443679,0.213457972857516,0.337172412221817,0.314181002224398,0.662414613614516,0.252700470726329,0.316719411705255,0.371475141942813,0.246964205078702,0.486001563673404,0.112725690817757,0.592383007296227,0.287364282460373,0.342194180450718,0.462459217389288,0.505751843398917,0.196995007014583,0.404655113864996,0.444291780833361,0.39828230038906,0.280700280540724,0.396124944524749,0.11165103834142,0.259310481474673,0.15423203540578,0.267229628261448,0.246168703709409,0.451777587744359,0.32337548742555,0.474143706901644,0.284762266849558,0.405009245124368,0.423508495643959,0.350832698626202,0.250102011851591,0.563471795054006,0.346453227819185,0.537444229992305,0.412992789804026,0.188849552181163
"joans14",0.524305361018114,0.653552234974591,0.61098455251439,0.587607206426524,0.667205570726471,0.637466327592876,0.70351365862068,0,0.248869081791123,0.705766338064802,0.702389841791774,0.582233654472214,0.507928904473861,0.69493427480246,0.686892436314485,0.676331947187024,0.696456912301809,0.17496386942808,0.692893150256672,0.452435421084085,0.638499615964197,0.680577828928712,0.660257292094662,0.631117168952928,0.551202767550991,0.531279096538011,0.616997471074554,0.695132129410827,0.547541866965091,0.29690077797619,0.175718827074891,0.683013395773988,0.69406171139861,0.662229517429729,0.384773527612613,0.678131265342962,0.656666415150649,0.679932312942892,0.610694640146507,0.644816760968552,0.572315784825744,0.528108469979992,0.337478445845965,0.413202471895988,0.661912924024708,0.532570487410871,0.337668301330559,0.664427163795916,0.572475409071758,0.654766873315695,0.607108345174249,0.258915726272047,0.568634299347647,0.416236059071337,0.21966679107926,0.674324572456832,0.665714878114012,0.337799616725339,0.648742309042764,0.596010906106739,0.459675424979767,0.606279758349158,0.672527158231609,0.667526148612004,0.596540852581743,0.510515303518223,0.558026749889852,0.64324384019215,0.670126178699644,0.679586388785716,0.664040865918947,0.513732383202805,0.582806453675059,0.698397059409313,0.661019307065068,0.473591903053895,0.590449386361465,0.662112578272877,0.57426515267821,0.68718319950852,0.598912470280836,0.546926257227924,0.612208108725567,0.683164806797432,0.661977124006645,0.6811420110196,0.656051778923015,0.68442138921284,0.642813198643264,0.365340907938199,0.687802671901047,0.698462895712584,0.583428375521381,0.669975253375342,0.6299668620366,0.659970362884694,0.313794922017851,0.68567528625514,0.689462711850511,0.668016680963555,0.627843587169651,0.461376721006281,0.654352379132323,0.621143384082585,0.354956375060812,0.608580484647815,0.687307433183884,0.347166355974331,0.656885356303225,0.64816141632995,0.653925218545269,0.69234008768443,0.263688983181367,0.683337945547295,0.691510510367484,0.691386083090053,0.482250327324875,0.290829403633207,0.697639082241049,0.30422898988368,0.64277696296333,0.491128772385658,0.691223037464081,0.302831276065668,0.67993721471897,0.361743911875094,0.663805121172021,0.408755144890691,0.620940123398614,0.530047781798557,0.645505908849578,0.668104175367147,0.695108259193692,0.464605631834623,0.702101904514261,0.336365947772938,0.605303587520062,0.680099735676031,0.67399238736447,0.687806165878137,0.689540102339886,0.578900803982161,0.593920794510552,0.318006304742293,0.580133071006818,0.686293108020596,0.433636337856887,0.665756457957191
"kubo14",0.316498673519958,0.432662948490162,0.376177394470173,0.366092375777761,0.451881015292241,0.4054183247232,0.467587404391547,0.248869081791123,0,0.470863415116641,0.453502436307887,0.32886504634181,0.410647181753122,0.48745680607252,0.466877970137771,0.584782636533163,0.473456259664645,0.17731018690133,0.480365339996817,0.362789888376706,0.425297000296486,0.457361303456848,0.434790645557288,0.40929617542645,0.35555376980038,0.306274583888216,0.380652524235531,0.479094324700126,0.326906902962402,0.305761443382868,0.121086644279785,0.466529878537384,0.474641501997848,0.421467039330028,0.228373200008792,0.454175714420883,0.475988734902665,0.458720992178762,0.393774983018838,0.411159133192135,0.342899303094761,0.311898686505266,0.162356816892221,0.231602804032053,0.430193887254121,0.303634163487006,0.313351725696705,0.432579107904482,0.458198416233914,0.546775462038501,0.39031887369163,0.366370644278022,0.351758274970544,0.276980907073296,0.0992595566356838,0.442185062730268,0.568203512843797,0.306147154773512,0.402582372737468,0.370541800935862,0.324622294384476,0.38672518092898,0.45628356173684,0.557310283413809,0.353954452072423,0.286850398742551,0.341300521904733,0.468751618617225,0.564327380698334,0.462487958937283,0.438264361058879,0.410021201037522,0.375733605590185,0.546161805078681,0.46672666471705,0.256280376156189,0.378828647361519,0.449434512531491,0.37165382086651,0.482260479686223,0.362248627397926,0.348499181453971,0.415039234927343,0.464961453445286,0.448957795777807,0.479537665868991,0.477880571298034,0.462961418627028,0.429319924737196,0.210485964552162,0.474458382490698,0.468749555621201,0.368490914334005,0.454162771019787,0.416932528762097,0.449974149020037,0.169994550654806,0.46516175850653,0.500677502422884,0.431962626627081,0.431492700592791,0.265800851235597,0.452539398771063,0.395075769868783,0.158767592396463,0.398660730358875,0.47438991044967,0.249016160567417,0.470625420184192,0.437713421280379,0.472439737392375,0.475673482467663,0.351644644729779,0.485303900146195,0.469324570720148,0.529730833332467,0.245869414560941,0.119864410247789,0.471496342924991,0.291481156845026,0.431257895987379,0.273660833147715,0.592260982006433,0.1500658201046,0.473185278748329,0.149387771468284,0.578225855511378,0.265661848136687,0.421900676553388,0.334624130207716,0.417505885674517,0.463808796845767,0.474748133854917,0.260156935986892,0.51034620366201,0.135158244445246,0.384383113124439,0.58155492507582,0.483091923423148,0.569269898738441,0.517695413241966,0.362411753764031,0.366224596107344,0.269465775145288,0.362995358000148,0.616443203429997,0.356663827728652,0.460565861881066
"wolverine14",0.261282793933058,0.294190267775134,0.18672502463128,0.274549705439173,0.212307462611041,0.154278652943048,0.228143958215696,0.705766338064802,0.470863415116641,0,0.127984779397056,0.174064067330988,0.545896585769051,0.214743881908449,0.262904311896953,0.588254073938534,0.14962871134468,0.548766701896711,0.173255937501612,0.415930143881419,0.21803720169937,0.206286505357244,0.194128969530039,0.231273372703995,0.25479954576834,0.247040529310067,0.155966807572379,0.241099588631981,0.264534077618872,0.61645868751548,0.549578034718472,0.159801679678615,0.238015909439012,0.155865516685915,0.511177076342464,0.22515333888207,0.241620903553847,0.178481134556922,0.237850353959357,0.204857581615715,0.216322569693191,0.274451518713867,0.377244692054519,0.432283629440949,0.137354161699717,0.274327811667198,0.548896509683438,0.173919301496416,0.513260966365954,0.559229041265768,0.254564733924515,0.683378427455826,0.284222846455753,0.506330738430412,0.491389214848365,0.139677033438402,0.56504490274813,0.560329019484528,0.150357553823764,0.268892202733339,0.510027861017101,0.233565030628461,0.186937476615073,0.546748551896221,0.172276353707361,0.311870401215319,0.389586883175699,0.289539714960373,0.5626681384546,0.19027031177057,0.187544656449388,0.554107655051619,0.337029825059432,0.517257514233194,0.277602384347333,0.360565255074574,0.233909808836074,0.272519025002294,0.265411494138172,0.372468849752359,0.155652684623026,0.431547896215969,0.347182081441503,0.202718624097349,0.260260232182942,0.232188987684509,0.327714235978928,0.197669819394134,0.223825461119763,0.504509010905249,0.275491218198856,0.182103999617665,0.259691838053941,0.247834145000127,0.247857313483057,0.34678586340656,0.530670846118178,0.247656603812259,0.267317739451495,0.244145139335098,0.330031446501458,0.378239444051727,0.366740084892471,0.155237599417107,0.438859663429599,0.257587660995328,0.220296532516803,0.540503831666457,0.254163499864573,0.245737339952426,0.453412025923073,0.175338137626507,0.667483697269743,0.288312464760901,0.162160135752204,0.460912977394689,0.261833906354198,0.476931469286536,0.203533090976025,0.599690231490487,0.198432149520588,0.331380695004039,0.594076275761501,0.498177611130876,0.358988289191678,0.354569424107824,0.598215007545131,0.517681002959087,0.402275495721198,0.252771324060894,0.216629160251243,0.23335917349497,0.234988426918578,0.401153618242304,0.368074880563039,0.438789747507724,0.179923611970535,0.582932431789108,0.425562676360589,0.557179618170756,0.252986669163865,0.23075142047957,0.234908922150301,0.581963227369009,0.21662595580102,0.634865017122777,0.570151298840746,0.266870984058128
