"ID"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"txid1329411"	0	17	0	0	0	0	0	0
"txid302911"	0	1	0	0	0	0	0	0
"txid1437609"	0	6	0	0	0	0	0	0
"txid2650773"	0	1	0	0	0	0	0	0
"txid1630172"	0	1	0	0	0	0	0	0
"txid2650774"	0	1	0	0	0	0	0	0
"txid2834437"	0	1	0	0	0	0	0	0
"txid1630166"	0	6	0	0	0	0	0	0
"txid2834432"	0	1	0	0	0	0	0	0
"txid78257"	0	9	0	0	0	0	0	0
"txid1437610"	0	5	0	0	0	0	0	0
"txid2045439"	0	5	0	0	0	0	0	0
"txid1852385"	0	1	0	0	0	0	0	0
"txid2003188"	1	0	2	2	0	2	0	1
"txid1871022"	0	0	0	0	0	1	0	0
"txid1871031"	1	1	1	1	0	1	1	0
"txid2603815"	0	1	0	0	0	0	0	0
"txid1907654"	0	0	0	1	0	1	0	0
"txid147207"	5	0	28	26	1	110	5	15
"txid1937461"	1	0	2	1	0	1	0	1
"txid147206"	0	0	1	2	0	1	0	0
"txid742742"	13	0	27	24	1	40	9	18
"txid1870987"	7	1	13	10	0	14	1	13
"txid1841855"	0	2	0	0	0	0	0	0
"txid47678"	0	101	1	0	0	2	0	0
"txid1462569"	0	0	0	1	0	0	0	0
"txid1411144"	0	0	0	1	0	0	0	0
"txid28111"	1	13	1	0	0	0	0	0
"txid1236513"	0	5	0	0	0	0	0	0
"txid1077285"	0	1	0	0	0	0	0	0
"txid338188"	1	4	0	0	0	0	0	0
"txid1462571"	0	0	4	7	0	2	4	2
"txid2792859"	1	0	1	0	0	2	1	0
"txid1912896"	1	39	0	1	1	1	0	0
"txid1912894"	0	2	0	0	0	0	0	0
"txid2650158"	0	7	0	0	0	0	0	0
"txid1841856"	4	8	24	85	5	8	19	19
"txid28116"	1	92	2	1	0	1	0	0
"txid1236512"	0	7	0	0	0	0	0	0
"txid291644"	0	0	0	0	0	0	1	0
"txid449673"	6	200	15	5	2	9	0	1
"txid818"	2	77	1	0	0	0	0	0
"txid820"	18	385	38	3	1	0	1	1
"txid657309"	0	19	2	1	1	1	0	0
"txid2650157"	1	2	0	0	0	0	1	0
"txid2725562"	0	1	3	10	0	1	2	2
"txid1841865"	0	0	0	1	0	0	0	0
"txid376804"	1	1	6	22	3	1	12	2
"txid470145"	0	0	1	3	0	0	0	1
"txid387090"	0	0	2	3	0	0	2	0
"txid357276"	7	82	5	24	2	4	5	5
"txid2786956"	0	0	0	2	0	0	0	0
"txid2739389"	0	0	0	1	1	0	1	0
"txid204516"	0	0	0	3	0	0	2	0
"txid1236498"	0	0	0	0	0	0	1	0
"txid484018"	0	5	5	7	0	2	1	1
"txid1236538"	11	11	134	242	41	8	54	88
"txid435590"	89	572	233	72	12	70	18	47
"txid487174"	1	3	4	2	0	0	0	0
"txid397865"	0	0	1	3	0	2	1	1
"txid2518971"	1	1	3	4	1	0	1	2
"txid2530391"	0	1	2	8	2	0	0	2
"txid2094150"	0	0	2	2	0	0	1	0
"txid2530390"	0	0	0	2	0	0	0	0
"txid1796646"	0	1	0	3	1	0	0	0
"txid2094151"	1	1	1	13	2	3	0	2
"txid2606626"	0	0	2	6	1	1	0	0
"txid671218"	0	0	1	2	0	1	0	0
"txid76122"	1	0	0	5	1	0	4	1
"txid1841864"	0	0	0	6	1	0	2	0
"txid454154"	2	16	8	4	0	0	0	1
"txid454155"	0	0	0	5	1	0	0	0
"txid305719"	18	0	27	66	4	8	15	21
"txid873513"	5	0	4	33	4	2	8	4
"txid28127"	0	0	0	1	0	0	0	0
"txid537011"	926	467	324	968	300	214	53	352
"txid28128"	0	0	1	2	0	0	0	0
"txid1236509"	0	0	0	4	0	0	1	0
"txid28129"	0	0	0	3	0	0	0	0
"txid76123"	0	0	1	2	1	0	0	0
"txid1236517"	0	0	0	0	0	0	1	0
"txid2801997"	0	0	7	30	2	3	9	2
"txid2518605"	1	7	0	3	0	0	0	1
"txid2800387"	0	0	0	5	0	0	1	0
"txid2490854"	0	0	1	5	0	1	4	1
"txid2854755"	0	0	0	1	0	0	1	0
"txid1776379"	1	0	1	3	0	0	0	0
"txid840"	0	0	3	5	1	2	3	1
"txid439703"	1	0	2	17	1	3	4	2
"txid2479840"	1	0	3	6	1	2	2	1
"txid862515"	0	0	0	2	0	0	1	0
"txid28135"	2	0	9	22	2	1	4	4
"txid915438"	0	0	2	12	1	1	8	1
"txid185294"	0	0	1	1	0	0	0	0
"txid407975"	0	0	0	1	0	1	1	0
"txid1676614"	10	0	66	104	21	12	25	40
"txid228603"	0	0	0	3	0	0	1	0
"txid1002367"	0	0	0	1	0	0	0	0
"txid1852370"	113	5	140	286	33	39	62	158
"txid2585119"	0	0	1	0	0	0	0	0
"txid328814"	0	0	1	0	0	0	0	0
"txid2290935"	0	3	0	0	0	0	0	0
"txid871327"	0	0	0	1	0	0	0	0
"txid823"	8	106	75	147	17	51	35	51
"txid387661"	0	0	0	2	0	1	2	0
"txid46503"	8	58	31	90	16	25	10	44
"txid1379"	0	0	0	0	0	1	0	0
"txid29391"	0	0	0	0	0	0	1	0
"txid1179782"	1	0	0	0	0	5	0	2
"txid1179787"	0	0	0	0	0	1	0	0
"txid46125"	1	0	0	0	1	6	1	0
"txid137732"	1	0	0	0	0	4	1	1
"txid1354"	0	0	0	0	0	1	0	0
"txid1156431"	0	1	0	0	0	1	0	0
"txid2382163"	0	0	0	0	0	2	1	1
"txid28037"	0	0	0	0	0	2	0	0
"txid655813"	0	0	0	0	0	1	0	0
"txid1547447"	0	1	0	0	1	12	0	0
"txid197614"	4	9	0	0	0	0	0	0
"txid1305"	0	0	0	0	1	0	1	0
"txid2853160"	0	0	1	0	0	1	1	1
"txid1712515"	0	2	0	0	0	0	0	0
"txid501571"	21	13	8	1	1	3	0	1
"txid1561"	0	24	0	0	4	0	0	9
"txid179628"	0	2	0	0	0	0	0	0
"txid2126740"	12	28	8	4	3	1	4	2
"txid759821"	0	1	1	1	0	1	0	0
"txid1347366"	0	34	0	0	26	5	0	22
"txid1958780"	0	0	2	0	0	4	0	0
"txid29363"	0	5	0	0	0	0	0	0
"txid1502"	3	13	0	0	15	0	0	4
"txid2605778"	48	6	41	20	17	21	12	30
"txid2479838"	0	0	0	0	2	0	1	0
"txid2784388"	0	0	0	0	0	1	1	0
"txid1096246"	0	0	1	1	0	1	1	0
"txid384636"	1	0	1	1	1	0	0	0
"txid53442"	0	0	0	0	0	1	0	0
"txid29322"	0	0	0	0	0	1	0	0
"txid879566"	0	0	0	1	0	0	1	0
"txid433286"	1	0	0	0	0	0	0	0
"txid259063"	1	0	1	1	0	1	2	0
"txid1812858"	0	0	0	0	0	1	0	0
"txid1745713"	0	0	0	0	0	0	1	0
"txid2606636"	4	0	7	10	4	12	6	6
"txid1912897"	3	0	0	0	1	1	1	1
"txid1796615"	0	0	0	1	0	0	2	0
"txid1532"	0	0	0	1	1	1	1	0
"txid2509240"	0	0	0	0	1	1	0	0
"txid536633"	28	3	50	33	28	40	158	18
"txid2025493"	6	0	1	1	2	4	3	1
"txid53443"	0	1	0	0	0	0	0	0
"txid1121114"	1	1	0	1	1	1	0	0
"txid1796616"	1	3	0	2	1	0	1	0
"txid180164"	1	0	0	0	0	0	4	0
"txid871664"	0	0	0	0	0	1	0	0
"txid45851"	0	3	1	2	1	2	3	0
"txid831"	1	0	1	3	2	4	1	1
"txid185008"	0	0	3	2	1	1	1	1
"txid43305"	0	0	0	1	1	1	0	0
"txid673271"	0	0	1	1	0	0	0	0
"txid642492"	0	1	0	0	0	0	0	0
"txid33043"	1	0	0	0	0	0	0	0
"txid2850323"	0	0	0	0	0	1	0	0
"txid1432052"	1	0	3	1	0	0	1	0
"txid208479"	25	2	33	15	12	9	11	24
"txid358743"	1	0	1	0	0	0	0	0
"txid1531"	2	0	2	1	1	3	2	1
"txid460384"	0	0	0	1	0	0	1	0
"txid2788944"	2	1	1	1	1	5	5	1
"txid39482"	1	0	1	1	1	1	2	1
"txid2726362"	1	0	0	0	0	1	1	0
"txid1544"	2	0	0	1	0	1	4	0
"txid1912855"	0	1	0	1	1	0	0	0
"txid1408099"	0	0	0	0	1	0	0	0
"txid1912090"	0	0	0	0	1	0	1	0
"txid2885351"	1	2	2	3	3	8	1	1
"txid2763671"	0	0	0	1	0	0	0	0
"txid1469948"	1	0	3	2	1	2	1	2
"txid29364"	0	0	0	2	0	0	0	0
"txid1926283"	3	0	1	1	1	0	4	0
"txid1917870"	2	0	0	1	0	2	1	0
"txid1852382"	12	1	9	3	5	2	3	4
"txid94868"	0	0	0	0	0	1	0	0
"txid253257"	3	1	0	1	2	1	2	2
"txid1286362"	25	1	20	3	4	2	0	5
"txid69825"	2	3	1	3	2	1	2	1
"txid84030"	0	2	0	0	0	1	2	0
"txid29370"	8	7	2	3	2	2	1	4
"txid168384"	1	0	2	3	2	2	3	1
"txid411470"	75	67	5	1	1	1	1	3
"txid471875"	0	0	0	0	1	0	0	0
"txid1337051"	0	0	0	1	0	0	0	0
"txid796944"	7	1	7	19	7	17	14	6
"txid796943"	64	14	102	68	56	97	75	111
"txid237576"	63	11	100	68	37	64	53	82
"txid2606632"	3	1	3	5	3	5	4	1
"txid2763669"	1	0	0	1	1	2	1	0
"txid301302"	0	0	0	0	0	1	1	0
"txid2605790"	0	0	0	1	0	1	1	0
"txid2681861"	0	0	0	0	1	0	0	0
"txid2606635"	1	1	3	3	1	2	0	3
