"ID"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"txid1437609"	0	0	0	0	0	0	1	0	0
"txid1437610"	0	0	0	0	0	1	0	0	0
"txid2014528"	0	0	0	0	0	0	1	0	0
"txid1852385"	3	0	0	1	1	1	0	0	0
"txid997349"	0	0	0	0	0	0	0	0	1
"txid1805478"	0	0	0	0	0	0	0	1	0
"txid2003188"	2	0	0	3	2	1	0	1	1
"txid1871022"	0	0	1	0	0	0	0	0	0
"txid2779357"	0	0	1	0	0	0	0	0	0
"txid1871031"	0	0	4	4	0	0	0	5	1
"txid1720204"	1	0	0	0	1	1	0	0	0
"txid147207"	5	8	65	12	11	7	2	23	2
"txid1937461"	0	0	2	0	0	1	0	0	1
"txid147206"	0	0	4	0	2	1	1	1	0
"txid742742"	6	4	28	10	5	18	9	1	5
"txid1870987"	7	4	8	6	4	7	5	0	2
"txid883106"	0	0	0	1	1	0	0	0	0
"txid85831"	0	0	0	0	0	0	0	1	0
"txid47678"	0	0	0	0	0	0	1	2	0
"txid1411144"	3	0	2	0	1	1	1	3	0
"txid762984"	0	0	0	0	0	0	0	1	0
"txid28111"	0	0	3	0	0	0	0	7	0
"txid1236513"	0	0	0	0	0	0	0	1	0
"txid1077285"	0	0	0	0	0	0	0	18	0
"txid338188"	0	0	2	0	0	0	0	4	0
"txid2792859"	0	0	61	0	2	2	3	204	0
"txid1912896"	0	0	1	0	1	0	0	0	0
"txid1841856"	21	68	178	124	36	116	90	215	23
"txid28116"	1	0	1	0	1	1	0	3	0
"txid291644"	0	0	7	1	0	0	1	1	0
"txid449673"	1	1	5	0	1	1	0	0	1
"txid818"	17	3	25	1	9	6	4	0	1
"txid820"	0	0	5	0	0	0	0	10	0
"txid657309"	1	0	0	0	0	1	0	2	0
"txid2650157"	0	0	1	0	0	0	0	1	0
"txid2725562"	0	1	1	0	0	0	0	1	0
"txid376804"	2	14	44	32	10	26	23	56	5
"txid470145"	0	0	0	0	0	0	0	1	0
"txid387090"	0	1	4	4	1	3	2	5	1
"txid357276"	2	10	251	13	4	21	16	60	3
"txid2786956"	0	2	5	2	0	3	1	3	1
"txid2739389"	0	0	1	1	0	1	0	1	0
"txid204516"	14	13	56	8	14	7	11	68	9
"txid1236498"	0	0	2	0	0	0	0	1	0
"txid484018"	0	2	6	5	0	10	3	16	1
"txid1236538"	75	137	393	278	135	246	204	492	52
"txid435590"	71	82	658	112	104	136	88	481	37
"txid487174"	4	1	2	2	1	2	4	25	0
"txid397865"	0	4	0	4	1	4	4	0	1
"txid1349822"	0	0	2	0	0	0	0	8	1
"txid2518971"	3	2	1	2	6	3	4	3	1
"txid2530391"	4	5	1	4	6	10	6	3	2
"txid2094150"	0	1	0	1	0	1	1	1	0
"txid2530390"	0	0	1	2	1	3	4	1	1
"txid1796646"	0	0	0	0	0	0	4	0	0
"txid2094151"	11	8	0	14	7	14	11	1	0
"txid2606626"	1	2	0	5	2	9	6	0	1
"txid454154"	0	0	2	0	0	0	0	31	0
"txid305719"	0	0	0	4	0	0	1	0	1
"txid537011"	965	1233	0	838	448	774	581	0	494
"txid28128"	0	0	0	4	1	2	1	0	0
"txid28129"	0	0	0	0	0	1	1	0	0
"txid76123"	0	2	0	2	0	3	1	0	0
"txid2801997"	7	16	0	23	3	42	34	0	12
"txid2518605"	0	0	0	1	0	2	1	0	1
"txid2800387"	0	1	0	5	0	2	3	0	0
"txid2490854"	0	1	0	5	0	7	3	0	3
"txid2854755"	0	1	0	0	0	2	1	0	0
"txid1776379"	0	1	0	1	0	1	2	0	0
"txid840"	2	2	0	8	1	12	12	0	2
"txid439703"	1	11	0	11	6	9	13	0	7
"txid2479840"	5	4	0	6	3	7	13	0	4
"txid862515"	0	3	0	1	0	2	1	0	1
"txid28135"	7	14	0	15	6	21	20	0	6
"txid915438"	2	7	0	8	3	14	14	0	4
"txid407975"	0	1	0	5	0	2	1	0	1
"txid1676614"	176	133	0	206	152	225	209	0	63
"txid1236516"	0	0	0	0	0	0	1	0	0
"txid228603"	0	7	0	11	1	10	11	0	3
"txid28117"	0	0	0	0	0	2	0	1	0
"txid328814"	0	0	0	0	0	0	1	0	0
"txid871327"	0	0	0	0	0	0	0	0	1
"txid823"	88	64	45	159	142	328	220	96	27
"txid387661"	0	1	0	0	1	4	1	0	1
"txid46503"	17	11	5	51	36	81	59	52	37
"txid150056"	0	0	4	0	0	0	0	0	0
"txid643214"	0	0	12	0	0	0	0	0	0
"txid1955013"	0	0	3	0	0	0	0	0	0
"txid342451"	0	0	4	0	0	0	0	0	0
"txid224030"	0	0	2	0	0	0	0	0	0
"txid1288"	0	0	143	0	0	0	0	0	0
"txid1379"	0	0	1	0	0	0	0	0	0
"txid29391"	0	0	4	0	0	0	0	0	0
"txid1179782"	0	0	1	0	0	0	0	0	0
"txid46125"	0	0	1	0	0	0	0	0	0
"txid1377"	0	0	6	0	0	0	0	0	0
"txid1351"	0	0	46	0	0	0	0	0	0
"txid28038"	0	0	0	0	0	0	8	0	0
"txid1599"	0	0	0	0	0	0	0	1	0
"txid1156431"	0	0	1	0	0	0	0	0	0
"txid2382163"	0	0	2	0	0	0	0	1	0
"txid655813"	0	0	1	0	0	0	0	1	0
"txid1547447"	0	0	2	0	0	0	0	0	0
"txid760570"	0	0	3	0	0	0	0	0	0
"txid701526"	0	0	0	0	0	0	0	0	1
"txid1305"	0	0	2	0	0	0	0	0	0
"txid2853160"	0	0	2	0	0	0	0	0	0
"txid501571"	25	23	13	2	4	2	1	26	8
"txid2126740"	2	8	60	8	6	7	4	62	2
"txid759821"	2	0	0	2	0	1	1	6	0
"txid1347366"	0	0	2	0	0	0	1	0	2
"txid1958780"	0	0	0	0	0	0	1	3	0
"txid1650661"	0	0	0	1	0	0	0	0	0
"txid2605778"	72	47	10	18	45	50	53	18	19
"txid2479838"	0	1	1	2	0	1	4	4	2
"txid2784388"	0	1	0	1	0	1	3	0	1
"txid1096246"	0	1	2	0	0	1	0	5	0
"txid154046"	0	0	0	0	0	0	0	8	0
"txid384636"	0	2	6	1	3	4	1	9	0
"txid29322"	0	0	0	0	0	0	1	1	2
"txid1732"	0	1	0	0	0	0	0	0	1
"txid879566"	0	1	0	0	0	0	1	0	0
"txid105843"	0	0	0	0	0	0	0	0	1
"txid1527"	0	0	0	1	0	0	1	0	0
"txid433286"	0	1	0	2	1	0	1	0	0
"txid1727145"	0	0	0	1	0	0	1	1	0
"txid259063"	0	2	1	3	1	6	5	1	3
"txid100134"	0	0	0	0	0	1	0	0	0
"txid1812858"	0	2	0	0	0	0	1	1	0
"txid1745713"	0	0	0	0	0	0	1	0	1
"txid2606636"	10	28	11	16	23	23	44	10	13
"txid1912897"	0	3	0	3	0	6	2	3	1
"txid2696678"	0	1	0	0	0	1	0	0	0
"txid1796615"	0	1	0	2	0	1	1	6	0
"txid1532"	0	2	2	5	1	2	3	3	1
"txid536633"	59	77	64	21	19	37	27	131	34
"txid2025493"	0	5	8	2	1	6	4	12	7
"txid53443"	0	0	0	0	0	0	1	0	0
"txid2779518"	0	0	2	0	0	0	0	1	0
"txid89014"	0	0	0	0	1	0	0	0	0
"txid1917868"	0	1	0	0	0	0	0	0	0
"txid1121114"	0	2	2	4	1	5	3	3	1
"txid1796616"	0	2	0	0	0	1	1	0	0
"txid180164"	0	0	1	0	0	1	1	3	0
"txid871664"	0	1	0	0	0	1	2	1	0
"txid45851"	2	9	2	5	4	6	4	10	3
"txid831"	0	1	5	5	2	4	4	5	1
"txid185008"	6	0	1	1	3	1	3	10	1
"txid43305"	0	2	1	4	0	4	4	1	3
"txid673271"	1	0	1	0	0	0	0	3	0
"txid33043"	0	1	2	0	0	1	0	1	0
"txid1796618"	0	1	0	2	0	0	2	1	1
"txid2850323"	0	0	1	1	0	0	2	1	0
"txid2850322"	0	1	0	0	0	0	1	0	0
"txid2652274"	0	0	0	0	0	0	0	1	1
"txid1432052"	6	1	0	4	3	4	3	0	1
"txid208479"	37	39	20	18	32	54	54	78	22
"txid358743"	0	0	2	0	0	1	1	4	1
"txid1531"	1	5	2	3	2	3	11	1	3
"txid460384"	0	1	1	0	0	0	1	2	0
"txid2788944"	30	26	0	8	3	9	2	8	15
"txid39482"	46	21	1	6	3	5	2	11	12
"txid2726362"	4	9	0	0	0	1	0	3	2
"txid290055"	0	1	0	0	0	0	1	1	0
"txid1544"	10	15	0	5	1	8	2	6	9
"txid1912855"	0	2	1	1	0	0	0	1	0
"txid1150298"	0	0	0	0	0	0	0	1	0
"txid1408099"	0	0	0	1	0	0	0	0	0
"txid1912090"	2	3	2	4	0	0	0	3	2
"txid2885351"	2	9	2	3	5	7	12	12	5
"txid2763671"	1	2	2	3	2	0	2	1	1
"txid2763668"	0	1	0	0	0	0	0	0	1
"txid1469948"	4	8	3	5	3	5	4	5	2
"txid140626"	0	1	0	0	0	0	0	0	0
"txid29364"	0	2	1	3	1	1	3	1	3
"txid29347"	0	0	0	0	0	0	0	1	0
"txid1926283"	0	2	8	2	3	1	3	24	1
"txid1917870"	0	2	0	0	0	0	5	0	0
"txid1871021"	0	1	0	0	0	0	1	1	1
"txid1852382"	2	5	11	7	2	10	8	20	3
"txid36832"	0	0	0	0	0	0	1	1	1
"txid94868"	0	0	1	1	0	1	0	1	1
"txid253257"	2	10	14	3	3	1	6	15	2
"txid1286362"	10	10	64	12	9	8	8	80	7
"txid69825"	1	5	35	5	3	7	5	41	2
"txid84030"	0	3	2	1	0	3	0	7	1
"txid29370"	1	1	15	4	3	2	4	27	3
"txid29375"	0	1	0	0	0	1	1	0	0
"txid168384"	0	4	1	4	1	4	6	7	3
"txid1298596"	0	0	0	1	0	0	0	0	0
"txid411470"	29	11	6	5	2	3	1	31	5
"txid471875"	0	0	0	4	0	0	0	1	1
"txid33039"	0	2	0	0	0	1	0	0	1
"txid1653435"	0	2	0	0	0	0	0	2	1
"txid1337051"	2	1	0	0	0	2	1	2	0
"txid796944"	12	63	22	62	29	55	81	58	36
"txid796943"	223	312	98	292	198	224	411	209	243
"txid237576"	207	275	102	227	197	250	377	239	196
"txid2606632"	2	15	5	18	3	13	25	14	10
"txid2763669"	0	2	0	3	0	4	4	5	1
"txid301302"	0	1	2	2	1	1	2	1	1
