"ID"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"txid1329411"	0	1	0	0	1
"txid1437609"	0	0	0	0	1
"txid2014528"	0	0	0	1	1
"txid2584469"	0	0	0	0	1
"txid997349"	0	0	1	0	1
"txid1805478"	0	0	1	0	3
"txid2003188"	3	0	0	0	2
"txid1871031"	0	0	0	1	13
"txid147207"	2	0	2	0	31
"txid1937461"	0	0	0	0	3
"txid147206"	0	0	1	0	7
"txid742742"	4	0	7	4	26
"txid1870987"	5	0	5	3	55
"txid883106"	0	0	0	0	1
"txid47678"	0	0	0	0	1
"txid1462569"	1	0	0	1	0
"txid1411144"	0	3	2	1	1
"txid1462571"	1	2	2	1	1
"txid2792859"	0	2	1	0	0
"txid1912896"	0	1	0	0	0
"txid1841856"	29	30	23	25	7
"txid742727"	0	0	1	0	0
"txid28116"	0	0	1	0	0
"txid449673"	0	0	1	0	0
"txid2725562"	5	1	1	0	0
"txid376804"	9	2	9	5	2
"txid470145"	1	1	1	0	0
"txid387090"	0	0	0	1	1
"txid357276"	2	1	5	4	2
"txid2786956"	0	0	1	0	0
"txid204516"	0	0	0	1	0
"txid1236498"	0	1	0	0	0
"txid484018"	4	2	1	2	1
"txid1236538"	200	186	86	73	22
"txid435590"	18	12	12	10	3
"txid2518971"	1	7	2	1	0
"txid2530391"	0	0	2	1	0
"txid2094150"	0	0	1	0	0
"txid2530390"	0	0	1	1	1
"txid1796646"	0	0	1	0	0
"txid2094151"	0	1	1	2	0
"txid671218"	0	0	0	1	0
"txid76122"	0	0	3	1	2
"txid1841864"	0	0	0	2	0
"txid454155"	0	0	1	1	0
"txid305719"	19	9	30	36	8
"txid873513"	4	3	9	13	5
"txid28127"	0	0	0	1	0
"txid537011"	308	632	777	482	101
"txid28128"	1	0	2	1	0
"txid1236509"	0	0	1	0	0
"txid28129"	0	0	2	0	0
"txid76123"	0	0	1	2	0
"txid2801997"	8	3	15	22	4
"txid2518605"	0	0	1	1	0
"txid2800387"	0	0	0	2	0
"txid2490854"	3	1	4	3	0
"txid2854755"	0	0	1	1	2
"txid1776379"	0	0	2	1	0
"txid840"	0	0	5	4	1
"txid439703"	5	3	8	9	2
"txid2479840"	10	3	1	6	0
"txid862515"	0	0	3	1	0
"txid28135"	14	8	13	14	4
"txid915438"	3	3	6	14	3
"txid185294"	0	0	1	1	0
"txid1776388"	0	0	0	1	0
"txid407975"	0	0	0	1	0
"txid1676614"	132	72	54	78	16
"txid1236516"	0	0	1	0	0
"txid228603"	0	0	3	4	0
"txid1002367"	0	0	0	0	1
"txid1852370"	156	77	128	121	27
"txid823"	32	51	48	37	12
"txid46503"	37	41	32	33	10
"txid1156431"	1	0	0	0	0
"txid2382163"	1	0	0	0	0
"txid655813"	1	0	0	0	1
"txid1547447"	1	0	0	0	0
"txid1305"	0	0	0	0	1
"txid2853160"	0	3	0	0	1
"txid2126740"	5	1	3	5	2
"txid759821"	0	0	1	1	0
"txid1347366"	1	0	0	0	0
"txid2605778"	42	31	16	17	13
"txid2479838"	0	0	3	1	2
"txid2784388"	0	0	0	0	1
"txid1096246"	0	0	0	1	0
"txid384636"	0	0	2	1	1
"txid53442"	0	1	0	0	1
"txid29322"	0	0	1	0	0
"txid105843"	0	0	0	1	0
"txid1527"	0	0	3	0	0
"txid433286"	0	0	1	1	0
"txid1727145"	0	0	0	1	0
"txid259063"	0	1	4	3	3
"txid1812858"	0	0	0	1	0
"txid1745713"	0	0	1	0	0
"txid2606636"	12	21	31	24	43
"txid1912897"	0	0	1	3	2
"txid2696678"	0	0	0	1	0
"txid1796615"	0	0	0	0	2
"txid1532"	0	0	3	3	1
"txid2509240"	0	0	0	0	1
"txid536633"	9	85	33	28	87
"txid2025493"	0	5	3	5	1
"txid53443"	0	0	0	1	0
"txid2763028"	0	0	0	0	1
"txid1121114"	0	0	2	1	4
"txid1796616"	0	0	0	0	1
"txid180164"	0	2	1	0	4
"txid871664"	0	0	0	1	0
"txid45851"	0	0	3	1	4
"txid831"	1	3	3	3	1
"txid185008"	1	5	1	0	0
"txid43305"	0	0	3	2	7
"txid33043"	0	0	1	0	0
"txid1796618"	0	0	1	0	2
"txid2850323"	0	0	3	1	0
"txid2850322"	0	0	1	0	0
"txid208479"	43	35	24	25	26
"txid358743"	1	0	1	0	1
"txid1531"	4	2	3	4	3
