"ID"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"txid1329411"	0	1	0	1	0	0	0	1
"txid1437609"	0	34	0	81	1	1	0	4
"txid2650773"	0	1	0	0	0	0	0	0
"txid1630172"	0	0	0	3	0	0	0	0
"txid2834437"	0	1	0	0	0	0	0	0
"txid1630166"	0	10	0	14	0	0	0	1
"txid2834432"	0	0	0	3	0	0	0	0
"txid78257"	0	2	0	3	0	0	0	5
"txid1437610"	0	2	0	5	0	0	0	3
"txid2045439"	0	2	0	9	0	0	0	2
"txid2834433"	0	1	0	2	0	0	0	0
"txid2306974"	0	2	0	2	0	0	0	0
"txid2809028"	0	0	0	1	0	0	0	0
"txid2562524"	0	0	0	1	0	0	0	0
"txid2014528"	0	0	0	0	1	0	0	0
"txid1805478"	0	0	0	0	1	0	0	0
"txid2003188"	0	0	0	0	12	0	0	0
"txid1871022"	0	0	0	0	1	0	0	0
"txid1871031"	0	1	0	2	2	0	2	1
"txid2603815"	0	0	0	1	0	0	0	0
"txid1907654"	0	1	0	1	0	0	0	0
"txid147207"	0	2	0	2	83	1	8	1
"txid1871016"	0	1	0	0	1	0	0	0
"txid1937461"	0	0	0	1	3	0	0	0
"txid147206"	0	1	0	1	42	1	2	0
"txid742742"	1	7	0	6	61	0	3	2
"txid1870987"	0	1	2	2	42	0	8	1
"txid1232426"	0	0	0	1	0	0	0	0
"txid883106"	0	0	0	0	2	0	0	0
"txid1411144"	0	0	0	0	1	0	0	0
"txid762984"	0	1	0	0	0	0	0	0
"txid338188"	1	2	0	2	0	0	1	1
"txid2792859"	4	25	5	16	1	4	9	4
"txid1912896"	0	0	0	0	0	0	1	0
"txid1841856"	5	15	3	23	20	6	7	13
"txid28116"	1	0	0	0	0	0	0	0
"txid1236512"	0	2	0	1	0	0	0	0
"txid449673"	7	11	0	5	1	0	1	3
"txid820"	4	35	4	7	2	1	11	2
"txid657309"	0	2	1	3	0	0	0	0
"txid2725562"	0	1	0	1	0	0	0	0
"txid1841865"	0	2	0	2	0	0	0	0
"txid376804"	1	1	1	1	5	1	1	1
"txid387090"	0	1	0	1	0	0	0	0
"txid357276"	8	28	3	25	7	3	13	9
"txid2786956"	0	1	0	1	0	0	0	0
"txid204516"	40	9	2	8	0	2	6	6
"txid484018"	134	541	54	368	0	10	151	326
"txid1236538"	19	19	7	23	61	26	30	21
"txid435590"	11	37	8	66	16	12	48	22
"txid397865"	0	0	0	1	0	0	0	0
"txid1349822"	11	16	1	17	1	2	7	3
"txid2518971"	0	0	0	0	1	0	0	0
"txid2530391"	0	2	1	1	2	0	0	1
"txid2094151"	0	1	0	1	2	3	1	0
"txid2606626"	1	1	0	1	0	0	0	0
"txid76122"	0	0	0	0	1	0	0	0
"txid1841864"	0	0	0	0	2	0	0	0
"txid454154"	1	6	1	2	0	1	3	2
"txid454155"	0	1	1	0	0	0	0	0
"txid305719"	0	9	3	5	13	2	5	5
"txid873513"	0	2	2	1	3	2	1	0
"txid537011"	41	15	17	68	122	40	11	7
"txid28129"	0	1	0	0	0	0	0	0
"txid2518605"	0	1	0	2	0	0	0	0
"txid439703"	0	1	0	0	2	0	0	0
"txid28135"	0	1	0	0	0	0	0	0
"txid185294"	0	1	0	0	0	0	0	0
"txid1852370"	0	163	29	167	52	10	43	81
"txid2290935"	0	1	0	0	0	0	0	0
"txid871327"	0	1	0	3	0	0	0	0
"txid823"	13	25	15	32	56	31	24	16
"txid387661"	0	0	1	1	0	0	0	0
"txid46503"	3	12	7	18	174	10	23	7
"txid1944636"	0	0	0	1	0	0	0	0
"txid1156431"	0	0	0	0	1	0	0	0
