"ID"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"txid1329411"	0	0	101	0	56
"txid1769423"	0	0	0	0	1
"txid1437609"	0	0	144	0	22
"txid2650773"	0	0	1	0	0
"txid1630172"	0	0	8	0	10
"txid2650774"	0	0	1	0	1
"txid2834437"	0	0	1	0	0
"txid1630166"	0	0	26	0	49
"txid2834431"	0	0	1	0	0
"txid2834432"	0	0	4	0	0
"txid78257"	0	0	1	0	1
"txid1437610"	0	0	33	0	17
"txid2045439"	0	0	206	0	37
"txid2834433"	0	0	11	0	1
"txid2306974"	0	0	1	0	0
"txid2809028"	0	0	2	0	0
"txid2562524"	0	0	3	0	1
"txid1964384"	0	0	2	0	0
"txid1852385"	0	0	2	1	0
"txid997349"	0	0	1	0	0
"txid1805478"	0	0	1	0	0
"txid2003188"	6	1	3	2	1
"txid1871031"	1	1	4	4	1
"txid1907654"	0	0	1	0	0
"txid147207"	21	2	9	9	1
"txid1871016"	0	0	1	0	0
"txid1937461"	0	0	1	2	0
"txid147206"	1	0	1	3	0
"txid742742"	15	1	10	31	4
"txid1870987"	12	0	3	22	1
"txid2590867"	0	0	1	0	0
"txid883106"	0	0	1	0	0
"txid1411144"	1	0	4	1	0
"txid338188"	0	0	1	1	3
"txid1462571"	0	0	2	0	0
"txid2792859"	0	0	1	0	2
"txid1841856"	41	24	106	29	23
"txid449673"	0	0	2	1	0
"txid818"	0	0	0	0	2
"txid820"	0	0	1	0	1
"txid657309"	0	0	1	0	2
"txid2725562"	0	0	4	0	1
"txid1841865"	0	0	8	0	1
"txid376804"	7	3	7	4	1
"txid387090"	1	0	3	0	0
"txid357276"	7	1	12	4	9
"txid2786956"	0	0	1	0	1
"txid2739389"	1	0	0	0	0
"txid204516"	0	0	1	0	0
"txid1236498"	0	0	2	0	0
"txid484018"	0	0	3	1	2
"txid1236538"	199	97	155	108	26
"txid435590"	48	17	51	35	194
"txid487174"	1	0	25	1	1
"txid397865"	3	0	4	1	0
"txid1349822"	0	0	3	1	0
"txid2530391"	2	0	17	2	6
"txid1796646"	0	0	1	0	0
"txid2094151"	9	1	12	3	1
"txid2606626"	3	0	8	1	1
"txid671218"	0	0	2	0	0
"txid76122"	1	0	8	2	0
"txid1841864"	0	0	2	0	0
"txid454154"	0	0	1	0	0
"txid454155"	0	0	2	1	0
"txid305719"	20	5	93	51	5
"txid873513"	7	2	14	8	1
"txid537011"	486	56	2012	636	1769
"txid1236509"	0	0	2	0	0
"txid28129"	0	0	2	0	1
"txid2801997"	0	0	2	0	1
"txid2518605"	0	0	19	1	12
"txid2800387"	0	0	0	1	0
"txid1177574"	0	0	1	0	0
"txid439703"	0	1	5	2	0
"txid28135"	0	0	2	1	0
"txid185294"	0	0	5	0	0
"txid1676614"	0	0	0	0	1
"txid1002367"	0	0	1	0	0
"txid1852370"	133	55	1154	337	86
"txid2290935"	0	0	1	0	0
"txid871327"	0	0	5	0	1
"txid823"	91	26	129	106	14
"txid387661"	0	0	1	0	0
"txid46503"	52	26	165	185	4
"txid2753162"	0	0	1	0	0
"txid29391"	0	1	0	0	0
"txid2382163"	1	0	0	2	0
"txid655813"	1	0	0	0	0
"txid1547447"	0	1	0	0	0
"txid2853160"	2	0	0	0	0
"txid501571"	0	0	4	0	13
"txid2126740"	3	1	13	5	8
"txid759821"	0	0	1	0	0
"txid1650661"	0	0	3	0	0
"txid2605778"	30	8	31	40	3
"txid2479838"	1	0	0	0	0
"txid384636"	1	0	2	1	1
"txid53442"	0	0	2	0	0
"txid433286"	2	0	1	0	0
"txid259063"	3	1	2	2	0
"txid2606636"	17	5	12	10	4
"txid1912897"	0	0	2	0	0
"txid1796615"	0	0	2	5	0
"txid1532"	0	0	1	0	0
"txid2509240"	1	0	1	1	0
"txid536633"	56	20	68	296	4
"txid2025493"	1	0	10	1	0
"txid1121114"	1	0	1	1	0
"txid180164"	1	0	3	4	0
"txid1121115"	0	0	1	0	0
"txid45851"	0	0	1	0	1
"txid831"	1	0	1	0	0
"txid185008"	4	2	2	2	0
"txid43305"	0	0	0	0	1
"txid33043"	1	0	0	0	0
"txid1432052"	5	0	3	6	0
"txid208479"	44	18	28	45	6
"txid358743"	1	0	1	0	0
"txid1531"	1	1	4	3	0
"txid460384"	0	0	0	1	0
"txid2788944"	4	0	5	2	0
"txid39482"	4	0	4	6	0
"txid2726362"	0	0	2	0	0
"txid1544"	1	0	3	1	0
"txid2885351"	3	1	4	4	1
"txid2763671"	0	0	1	0	0
"txid1469948"	1	0	2	1	1
"txid29364"	0	0	1	1	0
"txid1926283"	1	0	2	0	0
"txid1917870"	1	0	0	1	0
"txid1852382"	5	5	7	7	2
"txid253257"	4	0	5	0	1
"txid1286362"	5	2	15	6	3
"txid69825"	1	0	3	1	1
"txid84030"	0	0	1	0	1
"txid29370"	1	1	3	1	3
"txid168384"	7	0	9	2	1
"txid411470"	0	0	3	1	5
"txid1337051"	0	0	1	0	0
"txid796944"	28	3	18	14	2
"txid796943"	268	103	128	142	20
"txid237576"	223	80	145	130	30
"txid2606632"	3	2	3	2	1
"txid2763669"	2	0	0	1	0
"txid2606635"	2	1	2	4	1
"txid2763667"	44	18	37	51	13
"txid292800"	2	0	5	13	0
"txid2741"	6	4	6	4	0
"txid2654621"	1201	681	633	928	205
"txid742816"	805	1532	200	838	664
"txid158847"	333	455	111	313	90
"txid491921"	14	11	9	17	61
"txid209880"	61	27	10	72	12
"txid156456"	0	0	1	0	0
"txid1852378"	0	0	0	1	0
"txid1852379"	3	0	1	2	1
"txid1064535"	369	180	106	477	57
"txid1675036"	0	0	0	1	0
"txid879612"	182	73	104	184	41
"txid1232428"	213	97	46	262	24
"txid187326"	16	2	4	13	2
"txid349095"	101	29	33	109	15
"txid2144175"	91	40	30	113	21
"txid1111454"	0	0	1	0	0
"txid2045301"	14	4	8	16	3
"txid423477"	0	0	0	1	0
"txid850"	1	0	0	0	0
"txid1852381"	27	9	226	44	28
"txid2584944"	13	8	76	21	154
"txid1944635"	39	34	74	82	159
"txid40545"	0	0	0	0	2
"txid179995"	0	0	2	5	2
"txid762983"	18	18	11	3	5
"txid565"	0	1	0	0	0
"txid208962"	0	0	0	0	3
"txid562"	1	0	0	2	4
"txid585054"	402	850	12	336	937
"txid1499973"	181	335	4	69	175
"txid90370"	0	0	0	0	1
"txid621"	0	0	3	89	252
"txid622"	4	81	1	1	8
"txid623"	602	1260	20	574	1555
"txid624"	345	675	2	8	16
"txid584"	0	0	4	1	0
"txid985008"	0	1	0	0	0
"txid733"	1	0	0	0	0
"txid2153"	0	0	4	0	0
