"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.641571428571429	0.298428571428571	0.0461428571428571	0.117428571428571	0.244857142857143	0.250714285714286	0.726714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.000428571428571429	0.0508571428571429	0.00642857142857143	0.382428571428571	0.207571428571429	0.350142857142857	0.0102857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0321428571428571	0.235142857142857	0.0418571428571429	0.0988571428571429	0.183857142857143	0.153428571428571	0.0692857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0225714285714286	0.164428571428571	0.154428571428571	0.219142857142857	0.143571428571429	0.0392857142857143	0.00571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.00971428571428571	0.000714285714285714	0.510714285714286	0.0994285714285714	0.0442857142857143	0.00242857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0584285714285714	0.0604285714285714	0.0707142857142857	0.0592857142857143	0.114571428571429	0.0785714285714286	0.0301428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0582857142857143	0.01	0.00228571428571429	0.015	0.0315714285714286	0.00957142857142857	0.0962857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00142857142857143	0.176857142857143	0.002	0.00471428571428571	0.0102857142857143	0.00928571428571429	0.00585714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.169428571428571	0.001	0.00357142857142857	0.00114285714285714	0.00585714285714286	0.007	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000285714285714286	0.000142857142857143	0.160285714285714	0.00114285714285714	0.004	0.00357142857142857	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.002	0.002	0.000571428571428571	0.00142857142857143	0.009	0.0955714285714286	0.00428571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0.00271428571428571	0	0.000142857142857143	0	0	0	0.0454285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0	0	0	0	0.00342857142857143
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales"	0.001	0	0.000428571428571429	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0	0.000285714285714286	0.000428571428571429	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0.000285714285714286	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000142857142857143	0	0.000142857142857143	0	0
