"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.537857142857143	0.499	0.243857142857143	0.483	0.680285714285714	0.486571428571429	0.481285714285714	0.47	0.567
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.214428571428571	0.267142857142857	0.253	0.282714285714286	0.163714285714286	0.311428571428571	0.242428571428571	0.268571428571429	0.115571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.139857142857143	0.18	0.107142857142857	0.134714285714286	0.115857142857143	0.143	0.203857142857143	0.214142857142857	0.115571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0867142857142857	0.021	0.145857142857143	0.0532857142857143	0.0174285714285714	0.0244285714285714	0.0372857142857143	0.0122857142857143	0.173285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0127142857142857	0.0277142857142857	0.0897142857142857	0.0401428571428571	0.0184285714285714	0.0282857142857143	0.0308571428571429	0.0294285714285714	0.0254285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00471428571428571	0.00271428571428571	0.108857142857143	0.000428571428571429	0.000428571428571429	0	0.000142857142857143	0.000428571428571429	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00342857142857143	0.00228571428571429	0.0161428571428571	0.00528571428571429	0.00385714285714286	0.00528571428571429	0.00242857142857143	0.00457142857142857	0.00185714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli"	0	0	0.0342857142857143	0	0	0	0.00114285714285714	0.000428571428571429	0.000142857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000714285714285714	0	0	0.000857142857142857	0.000285714285714286	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000428571428571429	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0
