"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.182	0.152428571428571	0.113428571428571	0.137571428571429	0.120571428571429	0.166	0.148857142857143	0.178	0.114142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.170857142857143	0.112714285714286	0.069	0.0977142857142857	0.136571428571429	0.0661428571428571	0.0518571428571429	0.105857142857143	0.144428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.137857142857143	0.176142857142857	0	0.119714285714286	0.064	0.110571428571429	0.083	0	0.0705714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0737142857142857	0.0565714285714286	0.014	0.0655714285714286	0.148428571428571	0.0634285714285714	0.0717142857142857	0.0408571428571429	0.0654285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0277142857142857	0.0674285714285714	0.0144285714285714	0.0395714285714286	0.0434285714285714	0.0398571428571429	0.044	0.0657142857142857	0.0997142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0318571428571429	0.0445714285714286	0.014	0.0417142857142857	0.0282857142857143	0.032	0.0587142857142857	0.0298571428571429	0.0347142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0225714285714286	0.0264285714285714	0.00557142857142857	0.0378571428571429	0.0642857142857143	0.0418571428571429	0.0461428571428571	0.0168571428571429	0.0358571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0295714285714286	0.0392857142857143	0.0145714285714286	0.0324285714285714	0.0281428571428571	0.0357142857142857	0.0538571428571429	0.0341428571428571	0.028
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00914285714285714	0.0338571428571429	0.00571428571428571	0.0427142857142857	0.0368571428571429	0.0475714285714286	0.0531428571428571	0.0224285714285714	0.0405714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.0107142857142857	0.0195714285714286	0.0561428571428571	0.0397142857142857	0.0192857142857143	0.0351428571428571	0.0291428571428571	0.0702857142857143	0.00742857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0101428571428571	0.0117142857142857	0.094	0.016	0.0148571428571429	0.0194285714285714	0.0125714285714286	0.0687142857142857	0.00528571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0351428571428571	0.0165714285714286	0.00471428571428571	0.0238571428571429	0.0752857142857143	0.0224285714285714	0.0255714285714286	0.014	0.0237142857142857
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00714285714285714	0.0187142857142857	0.0721428571428571	0.0322857142857143	0.0124285714285714	0.0202857142857143	0.0235714285714286	0.0184285714285714	0.0175714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.000714285714285714	0.00142857142857143	0	0.014	0.0124285714285714	0.0212857142857143	0.0335714285714286	0	0.0861428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.0125714285714286	0.00914285714285714	0.00642857142857143	0.0227142857142857	0.0202857142857143	0.0468571428571429	0.0314285714285714	0.0137142857142857	0.00385714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0.0251428571428571	0.019	0	0.0294285714285714	0.0217142857142857	0.0321428571428571	0.0298571428571429	0	0.009
