"Taxa"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.146428571428571	0.302714285714286	0.0637142857142857	0.272	0.189142857142857	0.147714285714286	0.259714285714286	0.697285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.255142857142857	0.139571428571429	0.0838571428571429	0.163857142857143	0.351857142857143	0.244142857142857	0.204142857142857	0.0177142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0717142857142857	0.197571428571429	0.045	0.344571428571429	0.141857142857143	0.199428571428571	0.163142857142857	0.0562857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.108142857142857	0.122142857142857	0.0594285714285714	0.105	0.127571428571429	0.246285714285714	0.180857142857143	0.052
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.00471428571428571	0.000857142857142857	0.701714285714286	0.000142857142857143	0.029	0.0427142857142857	0.0621428571428571	0.00357142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0174285714285714	0.152857142857143	0.0262857142857143	0.0758571428571429	0.113428571428571	0.0482857142857143	0.0765714285714286	0.0332857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.381	0.000142857142857143	0.000714285714285714	0.00371428571428571	0.00128571428571429	0.0121428571428571	0.0201428571428571	0.00114285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.007	0.0277142857142857	0.00457142857142857	0.0114285714285714	0.0244285714285714	0.0231428571428571	0.0105714285714286	0.0702857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00442857142857143	0.0114285714285714	0.002	0.0214285714285714	0.0157142857142857	0.0327142857142857	0.00542857142857143	0.00371428571428571
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.0402857142857143	0	0	0	0	0	0.0341428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00357142857142857	0.00471428571428571	0.0115714285714286	0.00171428571428571	0.00471428571428571	0.003	0.0171428571428571	0.0244285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0.001	0	0	0	0	0.00557142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000428571428571429	0	0.000142857142857143	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0.000285714285714286	0.000142857142857143	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0	0	0	0	0	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales"	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0.000142857142857143
