"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.243571428571429	0.205428571428571	0.216285714285714	0.122	0.224714285714286	0.481714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.256142857142857	0.177857142857143	0.263285714285714	0.173428571428571	0.248285714285714	0.0727142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.157714285714286	0.290428571428571	0.125571428571429	0.196857142857143	0.192	0.122857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.071	0.111857142857143	0.201428571428571	0.254714285714286	0.253142857142857	0.0657142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0921428571428571	0.141714285714286	0.101714285714286	0.181857142857143	0.0281428571428571	0.100714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0325714285714286	0.018	0.0498571428571429	0.00871428571428571	0.0334285714285714	0.0302857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.035	0.00328571428571429	0.0188571428571429	0.0494285714285714	0.000857142857142857	0.0618571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.100714285714286	0.0154285714285714	0.00571428571428571	0.00185714285714286	0.00357142857142857	0.00171428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00471428571428571	0.0237142857142857	0.0135714285714286	0.00142857142857143	0.00785714285714286	0.0324285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00457142857142857	0.0117142857142857	0.002	0.00428571428571429	0.005	0.00457142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0.0178571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00114285714285714	0.000428571428571429	0.001	0.00457142857142857	0.00257142857142857	0.00585714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000428571428571429	0	0	0.000857142857142857	0.000428571428571429	0.00142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000285714285714286	0	0.000285714285714286	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000142857142857143	0	0	0
