"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.154142857142857	0.402428571428571	0.0582857142857143	0.201571428571429	0.367142857142857	0.305571428571429	0.260714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.146142857142857	0.081	0.531285714285714	0.127571428571429	0.0595714285714286	0.265428571428571	0.0651428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.145428571428571	0.125428571428571	0.029	0.202714285714286	0.313142857142857	0.113	0.192142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.217857142857143	0.212142857142857	0.036	0.207714285714286	0.0832857142857143	0.112857142857143	0.159285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.197285714285714	0.0717142857142857	0.0192857142857143	0.176857142857143	0.116428571428571	0.052	0.145
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.016	0.0275714285714286	0.167428571428571	0.0257142857142857	0.0158571428571429	0.0907142857142857	0.0222857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0724285714285714	0.0411428571428571	0.00328571428571429	0.000142857142857143	0.00514285714285714	0.0425714285714286	0.0194285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.0171428571428571	0.000428571428571429	0	0.111285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.000142857142857143	0.127714285714286	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0102857142857143	0.0165714285714286	0.0171428571428571	0.00314285714285714	0.0324285714285714	0.0118571428571429	0.0101428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.02	0.0177142857142857	0.00728571428571429	0.0357142857142857	0.00585714285714286	0.00471428571428571	0.00828571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.0124285714285714	0.000714285714285714	0	0.000285714285714286	0.000428571428571429	0.000571428571428571	0.00128571428571429
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.00157142857142857	0.00271428571428571	0.00314285714285714	0.000142857142857143	0	0.000142857142857143	0.004
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.00514285714285714	0.000142857142857143	0	0.001	0	0	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales"	0	0	0	0	0.000285714285714286	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales"	0.000285714285714286	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0.000142857142857143	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales"	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000142857142857143	0	0	0	0	0	0
