"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0	0.121428571428571	0.236714285714286	0.236428571428571	0.223571428571429	0.249571428571429	0.179142857142857	0.207	0.0518571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.028	0.234142857142857	0.275285714285714	0.056	0.203142857142857	0.0581428571428571	0.0474285714285714	0.0135714285714286	0.344142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.044	0.343285714285714	0.195571428571429	0.062	0.0852857142857143	0.0961428571428571	0.0467142857142857	0.268142857142857	0.097
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0	0.068	0.0481428571428571	0.0528571428571429	0.137714285714286	0.174571428571429	0.260285714285714	0.110428571428571	0.0165714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.468571428571429	0.000285714285714286	0	0.0285714285714286	0	0	0	0	0.0211428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.000285714285714286	0.0217142857142857	0.0448571428571429	0.0427142857142857	0.058	0.0355714285714286	0.0348571428571429	0.0645714285714286	0.0245714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.266142857142857	0.000142857142857143	0	0.0247142857142857	0	0	0	0	0.00628571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0.00114285714285714	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0.225
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0	0.0248571428571429	0.00514285714285714	0.00214285714285714	0.0264285714285714	0.0527142857142857	0.0448571428571429	0.0224285714285714	0.00742857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0	0	0.0191428571428571	0.0427142857142857	0.0168571428571429	0.034	0.0168571428571429	0.0285714285714286	0.0244285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0	0.00514285714285714	0.00557142857142857	0.00228571428571429	0.00928571428571429	0.0464285714285714	0.0314285714285714	0.0541428571428571	0.0148571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0	0.00285714285714286	0.0221428571428571	0.065	0.0171428571428571	0.0141428571428571	0.00942857142857143	0.0224285714285714	0.0128571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0	0.00914285714285714	0.00314285714285714	0.00771428571428571	0.0217142857142857	0.0161428571428571	0.0554285714285714	0.0155714285714286	0.0111428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0	0	0.0124285714285714	0.0147142857142857	0.0152857142857143	0.0352857142857143	0.0148571428571429	0.0244285714285714	0.0198571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00185714285714286	0.0231428571428571	0.00971428571428571	0.0348571428571429	0.0164285714285714	0.0125714285714286	0.008	0.0157142857142857	0.00614285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0	0.00285714285714286	0.0151428571428571	0.0438571428571429	0.0174285714285714	0.011	0.0101428571428571	0.0194285714285714	0.00757142857142857
