"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.105428571428571	0.378285714285714	0.229857142857143	0.132857142857143	0.187571428571429	0.104142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.115714285714286	0.124285714285714	0.254285714285714	0.148714285714286	0.257857142857143	0.104714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.0167142857142857	0.00828571428571429	0.0442857142857143	0.473857142857143	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.344571428571429	0.0688571428571429	0.0358571428571429	0.0177142857142857	0.000142857142857143	0.0761428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0197142857142857	0.056	0.0975714285714286	0.0624285714285714	0.0691428571428571	0.0951428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0392857142857143	0.0382857142857143	0.0607142857142857	0.0111428571428571	0.127285714285714	0.109
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.00528571428571429	0.00471428571428571	0.019	0.00714285714285714	0.127714285714286	0.198714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.187428571428571	0.041	0.0201428571428571	0.00842857142857143	0	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0155714285714286	0.0301428571428571	0.0377142857142857	0.0261428571428571	0.0324285714285714	0.0252857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.013	0.0667142857142857	0.0365714285714286	0.00571428571428571	0.00871428571428571	0.00514285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0458571428571429	0.0461428571428571	0.001	0.00314285714285714	0.0281428571428571	0.00585714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00685714285714286	0.00957142857142857	0.0325714285714286	0.00814285714285714	0.02	0.0388571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0148571428571429	0.0151428571428571	0.0125714285714286	0.00485714285714286	0.0315714285714286	0.0364285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.004	0.00385714285714286	0.00257142857142857	0.00228571428571429	0.00628571428571429	0.0524285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.018	0.00742857142857143	0.01	0.00328571428571429	0.021	0.0114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.00514285714285714	0.0132857142857143	0.0142857142857143	0.00857142857142857	0.01	0.0108571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0105714285714286	0.0144285714285714	0.016	0.00885714285714286	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.002	0.00671428571428571	0.009	0.00571428571428571	0.008	0.0128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.00514285714285714	0.0115714285714286	0.0121428571428571	0.00428571428571429	0.00585714285714286	0.00514285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00342857142857143	0.00371428571428571	0.00185714285714286	0.00157142857142857	0.00885714285714286	0.0225714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.000571428571428571	0.002	0.00728571428571429	0.0197142857142857	0.00128571428571429	0.0104285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0	0	0	0.0391428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.00314285714285714	0.009	0.00542857142857143	0.00257142857142857	0.009	0.00357142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00114285714285714	0.00328571428571429	0.00257142857142857	0.006	0.00371428571428571	0.00414285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.00185714285714286	0.00442857142857143	0.004	0.000142857142857143	0.000714285714285714	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.000857142857142857	0.00614285714285714	0.00157142857142857	0.000285714285714286	0.00214285714285714	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00114285714285714	0.00142857142857143	0.002	0.001	0.00285714285714286	0.00228571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.000714285714285714	0.000714285714285714	0.00385714285714286	0.00128571428571429	0.002	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.000571428571428571	0.00314285714285714	0.00257142857142857	0.001	0.00242857142857143	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000857142857142857	0.00242857142857143	0.00342857142857143	0.00214285714285714	0.00114285714285714	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.000714285714285714	0.00228571428571429	0.00228571428571429	0.00185714285714286	0.00214285714285714	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.001	0.00428571428571429	0.001	0.000285714285714286	0.00128571428571429	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.000142857142857143	0.001	0.001	0.00185714285714286	0.00171428571428571	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.000428571428571429	0.000142857142857143	0.00128571428571429	0.00185714285714286	0.00185714285714286	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.000714285714285714	0.000285714285714286	0.00128571428571429	0.000142857142857143	0.00142857142857143	0.002
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0.000714285714285714	0.00114285714285714	0.001	0.002	0	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.000857142857142857	0.000428571428571429	0.00214285714285714	0.000428571428571429	0.00128571428571429	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000142857142857143	0.000571428571428571	0.000142857142857143	0.000142857142857143	0.00314285714285714	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.000428571428571429	0.00342857142857143	0.000142857142857143	0	0.000857142857142857	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.000285714285714286	0.000142857142857143	0.00114285714285714	0.000142857142857143	0.000428571428571429	0.00228571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella"	0.000285714285714286	0.000714285714285714	0.000857142857142857	0.000428571428571429	0.00142857142857143	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0.000142857142857143	0	0.000285714285714286	0.00342857142857143	0	0
