"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.296714285714286	0.661142857142857	0.716	0.441285714285714	0.574	0.490714285714286	0.705857142857143	0.619571428571429	0.342571428571429	0.0688571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.000285714285714286	0	0.224285714285714	0.16	0.286428571428571	0.378428571428571	0.116714285714286	0.259	0.567857142857143	0.740428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.686571428571429	0.290428571428571	0.0392857142857143	0.215571428571429	0.0411428571428571	0.0302857142857143	0.0977142857142857	0.0424285714285714	0.0267142857142857	0.0417142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.00942857142857143	0.0204285714285714	0.000857142857142857	0.150428571428571	0.0571428571428571	0.0202857142857143	0.0594285714285714	0.034	0.0214285714285714	0.0155714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00342857142857143	0.0262857142857143	0.0134285714285714	0.0284285714285714	0.0117142857142857	0.0468571428571429	0.0185714285714286	0.0255714285714286	0.0261428571428571	0.0595714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0	0.000285714285714286	0.000714285714285714	0.0235714285714286	0.0287142857142857	0.000285714285714286	0.00528571428571429	0.00557142857142857	0.011
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0.000142857142857143	0	0	0	0.000142857142857143	0.000142857142857143	0.054
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.000285714285714286	0.000571428571428571	0.00571428571428571	0.00342857142857143	0.00457142857142857	0.00128571428571429	0.00142857142857143	0.00171428571428571	0.00828571428571429	0.008
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00314285714285714	0.00114285714285714	0	0	0.00142857142857143	0.00328571428571429	0	0.0121428571428571	0.00128571428571429	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia"	0	0	0	0	0	0	0	0	0	0.000142857142857143
