"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.000142857142857143	0	0.186285714285714	0.123857142857143	0.266	0.326571428571429	0.0962857142857143	0.238428571428571	0.519428571428571	0.702571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.212	0.264285714285714	0.338142857142857	0.0914285714285714	0.209571428571429	0.294	0.217142857142857	0.302571428571429	0.166142857142857	0.0287142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0	0	0.267	0.191571428571429	0.303428571428571	0.143571428571429	0.169571428571429	0.204571428571429	0.103857142857143	0.025
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0847142857142857	0.396857142857143	0.110857142857143	0.158285714285714	0.061	0.0531428571428571	0.319142857142857	0.112428571428571	0.0725714285714286	0.0151428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.686428571428571	0.289	0.0372857142857143	0.0651428571428571	0.00128571428571429	0.00257142857142857	0.00214285714285714	0.004	0.0124285714285714	0.0391428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.000142857142857143	0	0.000428571428571429	0.150285714285714	0.0392857142857143	0.0271428571428571	0.0955714285714286	0.037	0.0141428571428571	0.00228571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0	0	0.000571428571428571	0.144714285714286	0.0562857142857143	0.0188571428571429	0.0582857142857143	0.0324285714285714	0.0208571428571429	0.0135714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00328571428571429	0.0255714285714286	0.013	0.0284285714285714	0.0115714285714286	0.046	0.0185714285714286	0.0241428571428571	0.0261428571428571	0.0592857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.000142857142857143	0	0.0378571428571429	0.0205714285714286	0.0152857142857143	0.0398571428571429	0.0134285714285714	0.0177142857142857	0.037	0.0294285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0	0	0.000285714285714286	0.000714285714285714	0.0235714285714286	0.0287142857142857	0.000285714285714286	0.00528571428571429	0.00557142857142857	0.0108571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0	0	0.000142857142857143	0.0147142857142857	0.00514285714285714	0.012	0.00671428571428571	0.00285714285714286	0.0114285714285714	0.00842857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0.054
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.00942857142857143	0.0204285714285714	0.000285714285714286	0.00542857142857143	0.000857142857142857	0.000714285714285714	0.00114285714285714	0.000571428571428571	0.000428571428571429	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0	0	0.00442857142857143	0.003	0.00457142857142857	0.00114285714285714	0.00142857142857143	0.00157142857142857	0.00814285714285714	0.00571428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000571428571428571	0.00114285714285714	0	0	0.000857142857142857	0.00242857142857143	0	0.00628571428571429	0.001	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000285714285714286	0.000571428571428571	0.00128571428571429	0.000428571428571429	0	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0.00228571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0.000857142857142857	0.00142857142857143	0	0.000571428571428571	0.000571428571428571	0	0.00142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0.000142857142857143	0.000714285714285714	0.000285714285714286	0	0.000142857142857143	0.000857142857142857	0	0.00142857142857143	0	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000142857142857143	0	0	0	0	0.000285714285714286	0	0.00228571428571429	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0.00242857142857143	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0	0	0	0.000142857142857143	0	0.000714285714285714	0	0.001	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0	0	0	0	0.000285714285714286	0	0.00157142857142857	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae"	0	0	0	0	0.000428571428571429	0	0	0.00157142857142857	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0	0	0.000714285714285714	0	0	0.000285714285714286	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0	0	0.000142857142857143	0.000285714285714286	0	0.000428571428571429	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0.000571428571428571	0	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae"	0	0	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0	0	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0	0	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae"	0	0	0.000142857142857143	0	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae"	0	0	0	0.000142857142857143	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae"	0	0	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae"	0	0	0	0	0	0	0	0	0	0.000142857142857143
