"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.331285714285714	0.511714285714286	0.374571428571429	0.298857142857143	0.268285714285714	0.252285714285714	0.452857142857143	0.382285714285714	0.248428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.145571428571429	0.0781428571428571	0.206857142857143	0.0801428571428571	0.179714285714286	0.0575714285714286	0.0955714285714286	0.112	0.0577142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.108714285714286	0.155857142857143	0.0568571428571429	0.122428571428571	0.111571428571429	0.0552857142857143	0.0382857142857143	0.0804285714285714	0.171142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.207285714285714	0.0778571428571429	0.121714285714286	0.0622857142857143	0.102857142857143	0.0827142857142857	0.0811428571428571	0.052	0.104
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0	0.00314285714285714	0.106571428571429	0.0678571428571429	0.425	0.200714285714286	0.061	0.00885714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0801428571428571	0.106428571428571	0.0862857142857143	0.0768571428571429	0.0991428571428571	0.0612857142857143	0.0714285714285714	0.134428571428571	0.0742857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.00457142857142857	0.00685714285714286	0.009	0.0532857142857143	0.0428571428571429	0.009	0.00685714285714286	0.0502857142857143	0.0545714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0214285714285714	0.000428571428571429	0.0312857142857143	0.049	0.0412857142857143	0.0102857142857143	0.00771428571428571	0.0264285714285714	0.0451428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0184285714285714	0.0372857142857143	0.0212857142857143	0.0294285714285714	0.031	0.00785714285714286	0.0102857142857143	0.0152857142857143	0.0554285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0.0635714285714286	0	0	0	0	0.0837142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.007	0.00171428571428571	0.0301428571428571	0.0232857142857143	0.009	0.00271428571428571	0.00542857142857143	0.0274285714285714	0.0351428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0335714285714286	0.0112857142857143	0.00971428571428571	0.00614285714285714	0.00985714285714286	0.00671428571428571	0.00985714285714286	0.00885714285714286	0.00857142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0141428571428571	0	0.0227142857142857	0.00914285714285714	0.00942857142857143	0.00728571428571429	0.00457142857142857	0.0197142857142857	0.014
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00571428571428571	0.006	0.008	0.00628571428571429	0.011	0.0138571428571429	0.00628571428571429	0.00871428571428571	0.00714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.0102857142857143	0.00214285714285714	0.00857142857142857	0.00342857142857143	0.0115714285714286	0.00471428571428571	0.00485714285714286	0.004	0.00685714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0.00142857142857143	0.00514285714285714	0.00128571428571429	0.00128571428571429	0.000571428571428571	0.00128571428571429	0.001	0.00285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00342857142857143	0.000571428571428571	0.000857142857142857	0.00171428571428571	0.00157142857142857	0.001	0.000142857142857143	0.00157142857142857	0.00385714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00171428571428571	0.000857142857142857	0.001	0.00228571428571429	0	0.00128571428571429	0.000571428571428571	0.000571428571428571	0.00585714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000285714285714286	0.00114285714285714	0.001	0.00257142857142857	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.000714285714285714	0.00628571428571429
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.000857142857142857	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.000571428571428571	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000285714285714286	0	0.000857142857142857	0	0.000142857142857143	0.000142857142857143	0.000571428571428571	0.00442857142857143	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0.00328571428571429	0.000285714285714286	0.000428571428571429	0.000285714285714286	0	0.000142857142857143	0.000285714285714286	0	0.000571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0	0	0	0.002	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae"	0	0	0	0	0	0	0	0.00185714285714286	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.000428571428571429	0	0	0	0.000142857142857143	0	0	0.000857142857142857	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0	0	0	0	0	0.00128571428571429	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0.000142857142857143	0	0	0	0	0.000142857142857143	0.000285714285714286	0.000571428571428571	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0	0	0	0	0	0.000285714285714286	0.000714285714285714	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0.000142857142857143	0	0	0	0.000142857142857143	0.000571428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0.000142857142857143	0.000142857142857143	0.000285714285714286	0	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae"	0	0	0	0	0	0	0	0	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0.000285714285714286	0	0	0	0.000142857142857143	0	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000571428571428571	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0.000428571428571429	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0
