"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.331285714285714	0.511714285714286	0.374571428571429	0.298714285714286	0.268285714285714	0.252285714285714	0.452857142857143	0.382285714285714	0.248428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.145571428571429	0.0781428571428571	0.206857142857143	0.0801428571428571	0.179714285714286	0.0575714285714286	0.0955714285714286	0.112	0.0577142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0	0	0.00314285714285714	0.104285714285714	0.0644285714285714	0.421285714285714	0.199857142857143	0.0395714285714286	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0771428571428571	0.106428571428571	0.0862857142857143	0.0764285714285714	0.0987142857142857	0.0612857142857143	0.0714285714285714	0.133142857142857	0.0735714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0207142857142857	0.134285714285714	0.045	0.087	0.0922857142857143	0.0451428571428571	0.0298571428571429	0.0655714285714286	0.1
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0398571428571429	0.0331428571428571	0.065	0.032	0.068	0.0411428571428571	0.0408571428571429	0.0284285714285714	0.0372857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.088	0.0215714285714286	0.0118571428571429	0.035	0.019	0.0101428571428571	0.00842857142857143	0.0148571428571429	0.0705714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.0184285714285714	0.0372857142857143	0.0212857142857143	0.0294285714285714	0.031	0.00785714285714286	0.0102857142857143	0.0152857142857143	0.0554285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0212857142857143	0.000142857142857143	0.0311428571428571	0.0431428571428571	0.0408571428571429	0.0101428571428571	0.00757142857142857	0.0262857142857143	0.0447142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0494285714285714	0.0208571428571429	0.0204285714285714	0.0102857142857143	0.00328571428571429	0.0142857142857143	0.0118571428571429	0.00614285714285714	0.0351428571428571
