"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.260142857142857	0.471	0.358428571428571	0.265714285714286	0.209428571428571	0.242428571428571	0.441428571428571	0.308142857142857	0.222
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.145571428571429	0.0781428571428571	0.206857142857143	0.0801428571428571	0.179714285714286	0.0575714285714286	0.0955714285714286	0.112	0.0577142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella dysenteriae"	0	0	0.00314285714285714	0.0907142857142857	0.0538571428571429	0.371	0.178142857142857	0.035	0.00228571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0301428571428571	0.0695714285714286	0.0604285714285714	0.0455714285714286	0.052	0.0464285714285714	0.0527142857142857	0.0754285714285714	0.0477142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0591428571428571	0.0365714285714286	0.0144285714285714	0.0284285714285714	0.0504285714285714	0.00885714285714286	0.0101428571428571	0.0634285714285714	0.0231428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.00714285714285714	0.0952857142857143	0.013	0.0241428571428571	0.0311428571428571	0.0138571428571429	0.00942857142857143	0.0255714285714286	0.0254285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0192857142857143	0.0165714285714286	0.0315714285714286	0.0181428571428571	0.0312857142857143	0.0174285714285714	0.0188571428571429	0.0112857142857143	0.0202857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.017	0.015	0.0315714285714286	0.0122857142857143	0.03	0.0225714285714286	0.0202857142857143	0.015	0.0151428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.00742857142857143	0.0287142857142857	0.0114285714285714	0.02	0.0264285714285714	0.0135714285714286	0.00985714285714286	0.0232857142857143	0.0368571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0464285714285714	0.0207142857142857	0.0201428571428571	0.00885714285714286	0.00271428571428571	0.014	0.0117142857142857	0.00471428571428571	0.0324285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.000857142857142857	0.004	0.00642857142857143	0.0455714285714286	0.0222857142857143	0.00328571428571429	0.00371428571428571	0.0257142857142857	0.0467142857142857
