"ID"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"txid1329411"	39	0	0	91	0	0	0	0
"txid1683"	0	0	0	9	0	0	0	0
"txid302911"	0	0	0	1	0	0	0	0
"txid2052941"	0	0	0	1	0	0	0	0
"txid1437609"	33	0	0	79	0	0	0	0
"txid1150460"	0	0	0	3	0	0	0	0
"txid1630173"	1	0	0	1	0	0	0	0
"txid2650773"	0	0	0	96	0	0	0	0
"txid1630172"	12	0	0	70	0	0	0	0
"txid2650774"	3	0	0	3	0	0	0	0
"txid2834437"	1	0	0	14	0	0	0	0
"txid1630166"	41	0	0	99	0	0	0	0
"txid2834431"	1	0	0	12	0	0	0	0
"txid2834436"	1	0	0	2	0	0	0	0
"txid2834432"	1	0	0	9	0	0	0	0
"txid28026"	0	0	0	2	0	0	0	0
"txid78257"	0	0	0	188	0	0	0	0
"txid1437610"	4	0	0	166	0	0	0	0
"txid2045439"	11	0	0	40	0	0	0	0
"txid2834433"	0	0	0	6	0	0	0	0
"txid2306974"	2	0	0	38	0	0	0	0
"txid2809028"	0	0	0	4	0	0	0	0
"txid2834434"	0	0	0	2	0	0	0	0
"txid762211"	0	0	0	1	0	0	0	0
"txid77635"	0	0	0	1	0	0	0	0
"txid1630162"	0	0	0	1	0	0	0	0
"txid2014528"	1	0	0	0	0	0	0	1
"txid2584469"	0	0	0	2	0	0	0	0
"txid1852385"	2	0	0	1	1	0	1	0
"txid997349"	1	0	0	0	0	0	1	0
"txid1805478"	0	0	0	1	1	0	0	0
"txid2003188"	1	0	1	19	0	0	0	0
"txid2779519"	0	0	0	1	0	0	0	0
"txid1871031"	2	0	1	21	1	0	0	0
"txid2603815"	0	0	0	2	0	0	0	0
"txid1907654"	0	0	0	2	0	0	0	0
"txid1720204"	0	0	0	0	1	0	0	0
"txid147207"	16	2	6	431	14	3	1	6
"txid1937461"	0	0	1	1	1	0	0	0
"txid147206"	7	1	4	49	5	1	1	2
"txid742742"	6	0	1	78	8	4	7	5
"txid1870987"	9	0	3	19	14	1	16	6
"txid883106"	0	0	0	1	0	0	0	0
"txid572010"	0	0	0	1	0	0	0	0
"txid85831"	1	0	0	0	0	1	0	0
"txid47678"	64	15	7	10	35	37	15	44
"txid1411144"	5	18	1	0	13	14	29	25
"txid762984"	3	0	0	0	0	0	0	0
"txid28111"	20	11	1	1	2	3	5	61
"txid1236513"	4	0	0	1	2	0	0	0
"txid1077285"	1	0	0	0	0	0	0	0
"txid338188"	2	0	0	0	1	1	0	0
"txid2792859"	1	1	0	14	1	1	5	18
"txid1912896"	30	16	11	3	8	7	8	20
"txid1912894"	2	0	0	0	2	0	0	1
"txid2650158"	2	0	0	0	0	0	0	0
"txid1841856"	46	14	36	239	65	75	42	81
"txid1203608"	1	0	0	0	0	0	0	0
"txid742727"	0	0	0	0	0	1	0	1
"txid28116"	41	13	10	3	14	24	7	32
"txid1236512"	2	0	0	0	0	0	0	0
"txid449673"	442	177	8	12	39	49	23	106
"txid818"	54	22	17	6	49	36	5	75
"txid820"	207	107	12	54	65	73	24	235
"txid657309"	14	12	3	1	7	3	2	17
"txid2650157"	0	0	0	1	0	1	0	1
"txid2725562"	1	0	0	0	1	1	0	0
"txid376804"	5	2	8	13	15	17	7	21
"txid470145"	0	0	0	0	1	1	0	1
"txid387090"	1	0	1	2	1	1	0	0
"txid357276"	35	18	24	91	42	41	12	40
"txid2786956"	2	1	1	3	1	3	0	2
"txid2739389"	0	0	0	0	0	1	0	1
"txid204516"	31	15	9	218	44	52	29	63
"txid1236498"	4	0	1	4	0	1	0	0
"txid484018"	1	0	1	7	2	2	0	4
"txid1236538"	221	237	315	207	290	325	317	330
"txid435590"	76	53	26	161	73	134	139	284
"txid487174"	7	4	2	2	6	3	0	1
"txid397865"	0	0	0	1	0	1	0	0
"txid1349822"	23	12	2	5	4	14	11	14
"txid2518971"	18	54	21	16	10	26	27	23
