"ID"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"txid1329411"	0	0	0	0	0	26	0	0
"txid1683"	0	0	0	0	0	61	0	0
"txid1769423"	0	0	0	0	0	1	0	0
"txid1437608"	0	0	0	0	0	5	0	0
"txid2052941"	0	0	0	0	0	1	0	0
"txid1437609"	0	0	0	0	0	22	0	0
"txid1150460"	0	0	0	0	0	26	0	0
"txid2650773"	0	0	0	0	0	10	0	0
"txid2306975"	0	0	0	0	0	3	0	0
"txid1630172"	0	0	0	0	0	30	0	0
"txid1691"	0	0	0	0	0	1	0	0
"txid2650774"	0	0	0	0	0	4	0	0
"txid2834437"	0	0	0	0	0	11	0	0
"txid1630166"	0	0	0	0	0	18	0	0
"txid2834431"	0	0	0	0	0	8	0	0
"txid2834436"	0	0	0	0	0	1	0	0
"txid2834432"	0	0	0	0	0	68	0	0
"txid1690"	0	0	0	0	0	1	0	0
"txid78257"	0	0	0	0	0	134	0	0
"txid1437610"	0	0	0	0	0	48	0	0
"txid2045439"	0	0	0	0	0	14	0	0
"txid2834433"	0	0	0	0	0	5	0	0
"txid2306974"	0	0	0	0	0	70	0	0
"txid2809028"	0	0	0	0	0	14	0	0
"txid158787"	0	0	0	0	0	2	0	0
"txid2834434"	0	0	0	0	0	3	0	0
"txid1630162"	0	0	0	0	0	2	0	0
"txid2014528"	0	0	0	0	0	0	1	0
"txid1964384"	0	0	0	0	0	1	0	0
"txid2584469"	0	0	0	0	0	1	0	0
"txid1852385"	1	0	0	1	0	4	0	2
"txid997349"	0	0	0	0	2	0	0	0
"txid1805478"	0	0	0	0	1	6	0	0
"txid2003188"	5	5	0	1	1	3	0	0
"txid2779519"	0	0	0	0	0	1	0	0
"txid1871031"	8	11	0	2	0	9	0	1
"txid74426"	0	0	0	0	0	1	0	0
"txid2603815"	0	0	0	0	0	3	0	0
"txid1907654"	0	0	0	0	0	3	0	0
"txid1720204"	0	0	0	0	0	2	0	0
"txid147207"	53	38	2	3	17	69	2	25
"txid1871016"	0	0	0	0	0	1	0	1
