"ID"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"txid1329411"	0	0	0	0	0	29
"txid1683"	0	0	0	0	0	1
"txid2052941"	0	0	0	0	0	1
"txid1437609"	0	0	0	0	0	39
"txid1150460"	0	0	0	0	0	2
"txid2650773"	0	0	0	0	0	12
"txid1630172"	0	0	0	0	0	7
"txid2650774"	0	0	0	0	0	1
"txid2834437"	0	0	0	0	0	7
"txid1630166"	0	0	0	0	0	12
"txid2834431"	0	0	0	0	0	2
"txid2834432"	0	0	0	0	0	2
"txid28026"	0	0	0	0	0	1
"txid78257"	0	0	0	0	0	114
"txid1437610"	0	0	0	0	0	8
"txid2045439"	0	0	0	0	0	13
"txid2834433"	0	0	0	0	0	2
"txid2306974"	0	0	0	0	0	18
"txid2809028"	0	0	0	0	0	2
"txid158787"	0	0	0	0	0	1
"txid2014528"	0	0	1	1	0	0
"txid2584469"	0	0	0	0	0	1
"txid1852385"	0	0	0	0	0	1
"txid1805478"	0	0	0	1	1	0
"txid2003188"	1	2	0	0	1	3
"txid1871031"	0	3	3	3	1	3
"txid2603815"	0	0	0	0	0	1
"txid1907654"	0	0	0	0	0	1
"txid147207"	3	6	28	87	4	44
"txid1871016"	0	0	0	0	0	1
"txid1937461"	0	0	0	1	0	1
"txid147206"	0	2	21	27	1	5
"txid742742"	1	2	1	16	2	14
"txid1870987"	0	4	1	7	2	6
"txid432331"	0	0	0	1	0	0
"txid85831"	1	0	0	0	0	0
"txid47678"	0	0	0	1	10	1
"txid1411144"	1	0	1	0	0	3
"txid28111"	0	1	0	1	1	0
"txid1236513"	0	0	0	0	0	1
"txid1077285"	2	5	0	0	26	9
"txid338188"	1	0	2	1	2	1
"txid2792859"	11	10	18	6	27	32
"txid1912896"	0	0	1	0	0	0
"txid1841856"	25	24	59	16	63	116
"txid28116"	0	0	1	0	2	0
"txid291644"	15	12	0	1	35	22
"txid449673"	23	25	1	3	9	15
"txid818"	0	0	1	0	18	10
"txid820"	20	27	3	4	21	42
"txid657309"	4	1	1	1	5	3
"txid2650157"	1	1	0	0	2	0
"txid2725562"	0	0	0	0	0	1
"txid1841865"	0	0	0	0	0	1
"txid376804"	10	1	10	1	30	14
"txid387090"	0	0	0	0	2	1
"txid357276"	34	29	28	17	60	18
"txid2786956"	1	0	0	0	0	1
"txid2739389"	0	0	0	0	1	0
"txid204516"	16	16	3	0	175	115
"txid1236498"	0	0	0	0	0	1
"txid484018"	3	0	0	0	3	2
"txid1236538"	76	88	270	30	192	227
"txid435590"	135	134	114	30	428	384
"txid487174"	4	4	25	7	12	12
"txid397865"	1	1	2	2	2	3
"txid1349822"	1	4	1	1	22	6
"txid2518971"	1	0	0	0	0	0
"txid2530391"	1	1	8	1	3	16
"txid2094151"	5	2	9	1	10	14
"txid2606626"	1	2	3	0	3	6
"txid76122"	1	0	1	4	0	0
"txid1841864"	2	0	0	1	0	0
"txid454154"	1	1	4	0	2	3
"txid454155"	1	0	0	0	0	0
"txid305719"	19	16	20	10	0	0
"txid873513"	6	5	1	6	0	0
"txid537011"	8	12	109	31	894	1384
"txid1236509"	0	0	0	1	0	0
"txid1236517"	1	0	0	0	0	0
"txid2518605"	0	0	0	0	0	7
"txid2800387"	0	0	1	0	0	0
"txid439703"	2	0	1	1	0	0
"txid185294"	1	0	0	0	0	0
"txid1676614"	0	0	1	0	0	0
"txid1002367"	0	0	0	1	0	0
"txid1852370"	74	101	112	62	0	1
"txid2585119"	0	0	2	3	0	0
"txid328814"	1	0	0	1	0	1
"txid2290935"	0	0	0	0	0	1
"txid871327"	0	0	0	0	0	2
"txid823"	23	40	132	36	100	186
"txid387661"	0	0	0	0	1	1
"txid46503"	25	27	96	21	39	81
"txid2753162"	0	0	0	0	0	1
"txid150240"	0	0	0	1	0	0
"txid1379"	0	0	0	1	0	0
