"ID"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"txid1329411"	0	0	0	56	0	0	0	0	93
"txid1683"	0	0	0	1	0	0	0	0	6
"txid1769423"	0	0	0	1	0	0	0	0	0
"txid1681"	0	0	0	0	0	0	0	0	2
"txid2306973"	0	0	0	0	0	0	0	0	1
"txid2052941"	0	0	0	1	0	0	0	0	1
"txid1437609"	0	0	0	51	0	0	0	0	104
"txid1150460"	0	0	0	2	0	0	0	0	3
"txid1630173"	0	0	0	1	0	0	0	0	2
"txid2650773"	0	0	0	30	0	0	0	0	25
"txid2809026"	0	0	0	1	0	0	0	0	1
"txid2306975"	0	0	0	0	0	0	0	0	1
"txid1630172"	0	0	0	20	0	0	0	0	17
"txid2650774"	0	0	0	5	0	0	0	0	7
"txid2834437"	0	0	0	9	0	0	0	0	12
"txid1630166"	0	0	0	24	0	0	0	0	55
"txid2675322"	0	0	0	0	0	0	0	0	1
"txid2834431"	0	0	0	6	0	0	0	0	7
"txid2834436"	0	0	0	2	0	0	0	0	2
"txid2834432"	0	0	0	2	0	0	0	0	6
"txid28026"	0	0	0	1	0	0	0	0	1
"txid78257"	0	0	0	83	0	0	0	0	107
"txid1437610"	0	0	0	83	0	0	0	0	44
"txid2045439"	0	0	0	26	0	0	0	0	37
"txid2834433"	0	0	0	5	0	0	0	0	7
"txid2306974"	0	0	0	28	0	0	0	0	32
"txid2809028"	0	0	0	2	0	0	0	0	6
"txid158787"	0	0	0	1	0	0	0	0	1
"txid2834434"	0	0	0	1	0	0	0	0	1
"txid762211"	0	0	0	1	0	0	0	0	1
"txid1630162"	0	0	0	1	0	0	0	0	1
"txid2562524"	0	0	0	1	0	0	0	0	2
"txid2014528"	3	0	0	0	0	0	0	0	1
"txid1964384"	0	0	0	1	0	0	0	0	3
"txid2584469"	0	1	0	0	0	0	0	0	1
"txid1852385"	1	0	0	1	0	0	0	0	2
"txid1805478"	0	0	0	1	2	0	0	0	2
"txid633147"	0	0	0	0	0	0	0	0	1
"txid604330"	0	0	0	1	0	0	0	0	1
