NR_117358.1	txid544580
NR_025379.1	txid111015
NR_137394.1	txid1798155
NR_133981.1	txid1329411
NR_181802.1	txid2809027
NR_036853.1	txid1683
NR_040867.1	txid302911
NR_157614.1	txid1769423
NR_137395.1	txid1798157
NR_113175.1	txid1437608
NR_118793.1	txid1681
NR_180398.1	txid2306973
NR_159261.1	txid2052941
NR_113172.1	txid1437609
NR_174235.1	txid2610880
NR_112779.1	txid1150460
NR_159324.1	txid1630173
NR_174313.1	txid2650773
NR_181799.1	txid2809026
NR_037115.2	txid1689
NR_180396.1	txid2306975
NR_147762.1	txid1630172
NR_043439.1	txid1691
NR_135862.1	txid1603886
NR_174314.1	txid2650774
NR_145535.1	txid1931217
NR_181801.1	txid2834435
NR_181805.1	txid2834437
NR_114397.1	txid1333651
NR_147760.1	txid1630166
NR_180954.1	txid2675322
NR_181796.1	txid2834431
NR_180966.1	txid2661628
NR_181804.1	txid2834436
NR_181797.1	txid2834432
NR_025672.1	txid212365
NR_037117.1	txid28026
NR_043441.2	txid1690
NR_029137.1	txid78257
NR_137396.1	txid1798158
NR_113313.1	txid1437610
NR_164634.1	txid2045439
NR_181798.1	txid2834433
NR_180397.1	txid2306974
NR_181803.1	txid2809028
NR_025452.1	txid158787
NR_181800.1	txid2834434
NR_113174.1	txid762211
NR_029139.1	txid77635
NR_104968.1	txid33905
NR_147761.1	txid1630162
NR_164635.1	txid2562524
NR_179631.1	txid2014528
NR_026539.1	txid61592
NR_043881.1	txid384602
NR_179493.1	txid2220000
NR_179615.1	txid1964384
NR_181929.1	txid2930083
NR_180580.1	txid2584469
NR_173694.1	txid1622075
NR_173693.1	txid1852385
NR_180810.1	txid2652279
NR_116938.1	txid997349
NR_179506.1	txid1805478
NR_074414.1	txid633147
NR_116936.1	txid604330
NR_173689.1	txid2292441
NR_163613.1	txid2003188
NR_156812.1	txid1871022
NR_180618.1	txid2779357
NR_181210.1	txid2779519
NR_173691.1	txid1871031
NR_173690.1	txid1852386
NR_113316.1	txid74426
NR_180644.1	txid2603815
NR_147379.1	txid1907654
NR_179431.1	txid1720204
NR_113165.1	txid147207
NR_147399.1	txid1871016
NR_179599.1	txid1937461
NR_113164.1	txid147206
NR_112899.1	txid742742
NR_179545.1	txid1870987
NR_026170.1	txid33871
NR_144579.1	txid1232426
NR_179460.1	txid2590867
NR_147403.1	txid1871019
NR_117374.1	txid747645
NR_179701.1	txid2137581
NR_179525.1	txid1841863
NR_042825.1	txid883106
NR_113188.1	txid572010
NR_043111.1	txid432331
NR_112931.1	txid85831
NR_179520.1	txid1841855
NR_112932.1	txid47678
NR_148821.1	txid1462569
NR_145844.1	txid1411144
NR_112933.1	txid246787
NR_113065.1	txid762984
NR_179635.1	txid2024197
NR_112935.1	txid28111
NR_113206.1	txid1236513
NR_113067.1	txid1077285
NR_041313.1	txid338188
NR_112894.1	txid763034
NR_148822.1	txid1462571
NR_041448.1	txid376806
NR_074546.1	txid290053
NR_181532.1	txid2792859
NR_179567.1	txid1907658
NR_159117.1	txid1912896
NR_159118.1	txid1912894
NR_180463.1	txid2650158
NR_144744.1	txid1841856
NR_043017.1	txid1203608
NR_113070.1	txid742727
NR_112940.1	txid28116
NR_113072.1	txid1236512
NR_043016.1	txid291644
NR_113207.1	txid1236514
NR_112943.1	txid449673
NR_112944.1	txid818
NR_112945.1	txid820
NR_112947.1	txid657309
NR_180458.1	txid2650157
NR_181379.1	txid2725562
NR_144747.1	txid1841865
NR_181377.1	txid2763138
NR_041446.1	txid376804
NR_041278.1	txid470145
NR_041461.1	txid387090
NR_041351.1	txid357276
NR_181010.1	txid2786956
NR_175548.1	txid2739389
NR_112938.1	txid204516
NR_113071.1	txid1236498
NR_041277.1	txid484018
NR_041447.1	txid376805
NR_113064.1	txid1236538
NR_074515.1	txid435590
NR_113073.1	txid487174
NR_041508.1	txid397865
NR_118316.1	txid1349822
NR_170508.1	txid2518971
NR_170509.1	txid2530391
NR_179975.1	txid2094150
NR_180717.1	txid2601703
NR_180431.1	txid2530390
NR_144616.1	txid1796646
NR_179976.1	txid2094151
NR_180830.1	txid2606626
NR_144725.1	txid1686296
NR_113082.1	txid887901
NR_118334.1	txid671218
NR_037088.1	txid76122
NR_144746.1	txid1841864
NR_147404.1	txid1816687
NR_147377.1	txid1870999
NR_113077.1	txid454154
NR_113078.1	txid454155
NR_025300.1	txid77768
NR_113094.1	txid305719
NR_028866.1	txid752555
NR_113097.1	txid873513
NR_113098.1	txid28127
NR_113411.1	txid537011
NR_113099.1	txid28128
NR_113102.1	txid1236509
NR_113101.1	txid28129
NR_113104.1	txid76123
NR_114304.1	txid1236517
NR_178237.1	txid2801997
NR_044407.1	txid470565
NR_180452.1	txid2518605
NR_181266.1	txid2800387
NR_109628.1	txid1177574
NR_165743.1	txid2490854
NR_179380.1	txid2854755
NR_179442.1	txid1776379
NR_113109.1	txid840
NR_044270.1	txid439703
NR_179449.1	txid2479840
NR_041907.1	txid862515
NR_113114.1	txid425941
NR_042841.1	txid873533
NR_113118.1	txid28135
NR_113227.1	txid915438
NR_113120.1	txid28136
NR_113122.1	txid185294
NR_179444.1	txid1776388
NR_041541.1	txid407975
NR_178978.1	txid1676614
NR_113320.1	txid1236516
NR_024815.1	txid228603
NR_041364.1	txid1002367
NR_144750.1	txid1852370
NR_179296.1	txid2585119
NR_043318.1	txid328813
NR_113152.1	txid28117
NR_118219.1	txid1033732
NR_113153.1	txid328814
NR_180156.1	txid2290935
NR_113208.1	txid871327
NR_165699.1	txid2685834
NR_041342.1	txid823
NR_041464.1	txid387661
NR_041343.1	txid46503
NR_181277.1	txid2753162
NR_179605.1	txid1944636
NR_113125.1	txid28112
NR_175436.1	txid712710
NR_113368.1	txid1017
NR_113564.1	txid1019
NR_181001.1	txid2710758
NR_116158.1	txid1288484
NR_025643.1	txid157227
NR_116596.1	txid568603
NR_041326.1	txid150056
NR_117252.1	txid643214
NR_036901.1	txid46126
NR_027521.1	txid74706
NR_156818.1	txid1955013
NR_074999.2	txid342451
NR_028667.1	txid224030
NR_036907.1	txid1288
NR_036920.1	txid150240
NR_025903.1	txid1379
NR_179572.1	txid1909670
NR_025904.1	txid29391
NR_133752.1	txid1179782
NR_133753.1	txid1179787
NR_025863.1	txid46125
NR_025396.1	txid119206
NR_104708.1	txid1377
NR_025862.1	txid46124
NR_028682.1	txid137732
NR_115763.1	txid1140002
NR_113900.1	txid53345
NR_115765.1	txid1351
NR_114742.1	txid1352
NR_114743.1	txid1354
NR_113334.1	txid28038
NR_113821.1	txid1599
NR_113255.1	txid935294
NR_104722.1	txid1363
NR_113960.1	txid1358
NR_112704.1	txid76860
NR_115274.1	txid889201
NR_175455.1	txid1968889
NR_114642.1	txid1335
NR_156072.1	txid1888195
NR_178515.1	txid1156431
NR_028736.1	txid1338
NR_165737.1	txid2382163
NR_115240.1	txid28037
NR_042927.1	txid655813
NR_148589.1	txid1547447
NR_115735.1	txid760570
NR_179215.1	txid1501662
NR_043660.1	txid197614
NR_108477.1	txid701526
NR_109720.1	txid1234680
NR_113260.1	txid1305
NR_028833.1	txid176090
NR_179540.1	txid1852387
NR_179383.1	txid2853160
NR_152060.1	txid1712515
NR_044490.1	txid501571
NR_029229.1	txid1561
NR_028964.1	txid179628
NR_179173.1	txid2126740
NR_180048.1	txid759821
NR_144697.1	txid1414721
NR_179391.1	txid1499684
NR_178427.1	txid1347366
NR_147400.1	txid1958780
NR_113021.1	txid29363
NR_113204.1	txid1502
NR_179410.1	txid1650661
NR_180797.1	txid2605778
NR_037086.1	txid1559
NR_179447.1	txid2479838
NR_181369.1	txid2784388
NR_133762.1	txid1096246
NR_036928.1	txid154046
NR_104899.1	txid384636
NR_147406.1	txid1871024
NR_026330.1	txid53442
NR_026106.1	txid29322
NR_113248.1	txid1736
NR_179801.1	txid2041044
NR_104737.1	txid1732
NR_024661.1	txid42322
NR_179568.1	txid1907655
NR_118779.1	txid35517
NR_117905.1	txid879566
NR_178281.1	txid105843
NR_113199.1	txid1527
NR_151895.1	txid433286
NR_179183.1	txid1727145
NR_025796.1	txid259063
NR_180914.1	txid2696063
NR_028740.1	txid100134
NR_176499.1	txid1812858
NR_181215.1	txid2738446
NR_117138.2	txid649756
NR_151894.1	txid433293
NR_144735.1	txid1745713
NR_180822.1	txid2606636
NR_171444.1	txid1912897
NR_180026.1	txid2696678
NR_144607.1	txid1796615
NR_104700.1	txid1532
NR_170495.1	txid2509240
NR_113231.1	txid536633
NR_104687.1	txid537007
NR_163637.1	txid2025493
NR_026314.1	txid53443
NR_181402.1	txid2763028
NR_181211.1	txid2779518
NR_041960.1	txid89014
NR_147395.1	txid1917868
NR_113270.1	txid1121114
NR_179590.1	txid1936059
NR_178840.1	txid1796616
NR_026312.1	txid180164
NR_117867.1	txid871664
NR_044054.1	txid1121115
NR_104735.1	txid45851
NR_025981.1	txid831
NR_025525.1	txid185008
NR_102893.1	txid43305
NR_178367.1	txid673271
NR_074536.1	txid642492
NR_044049.1	txid33043
NR_144608.1	txid1796618
NR_181407.1	txid2850323
NR_181406.1	txid2850322
NR_144731.1	txid1720294
NR_180800.1	txid2652274
NR_118643.1	txid1432052
NR_043680.1	txid358742
NR_025567.1	txid208479
NR_043681.1	txid358743
NR_118128.1	txid1531
NR_044289.1	txid460384
NR_181358.1	txid2788944
NR_104803.1	txid39482
NR_181263.1	txid2726362
NR_117141.1	txid290055
NR_117126.1	txid1544
NR_156907.1	txid1912855
NR_114326.1	txid1150298
NR_178255.1	txid1408099
NR_173570.1	txid1912090
NR_136763.1	txid1564487
NR_152095.1	txid1679721
NR_025206.1	txid180286
NR_025207.1	txid180311
NR_181885.1	txid2885351
NR_181397.1	txid2763671
NR_119188.1	txid679200
NR_181394.1	txid2763668
NR_156079.1	txid1469948
NR_179627.1	txid2002841
NR_104684.1	txid887325
NR_025127.1	txid140626
NR_119085.1	txid29364
NR_028785.1	txid29347
NR_118730.1	txid1512
NR_179587.1	txid1926283
NR_147396.1	txid1917870
NR_179560.1	txid1871021
NR_179538.1	txid1852382
NR_119068.1	txid36832
NR_028726.1	txid94868
NR_115211.1	txid253257
NR_026100.1	txid1286362
NR_026493.1	txid69825
NR_026494.1	txid84030
NR_026409.1	txid29370
NR_037068.1	txid29375
NR_114807.1	txid168384
NR_179276.1	txid2316025
NR_116747.1	txid1298596
NR_036800.1	txid411470
NR_027579.1	txid471875
NR_036777.1	txid33039
NR_157642.1	txid1653435
NR_134091.1	txid1462919
NR_144617.1	txid1796634
NR_134772.1	txid1337051
NR_173632.1	txid2068655
NR_180815.1	txid2606633
NR_125571.1	txid796944
NR_125570.1	txid796943
NR_029097.1	txid237576
NR_180820.1	txid2606632
NR_181395.1	txid2763669
NR_041882.1	txid180332
NR_042832.1	txid301302
NR_074809.1	txid585394
NR_027557.1	txid536231
NR_042007.1	txid622312
NR_180825.1	txid2605790
NR_165013.1	txid2044587
NR_148624.1	txid1653434
NR_180620.1	txid2779351
NR_180986.1	txid2681861
NR_117792.1	txid796942
NR_119287.1	txid84037
NR_026151.1	txid36835
NR_173637.1	txid2755051
NR_180823.1	txid2606634
NR_180833.1	txid2606635
NR_181398.1	txid2763667
NR_181391.1	txid2763670
NR_104783.1	txid290052
NR_024829.1	txid253314
NR_151982.1	txid1628085
NR_044644.2	txid39484
NR_144727.1	txid1673717
NR_027558.1	txid169435
NR_145929.1	txid642589
NR_144722.1	txid1632013
NR_181757.1	txid2841504
NR_029356.1	txid292800
NR_179996.1	txid2764322
NR_179526.1	txid1841866
NR_180619.1	txid2779352
NR_147370.1	txid1870988
NR_179331.1	txid2714358
NR_173688.1	txid2780922
NR_028997.1	txid214851
NR_179330.1	txid2714355
NR_179329.1	txid2714353
NR_114789.1	txid1535
NR_113393.1	txid2741
NR_153710.1	txid1643805
NR_113132.1	txid1121308
NR_133028.1	txid1301100
NR_144740.1	txid1776391
NR_144611.1	txid1417852
NR_179658.1	txid2086584
NR_121686.1	txid384638
NR_125593.1	txid1034346
NR_029164.1	txid1522
NR_113243.1	txid1547
NR_179270.1	txid2654621
NR_041590.1	txid742816
NR_025514.1	txid158847
NR_044473.1	txid491921
NR_117702.1	txid865
NR_117364.1	txid671224
NR_044111.1	txid416586
NR_179602.1	txid1944634
NR_028797.1	txid135082
NR_028796.1	txid135083
NR_028862.1	txid209880
NR_028812.1	txid156456
NR_147376.1	txid1852378
NR_147373.1	txid1852379
NR_113307.1	txid1122219
NR_102980.1	txid1064535
NR_157635.1	txid1675036
NR_178779.1	txid1588748
NR_134080.1	txid879612
NR_133027.1	txid1232428
NR_025230.1	txid187326
NR_043657.1	txid349095
NR_179932.1	txid2144175
NR_043656.1	txid349094
NR_178499.1	txid1111454
NR_179646.1	txid2045301
NR_179592.1	txid1936062
NR_074980.1	txid479436
NR_113377.1	txid103892
NR_044091.1	txid423477
NR_114338.1	txid33033
NR_113379.1	txid134605
NR_146837.2	txid1755100
NR_179530.1	txid1852365
NR_117734.1	txid850
NR_114400.1	txid859
NR_117290.1	txid1196653
NR_044688.3	txid852
NR_044820.1	txid861
NR_113384.1	txid856
NR_028769.1	txid109328
NR_126239.1	txid1162717
NR_181789.1	txid2857064
NR_179616.1	txid1966466
NR_179754.1	txid2032623
NR_145928.1	txid1631957
NR_173536.1	txid1770004
NR_165738.1	txid2490857
NR_104897.1	txid47671
NR_133803.1	txid1207057
NR_125656.1	txid1335047
NR_181524.1	txid2816950
NR_115010.1	txid391358
NR_113844.1	txid196015
NR_179395.1	txid1506471
NR_147381.1	txid1852381
NR_113328.1	txid626947
NR_169348.1	txid2584944
NR_147401.1	txid1816689
NR_179269.1	txid2494234
NR_179604.1	txid1944635
NR_104851.1	txid40545
NR_104685.1	txid539
NR_170431.1	txid1795832
NR_170432.1	txid1795827
NR_042240.1	txid265175
NR_104944.1	txid90367
NR_117701.1	txid496
NR_118249.1	txid1107316
NR_117694.1	txid33053
NR_116767.1	txid1032488
NR_117692.1	txid28091
NR_173530.1	txid76115
NR_026477.1	txid83767
NR_024855.1	txid65401
NR_118513.1	txid200
NR_118516.1	txid824
NR_181373.1	txid2762557
NR_113247.1	txid203
NR_118526.1	txid204
NR_074805.1	txid43948
NR_026075.1	txid13335
NR_025518.1	txid179995
NR_113274.1	txid762983
NR_026475.1	txid83769
NR_026476.1	txid83771
NR_025934.1	txid2718
NR_028847.1	txid194702
NR_104940.1	txid565
NR_115224.1	txid255519
NR_025243.1	txid566551
NR_126319.1	txid158823
NR_170426.1	txid1748967
NR_117751.1	txid545
NR_028685.1	txid67825
NR_028686.1	txid67826
NR_180890.1	txid2653932
NR_116999.1	txid1073999
NR_024640.1	txid61645
NR_148649.1	txid881260
NR_116756.1	txid69218
NR_179167.1	txid2494701
NR_180237.1	txid2497875
NR_118568.1	txid550
NR_126208.1	txid1296536
NR_180236.1	txid2494702
NR_042349.1	txid299767
NR_146667.2	txid539813
NR_179254.1	txid2478464
NR_180451.1	txid2529382
NR_179166.1	txid2497436
NR_179946.1	txid2071710
NR_180450.1	txid2529381
NR_025569.1	txid208962
NR_114042.1	txid562
NR_074902.1	txid585054
NR_136472.1	txid1499973
NR_180509.1	txid2899544
NR_102493.2	txid1028307
NR_037084.1	txid39831
NR_025566.1	txid1300165
NR_116033.1	txid497725
NR_169476.1	txid2529380
NR_117704.1	txid1177180
NR_114154.1	txid83655
NR_125600.1	txid1095768
NR_119109.1	txid566
NR_125690.1	txid1398493
NR_116124.1	txid54736
NR_074799.1	txid90370
NR_180446.1	txid1851514
NR_104901.1	txid621
NR_026332.1	txid622
NR_026331.1	txid623
NR_104826.1	txid624
NR_118531.1	txid1388748
NR_148578.1	txid1324864
NR_104943.1	txid221276
NR_111998.1	txid549
NR_115258.1	txid574096
NR_026045.1	txid553
NR_116113.1	txid470931
NR_116748.1	txid472694
NR_116247.1	txid472705
NR_178694.1	txid1592631
NR_116115.1	txid470934
NR_179961.1	txid2050966
NR_159332.1	txid1987580
NR_114419.1	txid584
NR_043998.1	txid102862
NR_180980.1	txid2703885
NR_148843.1	txid280147
NR_117626.1	txid106649
NR_148847.1	txid1776742
NR_180616.1	txid2614693
NR_042864.1	txid717
NR_026030.1	txid51048
NR_029171.1	txid714
NR_116167.1	txid985008
NR_181946.1	txid2025884
NR_042877.1	txid733
NR_179979.1	txid2094024
NR_042879.1	txid738
NR_042875.1	txid888728
NR_104930.1	txid726
NR_149208.1	txid1461579
NR_025423.1	txid249188
NR_024896.1	txid85401
NR_024898.1	txid85403
NR_024897.1	txid85404
NR_042883.1	txid667128
NR_115138.1	txid115545
NR_026032.1	txid749
NR_178974.1	txid2316085
NR_117552.1	txid882211
NR_024946.1	txid296
NR_148763.1	txid1608996
NR_179898.1	txid2364649
NR_178975.1	txid2750624
NR_028619.1	txid122355
NR_113651.1	txid303
NR_148764.1	txid1608994
NR_044657.2	txid2153
