"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.000428571428571429	0.048	0.00628571428571429	0.381285714285714	0.207285714285714	0.345285714285714	0.00985714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0321428571428571	0.235142857142857	0.0418571428571429	0.0988571428571429	0.183857142857143	0.153428571428571	0.0692857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.000714285714285714	0.266714285714286	0.00585714285714286	0.048	0.116571428571429	0.107571428571429	0.217571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0225714285714286	0.164428571428571	0.154428571428571	0.219142857142857	0.143571428571429	0.0392857142857143	0.00571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter"	0.00885714285714286	0.000571428571428571	0.509714285714286	0.0984285714285714	0.0432857142857143	0.00114285714285714	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0858571428571429	0.00914285714285714	0.011	0.0344285714285714	0.0597142857142857	0.0408571428571429	0.216571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.209571428571429	0.00714285714285714	0.00971428571428571	0.0147142857142857	0.0272857142857143	0.0598571428571429	0.116285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.155571428571429	0.00242857142857143	0.00714285714285714	0.00671428571428571	0.0102857142857143	0.01	0.0717142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.135714285714286	0.0104285714285714	0.00757142857142857	0.00542857142857143	0.00857142857142857	0.0141428571428571	0.04
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.169428571428571	0.001	0.00357142857142857	0.00114285714285714	0.00585714285714286	0.007	0.00257142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.000142857142857143	0.172285714285714	0	0	0	0.000285714285714286	0.001
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.000142857142857143	0.000142857142857143	0.160285714285714	0.000857142857142857	0.00385714285714286	0.00314285714285714	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0575714285714286	0.00757142857142857	0.00228571428571429	0.0145714285714286	0.0291428571428571	0.00828571428571429	0.0458571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.00385714285714286	0.0227142857142857	0.004	0.0181428571428571	0.0461428571428571	0.0328571428571429	0.012
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00185714285714286	0.00157142857142857	0.000571428571428571	0.00128571428571429	0.00814285714285714	0.0932857142857143	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.0394285714285714	0.000571428571428571	0.0431428571428571	0.00528571428571429	0.000714285714285714	0.00271428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.0308571428571429	0.000142857142857143	0.00371428571428571	0.00671428571428571	0.0197142857142857	0.0108571428571429	0.00571428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.000714285714285714	0.00242857142857143	0	0.000428571428571429	0.00242857142857143	0.00128571428571429	0.0504285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0.00271428571428571	0	0.000142857142857143	0	0	0	0.0454285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.0121428571428571	0	0	0.000142857142857143	0.000285714285714286	0.003	0.0234285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.000714285714285714	0.00314285714285714	0.00228571428571429	0.00642857142857143	0.01	0.0108571428571429	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.00257142857142857	0.00542857142857143	0.00271428571428571	0.00528571428571429	0.00885714285714286	0.00528571428571429	0.00585714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00128571428571429	0.00357142857142857	0.002	0.00471428571428571	0.0102857142857143	0.009	0.00485714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.000285714285714286	0.0111428571428571	0.000428571428571429	0.00514285714285714	0.00385714285714286	0.00728571428571429	0.003
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.000571428571428571	0.00214285714285714	0.00228571428571429	0.00285714285714286	0.0108571428571429	0.00842857142857143	0.00142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0	0.00128571428571429	0	0	0.000428571428571429	0.00285714285714286	0.0218571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.00371428571428571	0.00142857142857143	0.00242857142857143	0.00142857142857143	0.0101428571428571	0.00114285714285714	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.00228571428571429	0.00457142857142857	0.00214285714285714	0.002	0.00414285714285714	0.00257142857142857	0.00228571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00271428571428571	0.000142857142857143	0.00185714285714286	0.00528571428571429	0.00385714285714286	0.000857142857142857	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.0111428571428571	0	0.000857142857142857	0.000428571428571429	0.000285714285714286	0.000571428571428571	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.000142857142857143	0.00142857142857143	0.000142857142857143	0.000571428571428571	0.00128571428571429	0.00371428571428571	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0	0.00228571428571429	0	0	0	0.00471428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0	0.000571428571428571	0.00285714285714286	0.00128571428571429	0.00142857142857143	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.000714285714285714	0.000285714285714286	0.00114285714285714	0.000571428571428571	0.00257142857142857	0.000714285714285714	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus"	0.000285714285714286	0	0.00157142857142857	0.000285714285714286	0.00257142857142857	0.000285714285714286	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0	0	0	0	0	0.000285714285714286	0.00457142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter"	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.000714285714285714	0.00128571428571429	0.001
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae|g__Asteroleplasma"	0	0	0	0	0	0	0.00342857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus"	0	0	0	0	0	0	0.00328571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola"	0	0.000857142857142857	0	0.000571428571428571	0.00114285714285714	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0	0	0.000571428571428571	0.000285714285714286	0.000857142857142857	0.001	0
