"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.0321428571428571	0.235142857142857	0.0418571428571429	0.0988571428571429	0.183857142857143	0.153428571428571	0.0692857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.000142857142857143	0.247714285714286	0.00185714285714286	0.0341428571428571	0.0958571428571429	0.102428571428571	0.211
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sedlakii"	0.00814285714285714	0.000571428571428571	0.509285714285714	0.0982857142857143	0.0432857142857143	0.00114285714285714	0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.0178571428571429	0.0895714285714286	0.135	0.188285714285714	0.127714285714286	0.036	0.003
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.000285714285714286	0.0157142857142857	0.00314285714285714	0.197571428571429	0.112714285714286	0.227571428571429	0.00642857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0858571428571429	0.00914285714285714	0.011	0.0344285714285714	0.0597142857142857	0.0408571428571429	0.216571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.108714285714286	0.001	0.00128571428571429	0.00314285714285714	0.00914285714285714	0.0395714285714286	0.061
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.129857142857143	0.005	0.00657142857142857	0.00414285714285714	0.00628571428571429	0.00814285714285714	0.0305714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0	0.00314285714285714	0.00171428571428571	0.0618571428571429	0.0344285714285714	0.0808571428571429	0.000571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.000142857142857143	0.171857142857143	0	0	0	0.000285714285714286	0.000857142857142857
