"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.732428571428571	0.745	0.126428571428571	0.623428571428571	0.856	0.813	0.701571428571429	0.71	0.101142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.0818571428571429	0.121	0.402428571428571	0.206857142857143	0.0652857142857143	0.0882857142857143	0.147857142857143	0.135285714285714	0.658142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.114571428571429	0.0968571428571429	0.0292857142857143	0.108	0.0662857142857143	0.0794285714285714	0.117428571428571	0.117142857142857	0.0312857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0284285714285714	0.0228571428571429	0.0965714285714286	0.0552857142857143	0.00557142857142857	0.0131428571428571	0.0268571428571429	0.0161428571428571	0.114714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.293285714285714	0	0	0	0	0	0.0614285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.002	0.00157142857142857	0.0507142857142857	0.00328571428571429	0.00557142857142857	0.00371428571428571	0.00285714285714286	0.0127142857142857	0.0108571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0305714285714286	0.003	0	0.000142857142857143	0	0	0.000142857142857143	0	0.0185714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00985714285714286	0.00957142857142857	0.00114285714285714	0.00228571428571429	0.000857142857142857	0.00214285714285714	0.00314285714285714	0.00614285714285714	0.00385714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000285714285714286	0.000142857142857143	0	0.000285714285714286	0.000428571428571429	0.000285714285714286	0.000142857142857143	0.00257142857142857	0
"k__Bacteria|p__Firmicutes|c__Tissierellia"	0	0	0	0.000428571428571429	0	0	0	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000142857142857143	0	0	0	0	0	0
