"Taxa"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.245857142857143	0.140285714285714	0.109857142857143	0.181428571428571	0.353428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.180142857142857	0.180142857142857	0.138142857142857	0.151571428571429	0.204714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.152857142857143	0.108	0.257285714285714	0.198	0.119285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.115142857142857	0.0934285714285714	0.0838571428571429	0.0731428571428571	0.0938571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0724285714285714	0.105285714285714	0.134285714285714	0.0997142857142857	0.021
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.0295714285714286	0.0292857142857143	0.078	0.0755714285714286	0.025
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0	0.101857142857143	0.0245714285714286	0.00857142857142857	0.017
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio"	0.028	0.02	0.0205714285714286	0.0485714285714286	0.0212857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0334285714285714	0.0292857142857143	0.0164285714285714	0.0137142857142857	0.00442857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.000285714285714286	0.0641428571428571	0.0162857142857143	0.00485714285714286	0.00828571428571429
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0262857142857143	0.0134285714285714	0.0198571428571429	0.0244285714285714	0.00757142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.0294285714285714	0.0277142857142857	0.00842857142857143	0.0122857142857143	0.0111428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0222857142857143	0.011	0.0182857142857143	0.0172857142857143	0.00385714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.01	0.00542857142857143	0.00357142857142857	0.0178571428571429	0.0191428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00985714285714286	0.0131428571428571	0.0114285714285714	0.01	0.00314285714285714
