"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0772857142857143	0.120142857142857	0.290285714285714	0.245285714285714	0.480571428571429	0.374428571428571	0.403714285714286	0.0231428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.437285714285714	0.454285714285714	0.0232857142857143	0.163857142857143	0.0537142857142857	0.102571428571429	0.0201428571428571	0.436142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.00557142857142857	0.0167142857142857	0.309285714285714	0.0397142857142857	0.163571428571429	0.0608571428571429	0.255428571428571	0.00614285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0724285714285714	0.151	0.0298571428571429	0.241142857142857	0.0355714285714286	0.139571428571429	0.0307142857142857	0.137285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.150142857142857	0.0901428571428571	0.0182857142857143	0.117714285714286	0.0287142857142857	0.0952857142857143	0.0205714285714286	0.0955714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0391428571428571	0.0418571428571429	0.0251428571428571	0.120285714285714	0.00942857142857143	0.0698571428571429	0.00985714285714286	0.243428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.006	0.0208571428571429	0.099	0.012	0.0932857142857143	0.0151428571428571	0.0761428571428571	0.00385714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0.143142857142857	0	0.0511428571428571	0	0.0677142857142857	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.0851428571428571	0.037	0.00314285714285714	0.000714285714285714	0.00328571428571429	0.00728571428571429	0.0395714285714286	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00557142857142857	0.00271428571428571	0.0185714285714286	0.0221428571428571	0.0238571428571429	0.065	0.0144285714285714	0.0214285714285714
