"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.265571428571429	0.231285714285714	0.428714285714286	0.0694285714285714	0.274857142857143	0.184285714285714	0.100857142857143	0.0442857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.0798571428571429	0.219142857142857	0.114142857142857	0.0161428571428571	0.115714285714286	0.163571428571429	0.238571428571429	0.178571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.188428571428571	0.104571428571429	0.0702857142857143	0.150142857142857	0.110428571428571	0.129285714285714	0.0955714285714286	0.209
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0991428571428571	0.146571428571429	0.176857142857143	0.0238571428571429	0.109428571428571	0.106857142857143	0.149857142857143	0.0825714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.130285714285714	0.134571428571429	0.0644285714285714	0.0131428571428571	0.117571428571429	0.1	0.156714285714286	0.126714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0897142857142857	0.088	0.0785714285714286	0.0505714285714286	0.106428571428571	0.110714285714286	0.129	0.15
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.0517142857142857	0.0264285714285714	0.0291428571428571	0.0875714285714286	0.0728571428571429	0.101428571428571	0.0458571428571429	0.122857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0175714285714286	0.00757142857142857	0.00514285714285714	0.329428571428571	0.0231428571428571	0.0204285714285714	0.0302857142857143	0.0227142857142857
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0.0214285714285714	0	0	0.134142857142857	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00542857142857143	0.000428571428571429	0.00214285714285714	0.0831428571428571	0.00614285714285714	0.00128571428571429	0.00357142857142857	0.00271428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0141428571428571	0.0128571428571429	0.00485714285714286	0.003	0.0117142857142857	0.00928571428571429	0.0218571428571429	0.0234285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.013	0.00271428571428571	0.0122857142857143	0.0184285714285714	0.0284285714285714	0.0178571428571429	0.00471428571428571	0.00257142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00642857142857143	0.0107142857142857	0.00485714285714286	0.00471428571428571	0.00657142857142857	0.0107142857142857	0.00642857142857143	0.0121428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00557142857142857	0.00914285714285714	0.00485714285714286	0.00157142857142857	0.00642857142857143	0.00714285714285714	0.00742857142857143	0.00642857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0.0302857142857143	0	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00342857142857143	0.00214285714285714	0.000428571428571429	0.002	0.00257142857142857	0.00214285714285714	0.00614285714285714	0.00985714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.00428571428571429	0.00228571428571429	0.000571428571428571	0.00114285714285714	0.00142857142857143	0.00257142857142857	0.00157142857142857	0.00214285714285714
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0.000142857142857143	0.000142857142857143	0	0.00328571428571429	0.00314285714285714	0.000571428571428571	0.000571428571428571	0.000857142857142857
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000857142857142857	0	0.000285714285714286	0.00642857142857143	0.000428571428571429	0	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0.00171428571428571	0.000285714285714286	0.00171428571428571	0	0.00128571428571429	0.000142857142857143	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0.000285714285714286	0.000285714285714286	0.000285714285714286	0	0.000428571428571429	0.000857142857142857	0.000285714285714286	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0	0	0.001	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000428571428571429	0.000428571428571429	0	0	0.000285714285714286	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0	0	0.000142857142857143	0	0	0.000571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0.000428571428571429	0	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae"	0	0	0	0.000142857142857143	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0	0.000285714285714286	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0.000285714285714286	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0.000142857142857143	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae"	0	0	0	0	0	0.000142857142857143	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0	0	0	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae"	0	0	0.000142857142857143	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae"	0	0.000142857142857143	0	0	0	0	0	0
