"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.265571428571429	0.231	0.428714285714286	0.0694285714285714	0.274857142857143	0.184285714285714	0.100857142857143	0.0442857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0798571428571429	0.219142857142857	0.114142857142857	0.0161428571428571	0.115714285714286	0.163571428571429	0.238571428571429	0.178571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0955714285714286	0.144714285714286	0.173142857142857	0.0235714285714286	0.105571428571429	0.103571428571429	0.147428571428571	0.0791428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0767142857142857	0.0832857142857143	0.0768571428571429	0.0497142857142857	0.105	0.109857142857143	0.128571428571429	0.148714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0537142857142857	0.0465714285714286	0.0551428571428571	0.100857142857143	0.067	0.0825714285714286	0.072	0.106571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.0517142857142857	0.0264285714285714	0.0291428571428571	0.0875714285714286	0.0728571428571429	0.101428571428571	0.0458571428571429	0.122857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.134571428571429	0.058	0.0151428571428571	0.0492857142857143	0.0432857142857143	0.0465714285714286	0.0235714285714286	0.102428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0361428571428571	0.0562857142857143	0.0352857142857143	0.008	0.0488571428571429	0.0581428571428571	0.101	0.0524285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00914285714285714	0.00328571428571429	0.000714285714285714	0.310857142857143	0.00314285714285714	0.00414285714285714	0.011	0.00914285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0.0214285714285714	0	0	0.134142857142857	0	0	0	0
