"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.0455714285714286	0.409142857142857	0.243714285714286	0.107857142857143	0.149714285714286	0.133857142857143	0.0855714285714286	0.336428571428571	0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0	0.121428571428571	0.236714285714286	0.236428571428571	0.223571428571429	0.249571428571429	0.179142857142857	0.207	0.0518571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.0281428571428571	0.236285714285714	0.275857142857143	0.0564285714285714	0.204571428571429	0.0585714285714286	0.0481428571428571	0.0135714285714286	0.344571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.000142857142857143	0.117857142857143	0.0557142857142857	0.06	0.198857142857143	0.252	0.359	0.142142857142857	0.0277142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.542714285714286	0.000285714285714286	0	0.0401428571428571	0	0.000142857142857143	0	0	0.266
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0	0	0.0494285714285714	0.153	0.0561428571428571	0.118	0.0554285714285714	0.0828571428571429	0.0688571428571429
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.314428571428571	0.000142857142857143	0	0.0268571428571429	0	0	0	0	0.00657142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0	0.00642857142857143	0.039	0.119142857142857	0.0381428571428571	0.0265714285714286	0.0215714285714286	0.043	0.0211428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.000285714285714286	0.0131428571428571	0.0187142857142857	0.0147142857142857	0.0307142857142857	0.02	0.0754285714285714	0.0194285714285714	0.0147142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0	0.00514285714285714	0.00557142857142857	0.00228571428571429	0.00928571428571429	0.0464285714285714	0.0314285714285714	0.0541428571428571	0.0148571428571429
