"Taxa"	"korra21"	"korra29"	"korra44"	"korra48"	"korra58"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.486142857142857	0.447285714285714	0.185285714285714	0.478142857142857	0.170857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.159	0.0448571428571429	0.580571428571429	0.217714285714286	0.310285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.222	0.460142857142857	0.00842857142857143	0.155428571428571	0.422571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.112857142857143	0.0394285714285714	0.0878571428571429	0.116857142857143	0.0181428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0112857142857143	0.00728571428571429	0.0537142857142857	0.021	0.049
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.0777142857142857	0	0.028
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.008	0.000714285714285714	0.00585714285714286	0.0105714285714286	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.000571428571428571	0.000285714285714286	0	0.000285714285714286	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000571428571428571	0	0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.000142857142857143	0	0	0	0
