"Taxa"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.000142857142857143	0	0.186142857142857	0.0842857142857143	0.265857142857143	0.326285714285714	0.06	0.238285714285714	0.519285714285714	0.693571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0	0	0.267	0.191571428571429	0.303428571428571	0.143571428571429	0.169571428571429	0.204571428571429	0.103857142857143	0.025
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.165	0.148571428571429	0.246571428571429	0.0575714285714286	0.108285714285714	0.162142857142857	0.126	0.162714285714286	0.133285714285714	0.0162857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0572857142857143	0.218142857142857	0.0511428571428571	0.081	0.0302857142857143	0.0292857142857143	0.172428571428571	0.0591428571428571	0.0482857142857143	0.0115714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.046	0.108571428571429	0.0834285714285714	0.0298571428571429	0.0908571428571429	0.118285714285714	0.0855714285714286	0.128	0.031	0.0107142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.374285714285714	0.158	0.00971428571428571	0.0172857142857143	0.000428571428571429	0.000428571428571429	0.000857142857142857	0.00171428571428571	0.005	0.0191428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.296857142857143	0.119	0.0124285714285714	0.0341428571428571	0.000571428571428571	0.001	0.001	0.000571428571428571	0.00242857142857143	0.0185714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.000142857142857143	0	0.000428571428571429	0.102142857142857	0.008	0.00957142857142857	0.0621428571428571	0.0105714285714286	0.00357142857142857	0.00114285714285714
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00214285714285714	0.0228571428571429	0.00942857142857143	0.0195714285714286	0.00971428571428571	0.0404285714285714	0.0131428571428571	0.0212857142857143	0.0228571428571429	0.00714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00285714285714286	0.0551428571428571	0.00528571428571429	0.0201428571428571	0.00828571428571429	0.00728571428571429	0.046	0.014	0.002	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.005	0.047	0.00542857142857143	0.0172857142857143	0.007	0.00485714285714286	0.038	0.0108571428571429	0.00585714285714286	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.00985714285714286	0.0285714285714286	0.0111428571428571	0.0134285714285714	0.00557142857142857	0.00485714285714286	0.0244285714285714	0.0111428571428571	0.00942857142857143	0.000714285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__Succinivibrio dextrinosolvens"	0	0	0	0.0348571428571429	0.0194285714285714	0.0115714285714286	0.0247142857142857	0.0174285714285714	0.007	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0	0	0	0.0532857142857143	0.0171428571428571	0.00471428571428571	0.0207142857142857	0.00557142857142857	0.00414285714285714	0.00214285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0.00657142857142857	0.017	0.0325714285714286	0.0135714285714286	0.00571428571428571	0.003	0.0147142857142857	0.00757142857142857	0.00528571428571429	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0	0	0.000142857142857143	0.037	0.0231428571428571	0.00542857142857143	0.0172857142857143	0.00714285714285714	0.006	0.007
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0	0	0.0377142857142857	0.00171428571428571	0.00357142857142857	0.014	0.00114285714285714	0.00714285714285714	0.00728571428571429	0.0102857142857143
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0	0	0.000142857142857143	0.000714285714285714	0.0235714285714286	0.0287142857142857	0.000285714285714286	0.00528571428571429	0.00557142857142857	0.0107142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0	0	0.000142857142857143	0.0114285714285714	0.00471428571428571	0.0117142857142857	0.009	0.00528571428571429	0.0205714285714286	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000571428571428571	0.002	0.002	0.00214285714285714	0.00171428571428571	0.005	0.00214285714285714	0.00257142857142857	0.00314285714285714	0.0467142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.001	0.00714285714285714	0.00814285714285714	0.004	0.0104285714285714	0.0135714285714286	0.00557142857142857	0.0118571428571429	0.00185714285714286	0.00171428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0	0	0	0.012	0.0111428571428571	0.00571428571428571	0.00814285714285714	0.00857142857142857	0.00357142857142857	0.000571428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0	0	0.000142857142857143	0.009	0.00457142857142857	0.0107142857142857	0.00385714285714286	0.00242857142857143	0.0104285714285714	0.00771428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli"	0.0137142857142857	0.00885714285714286	0.015	0.000142857142857143	0.000285714285714286	0.00114285714285714	0.000142857142857143	0.00157142857142857	0.005	0.000142857142857143
