"Taxa"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.224285714285714	0.255142857142857	0.437285714285714	0.359142857142857	0.582	0.454285714285714	0.144571428571429	0.0455714285714286	0.105428571428571	0.331285714285714	0.262142857142857	0.378285714285714	0.00857142857142857	0.265571428571429	0.139571428571429	0.0232857142857143	0.231	0.212	0.511714285714286	0.264285714285714	0.199285714285714	0.193857142857143	0.180142857142857	0.126142857142857	0.409142857142857	0.164571428571429	0.229857142857143	0.186285714285714	0.180142857142857	0.0144285714285714	0.0838571428571429	0.428714285714286	0.163857142857143	0.154142857142857	0.0284285714285714	0.163857142857143	0.338142857142857	0.366857142857143	0.256142857142857	0.402428571428571	0.262428571428571	0.243714285714286	0.285428571428571	0.132857142857143	0.351857142857143	0.114	0.00685714285714286	0.177857142857143	0.0694285714285714	0.0582857142857143	0.138142857142857	0.00257142857142857	0.0914285714285714	0.0388571428571429	0.0545714285714286	0.374571428571429	0.0225714285714286	0.00914285714285714	0.244142857142857	0.107857142857143	0.0347142857142857	0.151571428571429	0.263285714285714	0.0422857142857143	0.251857142857143	0.103142857142857	0.094	0.204714285714286	0.0537142857142857	0.274857142857143	0.201571428571429	0.0282857142857143	0.149714285714286	0.0457142857142857	0.209571428571429	0.136571428571429	0.298714285714286	0.142428571428571	0.308142857142857	0.102571428571429	0.309428571428571	0.0862857142857143	0.164428571428571	0.217	0.184285714285714	0.367142857142857	0.294	0.181142857142857	0.305571428571429	0.094	0.109857142857143	0.173428571428571	0.166857142857143	0.187571428571429	0.217142857142857	0.0852857142857143	0.154428571428571	0.0977142857142857	0.402142857142857	0.0931428571428571	0.133857142857143	0.164571428571429	0.0554285714285714	0.268285714285714	0.0724285714285714	0.219142857142857	0.375142857142857	0.058	0.302571428571429	0.143571428571429	0.0855714285714286	0.281428571428571	0.0161428571428571	0.0392857142857143	0.346571428571429	0.166142857142857	0.181428571428571	0.145142857142857	0.178	0.0257142857142857	0.336428571428571	0.136428571428571	0.00571428571428571	0.123	0.156714285714286	0.252285714285714	0.0201428571428571	0.116428571428571	0.104142857142857	0.452857142857143	0.204142857142857	0.248285714285714	0.100857142857143	0.0517142857142857	0.0442857142857143	0.0704285714285714	0.382285714285714	0.0342857142857143	0.0727142857142857	0.0177142857142857	0.436142857142857	0.249142857142857	0.165285714285714	0.0118571428571429	0.260571428571429	0.0287142857142857	0.00242857142857143	0.248428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.148714285714286	0.0717142857142857	0.0724285714285714	0.0751428571428571	0.071	0.151	0.212	0	0.115714285714286	0.145571428571429	0.143285714285714	0.124285714285714	0.0267142857142857	0.0798571428571429	0.197571428571429	0.0298571428571429	0.219142857142857	0	0.0781428571428571	0	0.182	0.306571428571429	0.152857142857143	0.168285714285714	0.121428571428571	0.171571428571429	0.254285714285714	0.152428571428571	0.108	0.101428571428571	0.045	0.114142857142857	0.241142857142857	0.217857142857143	0.201142857142857	0.344571428571429	0.267	0.266714285714286	0.157714285714286	0.212142857142857	0.163142857142857	0.236714285714286	0.0972857142857143	0.148714285714286	0.141857142857143	0.163142857142857	0.052	0.290428571428571	0.0161428571428571	0.036	0.257285714285714	0.0391428571428571	0.191571428571429	0.049	0.0941428571428571	0.206857142857143	0.0321428571428571	0.0507142857142857	0.199428571428571	0.236428571428571	0.0585714285714286	0.198	0.125571428571429	0.0308571428571429	0.190714285714286	0.215428571428571	0.113428571428571	0.119285714285714	0.0355714285714286	0.115714285714286	0.207714285714286	0.0324285714285714	0.223571428571429	0.0904285714285714	0.303428571428571	0.124857142857143	0.0801428571428571	0.137571428571429	0.0785714285714286	0.139571428571429	0.142857142857143	0.134285714285714	0.235142857142857	0.116714285714286	0.163571428571429	0.0832857142857143	0.143571428571429	0.120571428571429	0.112857142857143	0.101285714285714	0.166	0.196857142857143	0.132571428571429	0.257857142857143	0.169571428571429	0.231285714285714	0.0418571428571429	0.148857142857143	0.0885714285714286	0.173	0.249571428571429	0.0922857142857143	0.238714285714286	0.179714285714286	0.211857142857143	0.0988571428571429	0.162285714285714	0.130428571428571	0.204571428571429	0.183857142857143	0.179142857142857	0.192714285714286	0.0524285714285714	0.153428571428571	0.158428571428571	0.103857142857143	0.172857142857143	0.065	0.178	0.0761428571428571	0.207	0.208428571428571	0.0692857142857143	0.0518571428571429	0.108714285714286	0.0575714285714286	0.0307142857142857	0.0292857142857143	0.104714285714286	0.0955714285714286	0.163142857142857	0.192	0.238571428571429	0.128285714285714	0.178571428571429	0.121428571428571	0.112	0.0408571428571429	0.122857142857143	0.0562857142857143	0.137285714285714	0.114142857142857	0.151142857142857	0.109	0.159285714285714	0.025	0.0462857142857143	0.0577142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.117714285714286	0.0151428571428571	0.0351428571428571	0.00857142857142857	0.0787142857142857	0.039	0.0298571428571429	0	0.0195714285714286	0.0771428571428571	0.039	0.0561428571428571	0.0111428571428571	0.0955714285714286	0.149714285714286	0.0242857142857143	0.144571428571429	0.0778571428571429	0.106428571428571	0.376714285714286	0.151	0.0798571428571429	0.245857142857143	0.314714285714286	0	0.140857142857143	0.0975714285714286	0.153571428571429	0.140285714285714	0.0111428571428571	0.0248571428571429	0.173142857142857	0.118571428571429	0.144428571428571	0.0234285714285714	0.0738571428571429	0.0778571428571429	0.111428571428571	0.071	0.125142857142857	0.104142857142857	0.0494285714285714	0.0607142857142857	0.0624285714285714	0.108857142857143	0.142285714285714	0.00814285714285714	0.110857142857143	0.0234285714285714	0.0282857142857143	0.109857142857143	0.009	0.143	0.0527142857142857	0.0162857142857143	0.0862857142857143	0.000428571428571429	0.012	0.0454285714285714	0.153	0.0421428571428571	0.181428571428571	0.200142857142857	0.053	0.0364285714285714	0.0668571428571429	0.0352857142857143	0.353428571428571	0.00871428571428571	0.105571428571429	0.179428571428571	0.00942857142857143	0.0561428571428571	0.0474285714285714	0.0545714285714286	0.137571428571429	0.0764285714285714	0.193714285714286	0.178428571428571	0.0655714285714286	0.0392857142857143	0.043	0.048	0.289	0.103571428571429	0.301	0.0492857142857143	0.366	0.110142857142857	0.0401428571428571	0.204	0.254142857142857	0.167857142857143	0.0691428571428571	0.301142857142857	0.0388571428571429	0.00628571428571429	0.225	0.363428571428571	0.156714285714286	0.118	0.132714285714286	0.0382857142857143	0.0987142857142857	0.0472857142857143	0.381285714285714	0.275285714285714	0.0612857142857143	0.102571428571429	0.207142857142857	0.0554285714285714	0.227	0.0162857142857143	0.345285714285714	0.202857142857143	0.0671428571428571	0.0224285714285714	0.0575714285714286	0.111857142857143	0.0131428571428571	0.0828571428571429	0.067	0.00985714285714286	0.0688571428571429	0.0522857142857143	0.0612857142857143	0.00942857142857143	0.0232857142857143	0.0951428571428571	0.0714285714285714	0.0747142857142857	0.251142857142857	0.147571428571429	0.0682857142857143	0.0791428571428571	0.081	0.133142857142857	0.0258571428571429	0.0654285714285714	0.0327142857142857	0.228428571428571	0.188714285714286	0.138142857142857	0.0107142857142857	0.186142857142857	0.0138571428571429	0.00214285714285714	0.0735714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.019	0	0.000142857142857143	0	0.000142857142857143	0	0	0.0281428571428571	0.0167142857142857	0	0	0.00828571428571429	0.000428571428571429	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0.000714285714285714	0	0.0295714285714286	0.0754285714285714	0.236285714285714	0	0.0442857142857143	0.00142857142857143	0.0292857142857143	0.799428571428571	0	0	0	0.000285714285714286	0.599285714285714	0	0.000428571428571429	0	0	0	0.122428571428571	0.275857142857143	0	0.473857142857143	0	0.0817142857142857	0.746857142857143	0	0.000285714285714286	0.006	0.078	0.886571428571429	0.103285714285714	0.540142857142857	0	0	0.000142857142857143	0.732	0.000142857142857143	0.0564285714285714	0.432857142857143	0.0755714285714286	0	0.000142857142857143	0	0.331142857142857	0	0.025	0.000142857142857143	0.000142857142857143	0.027	0.000285714285714286	0.204571428571429	0.000285714285714286	0.00871428571428571	0.405857142857143	0	0.014	0.200285714285714	0	0	0.302714285714286	0.172285714285714	0.000142857142857143	0	0.000142857142857143	0.00985714285714286	0.0124285714285714	0	0.611	0.0215714285714286	0.000142857142857143	0.000714285714285714	0	0.0627142857142857	0	0	0.0335714285714286	0	0.0292857142857143	0.0585714285714286	0.378	0	0	0.194428571428571	0	0	0.664428571428571	0.011	0	0.0481428571428571	0	0.871	0.000285714285714286	0	0.00357142857142857	0	0.198428571428571	0	0.784714285714286	0.0135714285714286	0.350857142857143	0.001	0.344571428571429	0	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000142857142857143	0	0	0	0	0.141285714285714	0	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0.0865714285714286	0.0617142857142857	0.726714285714286	0	0.00114285714285714	0.571714285714286	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.137857142857143	0.00128571428571429	0.00128571428571429	0.0211428571428571	0.0354285714285714	0.004	0.00485714285714286	0.000142857142857143	0.00528571428571429	0.0212857142857143	0.00257142857142857	0.00471428571428571	0.0677142857142857	0.0767142857142857	0.00957142857142857	0.00557142857142857	0.0832857142857143	0.000142857142857143	0.000142857142857143	0	0.166428571428571	0.00842857142857143	0.0724285714285714	0.066	0.118	0.0732857142857143	0.0188571428571429	0.205142857142857	0.105285714285714	0.00585714285714286	0.00457142857142857	0.077	0.00528571428571429	0	0.00271428571428571	0.00257142857142857	0.186142857142857	0.0634285714285714	0.074	0	0.0337142857142857	0.0557142857142857	0.00914285714285714	0.00714285714285714	0.013	0.0622857142857143	0.00428571428571429	0.0392857142857143	0.0495714285714286	0.371571428571429	0.134285714285714	0.00314285714285714	0.106	0.0612857142857143	0.00314285714285714	0.0311428571428571	0.000714285714285714	0.0108571428571429	0.00871428571428571	0.06	0.131714285714286	0.0994285714285714	0.0848571428571429	0.216571428571429	0.00228571428571429	0.0644285714285714	0	0.021	0.00228571428571429	0.105142857142857	0.0877142857142857	0.00457142857142857	0.198857142857143	0.308285714285714	0.265857142857143	0.0425714285714286	0.0431428571428571	0.165	0.02	0.015	0.00657142857142857	0.185714285714286	0.266714285714286	0.0638571428571429	0.109857142857143	0	0.326571428571429	0.089	0	0.0482857142857143	0.162285714285714	0.0338571428571429	0.0998571428571429	0.127714285714286	0.0791428571428571	0.014	0.00585714285714286	0.132	0.0412857142857143	0.0682857142857143	0.252	0.0181428571428571	0.0154285714285714	0.041	0.0355714285714286	0.048	0.0511428571428571	0.00628571428571429	0.238428571428571	0.116571428571429	0.359	0.0915714285714286	0.00228571428571429	0.107571428571429	0.0628571428571429	0.519285714285714	0.005	0.0201428571428571	0	0.00242857142857143	0.142142857142857	0.0614285714285714	0.217571428571429	0.0275714285714286	0.0145714285714286	0.0101428571428571	0.00428571428571429	0.255857142857143	0.198714285714286	0.00757142857142857	0.00728571428571429	0.0881428571428571	0.128714285714286	0.0352857142857143	0.148714285714286	0.085	0.0262857142857143	0.485571428571429	0.143428571428571	0.0162857142857143	0.00142857142857143	0.086	0.0754285714285714	0.00171428571428571	0	0.702285714285714	0.00942857142857143	0.0448571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0154285714285714	0.116571428571429	0.0692857142857143	0.0362857142857143	0.0327142857142857	0.110857142857143	0.161285714285714	0.000285714285714286	0.0392857142857143	0.0207142857142857	0.085	0.0382857142857143	0.0958571428571429	0.0537142857142857	0.167857142857143	0.220428571428571	0.0465714285714286	0	0.134285714285714	0	0.0234285714285714	0.141	0.0334285714285714	0.0604285714285714	0.0131428571428571	0.0374285714285714	0.0607142857142857	0.0372857142857143	0.0292857142857143	0.0304285714285714	0.0334285714285714	0.0551428571428571	0.226142857142857	0.0935714285714286	0.0398571428571429	0.208714285714286	0.0378571428571429	0.0321428571428571	0.0715714285714286	0.0627142857142857	0.038	0.0187142857142857	0.0168571428571429	0.0111428571428571	0.101857142857143	0.034	0.091	0.093	0.100857142857143	0.0642857142857143	0.0164285714285714	0.0107142857142857	0.0162857142857143	0.00642857142857143	0.0645714285714286	0.045	0.209571428571429	0.0704285714285714	0.0977142857142857	0.0147142857142857	0.017	0.0138571428571429	0.059	0.0221428571428571	0.08	0.0551428571428571	0.202857142857143	0.00428571428571429	0.401714285714286	0.0671428571428571	0.0208571428571429	0.211	0.0307142857142857	0.0335714285714286	0.0125714285714286	0.0215714285714286	0.087	0.065	0.0127142857142857	0.311857142857143	0.0944285714285714	0.0541428571428571	0.00714285714285714	0.072	0.0824285714285714	0.0457142857142857	0.0332857142857143	0.0382857142857143	0.212714285714286	0.00842857142857143	0.0647142857142857	0.0314285714285714	0.022	0.127285714285714	0.0112857142857143	0.229714285714286	0.00971428571428571	0.0497142857142857	0.00928571428571429	0.037	0.02	0.0154285714285714	0.224142857142857	0.0922857142857143	0.0121428571428571	0.0147142857142857	0.0141428571428571	0.00771428571428571	0.0162857142857143	0.0272857142857143	0.0754285714285714	0.0257142857142857	0.0104285714285714	0.06	0.0324285714285714	0.0322857142857143	0.0864285714285714	0.0137142857142857	0.169142857142857	0.0355714285714286	0.0194285714285714	0.0205714285714286	0.116285714285714	0.0147142857142857	0.209857142857143	0.045	0.357	0.0332857142857143	0.109	0.0298571428571429	0.147857142857143	0.0652857142857143	0.072	0.0912857142857143	0.106571428571429	0.00528571428571429	0.0654285714285714	0.0897142857142857	0.168428571428571	0.424714285714286	0.0185714285714286	0.0155714285714286	0.0394285714285714	0.055	0.041	0.0237142857142857	0.196714285714286	0.1
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.123428571428571	0.00242857142857143	0.042	0.0562857142857143	0.000285714285714286	0.0351428571428571	0.0131428571428571	0.542714285714286	0.344571428571429	0	0.0228571428571429	0.0688571428571429	0.145571428571429	0	0.000285714285714286	0.00285714285714286	0.000142857142857143	0.298428571428571	0	0.122142857142857	0.0288571428571429	0.000428571428571429	0	0.0155714285714286	0.000285714285714286	0.135857142857143	0.0358571428571429	0.00671428571428571	0.101857142857143	0	0.659285714285714	0	0.000714285714285714	0.000142857142857143	0	0.000142857142857143	0.0125714285714286	0	0.0412857142857143	0	0.0465714285714286	0	0.288	0.0177142857142857	0.00771428571428571	0.103142857142857	0.000142857142857143	0.00685714285714286	0.000142857142857143	0	0.0245714285714286	0	0.0421428571428571	0.00485714285714286	0.416571428571429	0.00314285714285714	0	0	0.01	0.0401428571428571	0.0157142857142857	0.00857142857142857	0	0.000285714285714286	0.0184285714285714	0	0.000142857142857143	0.0168571428571429	0.000857142857142857	0	0.00714285714285714	0.022	0	0.00371428571428571	0.000571428571428571	0.00385714285714286	0.104285714285714	0.0131428571428571	0.002	0.001	0.007	0	0	0.000142857142857143	0.0288571428571429	0	0.001	0.000428571428571429	0	0	0	0.000571428571428571	0.096	0.000142857142857143	0.001	0.003	0.000428571428571429	0	0.000142857142857143	0.0268571428571429	0.000142857142857143	0.0257142857142857	0.0295714285714286	0.0644285714285714	0.277	0.000714285714285714	0.000428571428571429	0	0.000714285714285714	0.000142857142857143	0	0.000142857142857143	0	0.000285714285714286	0	0.00242857142857143	0.097	0.357571428571429	0	0	0	0.000142857142857143	0	0.266	0.00857142857142857	0.421285714285714	0.0188571428571429	0.261571428571429	0.0762857142857143	0.199857142857143	0.0267142857142857	0.000285714285714286	0	0.0857142857142857	0	0.0947142857142857	0.0395714285714286	0.000857142857142857	0.000857142857142857	0.00128571428571429	0	0.0494285714285714	0.0382857142857143	0.00271428571428571	0.0632857142857143	0.0195714285714286	0	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0191428571428571	0.0228571428571429	0.046	0.00971428571428571	0.0545714285714286	0.0425714285714286	0.0417142857142857	0	0.0155714285714286	0.0398571428571429	0.0471428571428571	0.0301428571428571	0.00371428571428571	0.0361428571428571	0.0478571428571429	0.00685714285714286	0.0562857142857143	0	0.0331428571428571	0	0.0631428571428571	0.0317142857142857	0.115142857142857	0.054	0.00642857142857143	0.0741428571428571	0.0377142857142857	0.0928571428571429	0.0934285714285714	0.00971428571428571	0.0185714285714286	0.0352857142857143	0.0644285714285714	0.0485714285714286	0.0452857142857143	0.0557142857142857	0.000142857142857143	0.0732857142857143	0.0474285714285714	0.0168571428571429	0.0947142857142857	0.039	0.0265714285714286	0.0261428571428571	0.0395714285714286	0.0894285714285714	0.0101428571428571	0.0795714285714286	0.008	0.00985714285714286	0.0838571428571429	0.0168571428571429	0.0994285714285714	0.0312857142857143	0.0151428571428571	0.065	0.00385714285714286	0.009	0.124	0.119142857142857	0.0237142857142857	0.0731428571428571	0.0542857142857143	0.0207142857142857	0.0422857142857143	0.0298571428571429	0.0317142857142857	0.0938571428571429	0.0152857142857143	0.0488571428571429	0.108857142857143	0.00957142857142857	0.0381428571428571	0.0415714285714286	0.0441428571428571	0.0364285714285714	0.032	0.083	0.0265714285714286	0.0501428571428571	0.0347142857142857	0.0221428571428571	0.0227142857142857	0.0727142857142857	0.0581428571428571	0.0372857142857143	0.0112857142857143	0.0605714285714286	0.0161428571428571	0.0142857142857143	0.0755714285714286	0.0504285714285714	0.0408571428571429	0.0324285714285714	0.0422857142857143	0.0327142857142857	0.004	0.124142857142857	0.0504285714285714	0.185571428571429	0.0265714285714286	0.0532857142857143	0.041	0.068	0.0254285714285714	0.0181428571428571	0.0524285714285714	0.0298571428571429	0.0137142857142857	0.0461428571428571	0.0215714285714286	0.0948571428571429	0.0122857142857143	0.0328571428571429	0.0727142857142857	0.0105714285714286	0.0364285714285714	0.0202857142857143	0.0722857142857143	0.0182857142857143	0.043	0.0284285714285714	0.012	0.0211428571428571	0.0364285714285714	0.0411428571428571	0.0124285714285714	0.00742857142857143	0.0252857142857143	0.0408571428571429	0.0701428571428571	0.0177142857142857	0.101	0.0364285714285714	0.0524285714285714	0.0481428571428571	0.0284285714285714	0.0215714285714286	0.0668571428571429	0.0207142857142857	0.035	0.0678571428571429	0.0788571428571429	0.00814285714285714	0.0381428571428571	0.00942857142857143	0.00342857142857143	0.0372857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.0161428571428571	0.005	0.004	0.00571428571428571	0	0.0115714285714286	0.0227142857142857	0	0.0105714285714286	0	0.017	0.0144285714285714	0.000714285714285714	0	0.0717142857142857	0.300428571428571	0	0	0	0	0	0.0552857142857143	0.0222857142857143	0.0191428571428571	0	0.019	0.016	0	0.011	0	0.012	0	0.0312857142857143	0	0	0.0218571428571429	0.000142857142857143	0	0.0472857142857143	0	0.0164285714285714	0.00214285714285714	0.00785714285714286	0.00885714285714286	0.0302857142857143	0.0185714285714286	0.0232857142857143	0.0294285714285714	0.000428571428571429	0	0.0182857142857143	0.00414285714285714	0.0172857142857143	0.0431428571428571	0.00771428571428571	0	0.0858571428571429	0.0238571428571429	0.017	0.00457142857142857	0.06	0.0172857142857143	0	0.000285714285714286	0.0134285714285714	0.02	0	0.00385714285714286	0.159428571428571	0	0	0.102	0.0142857142857143	0.164857142857143	0	0.0108571428571429	0	0	0.00742857142857143	0.0434285714285714	0.0172857142857143	0.0408571428571429	0.00914285714285714	0	0	0	0	0	0	0.00471428571428571	0	0.0231428571428571	0.0481428571428571	0	0.016	0.0358571428571429	0.011	0	0	0.0122857142857143	0.0131428571428571	0.0134285714285714	0.0458571428571429	0	0.00557142857142857	0.0344285714285714	0	0.00142857142857143	0	0.0597142857142857	0.0367142857142857	0	0.00242857142857143	0.0408571428571429	0	0.000142857142857143	0.0151428571428571	0.00885714285714286	0	0.00614285714285714	0.0191428571428571	0.0225714285714286	0.216571428571429	0.00914285714285714	0.0898571428571429	0.000142857142857143	0.250857142857143	0.0122857142857143	0.000142857142857143	0	0.0452857142857143	0.0491428571428571	0	0.0761428571428571	0	0.00642857142857143	0	0	0.0595714285714286	0.121428571428571	0.00442857142857143	0	0.02	0.0115714285714286	0	0.000142857142857143	0.0654285714285714	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00228571428571429	0.00471428571428571	0.00314285714285714	0.0122857142857143	0.0118571428571429	0.00371428571428571	0.0262857142857143	0	0.00685714285714286	0.0184285714285714	0.0148571428571429	0.00957142857142857	0.0238571428571429	0.0517142857142857	0.0145714285714286	0.0224285714285714	0.0264285714285714	0	0.0372857142857143	0	0.015	0.0248571428571429	0.00985714285714286	0.0254285714285714	0	0.0205714285714286	0.0325714285714286	0.0108571428571429	0.0131428571428571	0.00228571428571429	0.00557142857142857	0.0291428571428571	0.0135714285714286	0.00942857142857143	0.00242857142857143	0.00971428571428571	0.000142857142857143	0.022	0.038	0.00271428571428571	0.0215714285714286	0.00328571428571429	0.00742857142857143	0.00814285714285714	0.0217142857142857	0.024	0.00557142857142857	0.0227142857142857	0.0875714285714286	0.0435714285714286	0.0114285714285714	0.00328571428571429	0.0147142857142857	0.0155714285714286	0.0125714285714286	0.0212857142857143	0.135714285714286	0.00785714285714286	0.007	0.000428571428571429	0.0282857142857143	0.01	0.0598571428571429	0.123714285714286	0.0102857142857143	0.0151428571428571	0.00714285714285714	0.00314285714285714	0.0222857142857143	0.0728571428571429	0.011	0.0335714285714286	0.00742857142857143	0.0431428571428571	0.00514285714285714	0.0184285714285714	0.0294285714285714	0.03	0.0328571428571429	0.0194285714285714	0.0171428571428571	0.0342857142857143	0.0104285714285714	0.0562857142857143	0.101428571428571	0.004	0.012	0.0255714285714286	0.0181428571428571	0.00471428571428571	0.059	0.0252857142857143	0.0415714285714286	0.02	0.00657142857142857	0.0261428571428571	0.00757142857142857	0.04	0.00971428571428571	0.0345714285714286	0.0152857142857143	0.00914285714285714	0.0307142857142857	0.031	0.011	0.00542857142857143	0.0171428571428571	0.00585714285714286	0.00285714285714286	0.00857142857142857	0.0174285714285714	0.023	0.00242857142857143	0.0141428571428571	0.0301428571428571	0.0114285714285714	0.015	0.00671428571428571	0.0211428571428571	0.00671428571428571	0.00557142857142857	0.0135714285714286	0.04	0.00571428571428571	0.0767142857142857	0.00785714285714286	0.0418571428571429	0.00271428571428571	0.0388571428571429	0.0102857142857143	0.0165714285714286	0.00757142857142857	0.0458571428571429	0.0494285714285714	0.122857142857143	0.0105714285714286	0.0152857142857143	0.0524285714285714	0.0794285714285714	0.0425714285714286	0.00357142857142857	0.00942857142857143	0.026	0.00328571428571429	0.00557142857142857	0.00857142857142857	0.0137142857142857	0.0554285714285714
