"Taxa"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.148714285714286	0.0717142857142857	0.0724285714285714	0.0751428571428571	0.071	0.151	0.212	0	0.115714285714286	0.145571428571429	0.143285714285714	0.124285714285714	0.0267142857142857	0.0798571428571429	0.197571428571429	0.0298571428571429	0.219142857142857	0	0.0781428571428571	0	0.182	0.306571428571429	0.152857142857143	0.168285714285714	0.121428571428571	0.171571428571429	0.254285714285714	0.152428571428571	0.108	0.101428571428571	0.045	0.114142857142857	0.241142857142857	0.217857142857143	0.201142857142857	0.344571428571429	0.267	0.266714285714286	0.157714285714286	0.212142857142857	0.163142857142857	0.236714285714286	0.0972857142857143	0.148714285714286	0.141857142857143	0.163142857142857	0.052	0.290428571428571	0.0161428571428571	0.036	0.257285714285714	0.0391428571428571	0.191571428571429	0.049	0.0941428571428571	0.206857142857143	0.0321428571428571	0.0507142857142857	0.199428571428571	0.236428571428571	0.0585714285714286	0.198	0.125571428571429	0.0308571428571429	0.190714285714286	0.215428571428571	0.113428571428571	0.119285714285714	0.0355714285714286	0.115714285714286	0.207714285714286	0.0324285714285714	0.223571428571429	0.0904285714285714	0.303428571428571	0.124857142857143	0.0801428571428571	0.137571428571429	0.0785714285714286	0.139571428571429	0.142857142857143	0.134285714285714	0.235142857142857	0.116714285714286	0.163571428571429	0.0832857142857143	0.143571428571429	0.120571428571429	0.112857142857143	0.101285714285714	0.166	0.196857142857143	0.132571428571429	0.257857142857143	0.169571428571429	0.231285714285714	0.0418571428571429	0.148857142857143	0.0885714285714286	0.173	0.249571428571429	0.0922857142857143	0.238714285714286	0.179714285714286	0.211857142857143	0.0988571428571429	0.162285714285714	0.130428571428571	0.204571428571429	0.183857142857143	0.179142857142857	0.192714285714286	0.0524285714285714	0.153428571428571	0.158428571428571	0.103857142857143	0.172857142857143	0.065	0.178	0.0761428571428571	0.207	0.208428571428571	0.0692857142857143	0.0518571428571429	0.108714285714286	0.0575714285714286	0.0307142857142857	0.0292857142857143	0.104714285714286	0.0955714285714286	0.163142857142857	0.192	0.238571428571429	0.128285714285714	0.178571428571429	0.121428571428571	0.112	0.0408571428571429	0.122857142857143	0.0562857142857143	0.137285714285714	0.114142857142857	0.151142857142857	0.109	0.159285714285714	0.025	0.0462857142857143	0.0577142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.198285714285714	0.230857142857143	0.348142857142857	0.302	0.314428571428571	0.368571428571429	0.118571428571429	0.044	0.0568571428571429	0.260142857142857	0.233142857142857	0.293428571428571	0.006	0.237857142857143	0.0984285714285714	0.0115714285714286	0.224714285714286	0.165	0.471	0.148571428571429	0.170857142857143	0.167285714285714	0.151285714285714	0.0894285714285714	0.343285714285714	0.115	0.162142857142857	0.112714285714286	0.148571428571429	0.0108571428571429	0.0535714285714286	0.394714285714286	0.136	0.104857142857143	0.0151428571428571	0.12	0.246571428571429	0.293285714285714	0.219714285714286	0.361857142857143	0.205	0.195571428571429	0.218857142857143	0.075	0.184428571428571	0.0597142857142857	0.004	0.114571428571429	0.0602857142857143	0.0371428571428571	0.0815714285714286	0.00128571428571429	0.0575714285714286	0.0248571428571429	0.0357142857142857	0.358428571428571	0.0178571428571429	0.00557142857142857	0.139571428571429	0.062	0.022	0.0912857142857143	0.145857142857143	0.0221428571428571	0.224428571428571	0.0758571428571429	0.069	0.114714285714286	0.0288571428571429	0.223714285714286	0.124428571428571	0.0212857142857143	0.0852857142857143	0.0285714285714286	0.108285714285714	0.0688571428571429	0.265714285714286	0.0977142857142857	0.167571428571429	0.0555714285714286	0.204285714285714	0.0455714285714286	0.0895714285714286	0.159	0.137285714285714	0.230285714285714	0.162142857142857	0.136571428571429	0.242714285714286	0.052	0.0661428571428571	0.131285714285714	0.119714285714286	0.125285714285714	0.126	0.0567142857142857	0.135	0.0518571428571429	0.219	0.0471428571428571	0.0961428571428571	0.117714285714286	0.0365714285714286	0.209428571428571	0.0397142857142857	0.188285714285714	0.267142857142857	0.041	0.162714285714286	0.127714285714286	0.0467142857142857	0.227857142857143	0.0132857142857143	0.036	0.186714285714286	0.133285714285714	0.125142857142857	0.0801428571428571	0.105857142857143	0.0207142857142857	0.268142857142857	0.107142857142857	0.003	0.097	0.137	0.242428571428571	0.0114285714285714	0.0948571428571429	0.0665714285714286	0.441428571428571	0.160857142857143	0.138857142857143	0.0952857142857143	0.0344285714285714	0.035	0.038	0.308142857142857	0.0181428571428571	0.0575714285714286	0.0144285714285714	0.246714285714286	0.144428571428571	0.0894285714285714	0.00785714285714286	0.219142857142857	0.0162857142857143	0.001	0.222
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.0188571428571429	0	0.000142857142857143	0	0.000142857142857143	0	0	0.028	0.0165714285714286	0	0	0.00828571428571429	0.000428571428571429	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0.000714285714285714	0	0.0294285714285714	0.0754285714285714	0.234142857142857	0	0.0441428571428571	0.00142857142857143	0.0292857142857143	0.796	0	0	0	0.000285714285714286	0.593428571428571	0	0.000428571428571429	0	0	0	0.122285714285714	0.275285714285714	0	0.471142857142857	0	0.0808571428571429	0.742857142857143	0	0.000285714285714286	0.00557142857142857	0.077	0.880571428571429	0.102142857142857	0.537285714285714	0	0	0.000142857142857143	0.727857142857143	0.000142857142857143	0.056	0.430428571428571	0.0732857142857143	0	0.000142857142857143	0	0.329571428571429	0	0.024	0.000142857142857143	0.000142857142857143	0.0268571428571429	0.000285714285714286	0.203142857142857	0.000285714285714286	0.008	0.402285714285714	0	0.014	0.198142857142857	0	0	0.299428571428571	0.171857142857143	0.000142857142857143	0	0.000142857142857143	0.00957142857142857	0.0124285714285714	0	0.606571428571429	0.0212857142857143	0.000142857142857143	0.000714285714285714	0	0.0621428571428571	0	0	0.0335714285714286	0	0.0291428571428571	0.0581428571428571	0.377	0	0	0.193142857142857	0	0	0.661714285714286	0.0105714285714286	0	0.0474285714285714	0	0.870571428571429	0.000285714285714286	0	0.00357142857142857	0	0.197285714285714	0	0.784428571428571	0.0135714285714286	0.350285714285714	0.000857142857142857	0.344142857142857	0	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000142857142857143	0	0	0	0	0.140857142857143	0	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0.0861428571428571	0.0614285714285714	0.723857142857143	0	0.00114285714285714	0.564	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.132285714285714	0	0	0.0182857142857143	0.0354285714285714	0	0	0	0.00114285714285714	0	0	0.00171428571428571	0.0667142857142857	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000142857142857143	0	0	0.137857142857143	0.000142857142857143	0.044	0.063	0.068	0.0694285714285714	0.0155714285714286	0.176142857142857	0.0902857142857143	0.00585714285714286	0	0.000285714285714286	0.000142857142857143	0	0.00271428571428571	0	0.186142857142857	0.0634285714285714	0.0682857142857143	0	0.0311428571428571	0.0481428571428571	0.008	0.00442857142857143	0	0.0531428571428571	0.00214285714285714	0.029	0.000714285714285714	0.323	0.111	0.00242857142857143	0.0842857142857143	0.0585714285714286	0	0	0.000142857142857143	0.00971428571428571	0	0.0528571428571429	0.126	0.0688571428571429	0.0847142857142857	0.214428571428571	0	0.0462857142857143	0	0.0144285714285714	0.000428571428571429	0.000285714285714286	0.0595714285714286	0.000571428571428571	0.137714285714286	0.287428571428571	0.265857142857143	0.0384285714285714	0.000285714285714286	0.119714285714286	0.0174285714285714	0	0.000142857142857143	0.138285714285714	0.247714285714286	0.0638571428571429	0.000428571428571429	0	0.326285714285714	0.064	0	0.0428571428571429	0.110571428571429	0.0292857142857143	0.0908571428571429	0.127714285714286	0.06	0	0.00185714285714286	0.083	0.0411428571428571	0.0641428571428571	0.174571428571429	0.0134285714285714	0	0	0.0305714285714286	0.0341428571428571	0.0511428571428571	0.00571428571428571	0.238285714285714	0.0958571428571429	0.260285714285714	0.0915714285714286	0.002	0.102428571428571	0.0628571428571429	0.519285714285714	0	0.00757142857142857	0	0.00157142857142857	0.110428571428571	0.0502857142857143	0.211	0.0165714285714286	0	0	0.000428571428571429	0.252714285714286	0.197714285714286	0	0	0.0707142857142857	0.000428571428571429	0	0.000714285714285714	0.0824285714285714	0	0.481285714285714	0.136	0.000428571428571429	0	0.0705714285714286	0.0695714285714286	0.001	0	0.693571428571429	0.00857142857142857	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0431428571428571	0.00914285714285714	0.0132857142857143	0.00342857142857143	0.0251428571428571	0.017	0.0152857142857143	0	0.00871428571428571	0.0301428571428571	0.0212857142857143	0.0318571428571429	0.00485714285714286	0.0422857142857143	0.0645714285714286	0.0132857142857143	0.0782857142857143	0.0572857142857143	0.0695714285714286	0.218142857142857	0.0737142857142857	0.0428571428571429	0.184285714285714	0.140857142857143	0	0.0527142857142857	0.0485714285714286	0.0565714285714286	0.103285714285714	0.00414285714285714	0.011	0.0742857142857143	0.0622857142857143	0.048	0.00714285714285714	0.0358571428571429	0.0511428571428571	0.049	0.0312857142857143	0.0587142857142857	0.0485714285714286	0.0191428571428571	0.0257142857142857	0.0252857142857143	0.0408571428571429	0.051	0.00257142857142857	0.038	0.0168571428571429	0.0161428571428571	0.0585714285714286	0.00342857142857143	0.081	0.0191428571428571	0.00657142857142857	0.0604285714285714	0.000285714285714286	0.00385714285714286	0.0197142857142857	0.0427142857142857	0.016	0.0991428571428571	0.0698571428571429	0.0297142857142857	0.0214285714285714	0.0202857142857143	0.014	0.206142857142857	0.005	0.0361428571428571	0.058	0.00428571428571429	0.0168571428571429	0.0151428571428571	0.0302857142857143	0.0467142857142857	0.0455714285714286	0.0655714285714286	0.0664285714285714	0.0284285714285714	0.0147142857142857	0.0127142857142857	0.0157142857142857	0.114428571428571	0.0338571428571429	0.124	0.0292857142857143	0.148428571428571	0.053	0.012	0.0634285714285714	0.102	0.0681428571428571	0.0238571428571429	0.172428571428571	0.0127142857142857	0.00314285714285714	0.0717142857142857	0.124285714285714	0.0495714285714286	0.034	0.0522857142857143	0.0167142857142857	0.052	0.0138571428571429	0.197571428571429	0.108285714285714	0.0234285714285714	0.0591428571428571	0.112714285714286	0.0168571428571429	0.104142857142857	0.00642857142857143	0.227571428571429	0.0634285714285714	0.0482857142857143	0.009	0.0171428571428571	0.0408571428571429	0.00671428571428571	0.0285714285714286	0.0214285714285714	0.00642857142857143	0.0244285714285714	0.0277142857142857	0.0464285714285714	0.005	0.00814285714285714	0.0321428571428571	0.0527142857142857	0.0431428571428571	0.0815714285714286	0.0651428571428571	0.027	0.0267142857142857	0.0231428571428571	0.0754285714285714	0.0122857142857143	0.0274285714285714	0.0147142857142857	0.0814285714285714	0.0654285714285714	0.0481428571428571	0.003	0.0932857142857143	0.0115714285714286	0.00128571428571429	0.0477142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0148571428571429	0.0174285714285714	0.0618571428571429	0.00342857142857143	0.248571428571429	0.0618571428571429	0.0245714285714286	0.000285714285714286	0.0442857142857143	0.0591428571428571	0.0278571428571429	0.0805714285714286	0.000142857142857143	0.025	0.0375714285714286	0.00871428571428571	0.006	0.046	0.0365714285714286	0.108571428571429	0.0277142857142857	0.0242857142857143	0.0281428571428571	0.0351428571428571	0.0217142857142857	0.0475714285714286	0.0642857142857143	0.0674285714285714	0.0298571428571429	0.00357142857142857	0.0255714285714286	0.0305714285714286	0.0264285714285714	0.0367142857142857	0.0122857142857143	0.0405714285714286	0.0834285714285714	0.0718571428571429	0.0352857142857143	0.03	0.0544285714285714	0.0448571428571429	0.065	0.0528571428571429	0.158	0.0494285714285714	0.00257142857142857	0.0587142857142857	0.00628571428571429	0.018	0.0532857142857143	0.00128571428571429	0.0298571428571429	0.0132857142857143	0.0162857142857143	0.0144285714285714	0	0.00342857142857143	0.0972857142857143	0.0427142857142857	0.0121428571428571	0.0561428571428571	0.108428571428571	0.0172857142857143	0.0242857142857143	0.0255714285714286	0.0144285714285714	0.085	0.0205714285714286	0.0451428571428571	0.0714285714285714	0.006	0.058	0.0158571428571429	0.0908571428571429	0.0642857142857143	0.0284285714285714	0.0395714285714286	0.129714285714286	0.0441428571428571	0.0921428571428571	0.0358571428571429	0.0677142857142857	0.0542857142857143	0.0415714285714286	0.119714285714286	0.118285714285714	0.0434285714285714	0.0554285714285714	0.0388571428571429	0.0398571428571429	0.0405714285714286	0.0447142857142857	0.0495714285714286	0.0855714285714286	0.0251428571428571	0	0.044	0.171571428571429	0.0428571428571429	0.0355714285714286	0.0447142857142857	0.0165714285714286	0.0504285714285714	0.0287142857142857	0.000285714285714286	0.100571428571429	0.0161428571428571	0.128	0	0.0348571428571429	0.0508571428571429	0.00242857142857143	0.00257142857142857	0.147	0.031	0.0492857142857143	0.0594285714285714	0.0657142857142857	0.00457142857142857	0.0645714285714286	0.0275714285714286	0.00242857142857143	0.0245714285714286	0.0174285714285714	0.00885714285714286	0.00742857142857143	0.0128571428571429	0.0354285714285714	0.0101428571428571	0.041	0.102571428571429	0.00485714285714286	0.015	0.00771428571428571	0.0311428571428571	0.0634285714285714	0.014	0.0144285714285714	0.00271428571428571	0.175571428571429	0.0997142857142857	0.071	0.00385714285714286	0.0385714285714286	0.0107142857142857	0.001	0.0231428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.103285714285714	0.00171428571428571	0.0315714285714286	0.0457142857142857	0.000285714285714286	0.00185714285714286	0.000571428571428571	0.468571428571429	0.233857142857143	0	0.00228571428571429	0.0444285714285714	0.135571428571429	0	0	0.000285714285714286	0	0.296857142857143	0	0.119	0.0285714285714286	0.000285714285714286	0	0.0131428571428571	0.000285714285714286	0.086	0.0218571428571429	0.006	0.0871428571428571	0	0.0655714285714286	0	0.000428571428571429	0.000142857142857143	0	0.000142857142857143	0.0124285714285714	0	0.0355714285714286	0	0.0398571428571429	0	0.18	0.013	0.00128571428571429	0.0804285714285714	0.000142857142857143	0.00571428571428571	0.000142857142857143	0	0.0187142857142857	0	0.0341428571428571	0.00385714285714286	0.338714285714286	0	0	0	0.004	0.0285714285714286	0.0131428571428571	0.00685714285714286	0	0.000285714285714286	0.0151428571428571	0	0.000142857142857143	0.0128571428571429	0.000571428571428571	0	0.00671428571428571	0.0195714285714286	0	0.00285714285714286	0.000571428571428571	0.00285714285714286	0.00685714285714286	0.0121428571428571	0.00142857142857143	0.000714285714285714	0.00628571428571429	0	0	0.000142857142857143	0.00185714285714286	0	0.001	0.000428571428571429	0	0	0	0.000428571428571429	0.082	0	0.001	0.00257142857142857	0.000428571428571429	0	0.000142857142857143	0.024	0	0.0221428571428571	0.0238571428571429	0.00514285714285714	0.0208571428571429	0.000714285714285714	0.000428571428571429	0	0.000571428571428571	0.000142857142857143	0	0	0	0.000285714285714286	0	0.00242857142857143	0.0828571428571429	0.0365714285714286	0	0	0	0	0	0.0211428571428571	0.00771428571428571	0.0257142857142857	0.0148571428571429	0.222142857142857	0.00485714285714286	0.00985714285714286	0.0168571428571429	0.000142857142857143	0	0.0762857142857143	0	0.0598571428571429	0.00185714285714286	0.000571428571428571	0.000571428571428571	0.000857142857142857	0	0.0364285714285714	0.0312857142857143	0.00185714285714286	0.0462857142857143	0.0185714285714286	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0	0.0852857142857143	0.0474285714285714	0	0.0124285714285714	0.082	0.082	0	0.000428571428571429	0.000142857142857143	0.0448571428571429	0	0.000714285714285714	0.000142857142857143	0.112428571428571	0.153	0	0	0.000428571428571429	0	0	0.0662857142857143	0.000571428571428571	0.001	0.000142857142857143	0	0	0.000285714285714286	0.000285714285714286	0.0191428571428571	0.0127142857142857	0.000142857142857143	0.149857142857143	0.00114285714285714	0.0268571428571429	0.168142857142857	0	0.0118571428571429	0.0277142857142857	0.000285714285714286	0.000285714285714286	0.000714285714285714	0	0	0.0498571428571429	0.003	0.0772857142857143	0.0482857142857143	0.001	0.000428571428571429	0.000142857142857143	0.00771428571428571	0.000285714285714286	0.000428571428571429	0.0371428571428571	0	0.000142857142857143	0.0525714285714286	0.0525714285714286	0.00114285714285714	0.000285714285714286	0.000285714285714286	0.00342857142857143	0.00114285714285714	0.0382857142857143	0.000714285714285714	0.000857142857142857	0.000142857142857143	0.311571428571429	0.000285714285714286	0.000285714285714286	0.148142857142857	0.00114285714285714	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000714285714285714	0	0.178857142857143	0.0494285714285714	0.001	0.000285714285714286	0.00114285714285714	0.000285714285714286	0.000428571428571429	0.000285714285714286	0	0.00128571428571429	0	0.00142857142857143	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.126428571428571	0	0.000428571428571429	0.000142857142857143	0.001	0.000428571428571429	0.000142857142857143	0.128714285714286	0.000714285714285714	0.000285714285714286	0	0	0.00142857142857143	0	0	0.00157142857142857	0	0.00542857142857143	0	0.001	0.000142857142857143	0.0485714285714286	0.000142857142857143	0.00228571428571429	0.0215714285714286	0.000428571428571429	0.000142857142857143	0.00157142857142857	0.000142857142857143	0.0811428571428571	0	0.283	0.000285714285714286	0.000285714285714286	0	0.084	0.0194285714285714	0	0.0202857142857143	0.000571428571428571	0	0.000285714285714286	0.0221428571428571	0.0658571428571429	0.273857142857143	0.0122857142857143	0.000142857142857143	0.00228571428571429	0.0465714285714286	0.000285714285714286	0.000428571428571429	0.151285714285714	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0161428571428571	0.005	0.004	0.00571428571428571	0	0.0115714285714286	0.0227142857142857	0	0.0105714285714286	0	0.017	0.0144285714285714	0.000714285714285714	0	0.0717142857142857	0.300428571428571	0	0	0	0	0	0.0552857142857143	0.0222857142857143	0.0191428571428571	0	0.019	0.016	0	0.011	0	0.012	0	0.0312857142857143	0	0	0.0218571428571429	0.000142857142857143	0	0.0472857142857143	0	0.0164285714285714	0.00214285714285714	0.00785714285714286	0.00885714285714286	0.0302857142857143	0.0185714285714286	0.0232857142857143	0.0294285714285714	0.000428571428571429	0	0.0182857142857143	0.00414285714285714	0.0172857142857143	0.0431428571428571	0.00771428571428571	0	0.0858571428571429	0.0238571428571429	0.017	0.00457142857142857	0.06	0.0172857142857143	0	0.000285714285714286	0.0134285714285714	0.02	0	0.00385714285714286	0.159428571428571	0	0	0.102	0.0142857142857143	0.164857142857143	0	0.0108571428571429	0	0	0.00742857142857143	0.0434285714285714	0.0172857142857143	0.0408571428571429	0.00914285714285714	0	0	0	0	0	0	0.00471428571428571	0	0.0231428571428571	0.0481428571428571	0	0.016	0.0358571428571429	0.011	0	0	0.0122857142857143	0.0131428571428571	0.0134285714285714	0.0458571428571429	0	0.00557142857142857	0.0344285714285714	0	0.00142857142857143	0	0.0597142857142857	0.0367142857142857	0	0.00242857142857143	0.0408571428571429	0	0.000142857142857143	0.0151428571428571	0.00885714285714286	0	0.00614285714285714	0.0191428571428571	0.0225714285714286	0.216571428571429	0.00914285714285714	0.0898571428571429	0.000142857142857143	0.250857142857143	0.0122857142857143	0.000142857142857143	0	0.0452857142857143	0.0491428571428571	0	0.0761428571428571	0	0.00642857142857143	0	0	0.0595714285714286	0.121428571428571	0.00442857142857143	0	0.02	0.0115714285714286	0	0.000142857142857143	0.0654285714285714	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.00914285714285714	0.0108571428571429	0.0242857142857143	0.005	0.0208571428571429	0.0201428571428571	0.0201428571428571	0	0.00842857142857143	0.017	0.0248571428571429	0.0141428571428571	0.002	0.0188571428571429	0.019	0.00142857142857143	0.0314285714285714	0	0.015	0	0.0318571428571429	0.0164285714285714	0.0695714285714286	0.0288571428571429	0.00285714285714286	0.0382857142857143	0.0185714285714286	0.0445714285714286	0.0548571428571429	0.005	0.00642857142857143	0.0167142857142857	0.0231428571428571	0.0207142857142857	0.0225714285714286	0.0237142857142857	0	0.0422857142857143	0.0305714285714286	0.00771428571428571	0.0552857142857143	0.0221428571428571	0.0147142857142857	0.0117142857142857	0.0168571428571429	0.0428571428571429	0.00414285714285714	0.0427142857142857	0.00214285714285714	0.003	0.0411428571428571	0.00885714285714286	0.0532857142857143	0.0137142857142857	0.00685714285714286	0.0315714285714286	0.002	0.00428571428571429	0.0567142857142857	0.065	0.0114285714285714	0.0357142857142857	0.0268571428571429	0.00514285714285714	0.0232857142857143	0.0145714285714286	0.014	0.0428571428571429	0.00385714285714286	0.0241428571428571	0.056	0.00442857142857143	0.0171428571428571	0.0182857142857143	0.0171428571428571	0.018	0.0122857142857143	0.0417142857142857	0.0134285714285714	0.0191428571428571	0.0155714285714286	0.00971428571428571	0.00971428571428571	0.0402857142857143	0.0287142857142857	0.014	0.00471428571428571	0.0282857142857143	0.006	0.008	0.032	0.0238571428571429	0.0202857142857143	0.014	0.0207142857142857	0.0168571428571429	0.00185714285714286	0.0587142857142857	0.0255714285714286	0.0887142857142857	0.0141428571428571	0.0281428571428571	0.0191428571428571	0.03	0.0138571428571429	0.00857142857142857	0.0268571428571429	0.0152857142857143	0.00557142857142857	0.022	0.00942857142857143	0.0592857142857143	0.00657142857142857	0.0192857142857143	0.0344285714285714	0.00414285714285714	0.0187142857142857	0.0107142857142857	0.0298571428571429	0.0102857142857143	0.0224285714285714	0.0158571428571429	0.00485714285714286	0.0128571428571429	0.019	0.0225714285714286	0.00371428571428571	0.00285714285714286	0.0122857142857143	0.0202857142857143	0.0287142857142857	0.00671428571428571	0.0577142857142857	0.0194285714285714	0.0257142857142857	0.0238571428571429	0.015	0.00671428571428571	0.0404285714285714	0.00785714285714286	0.0134285714285714	0.0347142857142857	0.0408571428571429	0.00328571428571429	0.018	0.00214285714285714	0.00142857142857143	0.0151428571428571
