"Taxa"	"marshmallow24"	"marshmallow37"	"marshmallow41"	"marshmallow44"	"marshmallow49"	"marshmallow53"	"marshmallow60"	"marshmallow70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum|s__Anaerobiospirillum thomasii"	0.593428571428571	0.537285714285714	0.430428571428571	0.402285714285714	0.377	0.870571428571429	0.140857142857143	0.564
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.201142857142857	0.049	0.0585714285714286	0.124857142857143	0.0922857142857143	0.0524285714285714	0.121428571428571	0.0462857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.00271428571428571	0.0585714285714286	0.126	0.0384285714285714	0.0134285714285714	0.002	0.0824285714285714	0.00857142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.0151428571428571	0.0248571428571429	0.022	0.0688571428571429	0.117714285714286	0.0132857142857143	0.038	0.001
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0	0.00257142857142857	0.00914285714285714	0.00185714285714286	0.0132857142857143	0.000142857142857143	0.188428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0	0.0431428571428571	0.06	0.0108571428571429	0.0134285714285714	0.00242857142857143	0.00642857142857143	0.0654285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0268571428571429	0.000428571428571429	0.000142857142857143	0.000285714285714286	0	0.00542857142857143	0	0.151285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0122857142857143	0.0132857142857143	0.0121428571428571	0.0642857142857143	0.0447142857142857	0.00242857142857143	0.0311428571428571	0.001
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.00714285714285714	0.0191428571428571	0.016	0.0467142857142857	0.0522857142857143	0.00642857142857143	0.0231428571428571	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0225714285714286	0.0137142857142857	0.0114285714285714	0.018	0.0281428571428571	0.00657142857142857	0.0238571428571429	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0178571428571429	0.0152857142857143	0.0107142857142857	0.0148571428571429	0.0224285714285714	0.005	0.02	0.00185714285714286
