"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.585	0.165285714285714	0.481	0.492714285714286	0.356857142857143	0.334142857142857	0.377571428571429	0.318428571428571	0.248857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.262857142857143	0.115285714285714	0.131571428571429	0.166857142857143	0.414714285714286	0.426571428571429	0.154857142857143	0.471428571428571	0.295142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00985714285714286	0.641	0.141142857142857	0.136428571428571	0.0558571428571429	0.0698571428571429	0.288714285714286	0.0325714285714286	0.342714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.102142857142857	0.0668571428571429	0.217285714285714	0.168285714285714	0.134142857142857	0.144	0.144	0.132428571428571	0.0862857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0255714285714286	0.004	0.0174285714285714	0.0225714285714286	0.0141428571428571	0.0197142857142857	0.0124285714285714	0.023	0.0151428571428571
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.01	0.00242857142857143	0.00114285714285714	0.00342857142857143	0.0154285714285714	0.00428571428571429	0.0157142857142857	0.0162857142857143	0.00971428571428571
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0.00342857142857143	0.00685714285714286	0.005	0.00657142857142857	0.000714285714285714	0.00585714285714286	0.00185714285714286	0.000142857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00242857142857143	0.00142857142857143	0.00342857142857143	0.003	0.00185714285714286	0.000428571428571429	0.000285714285714286	0.00285714285714286	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00185714285714286	0	0.000142857142857143	0.00128571428571429	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000857142857142857	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.000285714285714286	0	0.000142857142857143	0	0	0.000285714285714286	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000142857142857143	0	0	0.000285714285714286	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria"	0.000142857142857143	0	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Aquificae|c__Aquificae"	0	0	0	0	0	0.000142857142857143	0	0	0
