"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.331285714285714	0.511714285714286	0.374571428571429	0.298857142857143	0.268285714285714	0.252285714285714	0.452857142857143	0.382285714285714	0.248428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.153714285714286	0.195	0.111428571428571	0.205	0.185714285714286	0.0757142857142857	0.057	0.124285714285714	0.281571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.254714285714286	0.093	0.145571428571429	0.0734285714285714	0.125714285714286	0.0948571428571429	0.0974285714285714	0.0678571428571429	0.122857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.145571428571429	0.0781428571428571	0.206857142857143	0.0801428571428571	0.179714285714286	0.0575714285714286	0.0955714285714286	0.112	0.0577142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0	0.00314285714285714	0.106571428571429	0.0678571428571429	0.425	0.200714285714286	0.063	0.00885714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0801428571428571	0.106428571428571	0.0862857142857143	0.0768571428571429	0.0991428571428571	0.0612857142857143	0.0714285714285714	0.134428571428571	0.0742857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00457142857142857	0.00685714285714286	0.009	0.0532857142857143	0.0428571428571429	0.009	0.00685714285714286	0.0504285714285714	0.0545714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00728571428571429	0.00285714285714286	0.0311428571428571	0.0258571428571429	0.00985714285714286	0.00285714285714286	0.00585714285714286	0.0281428571428571	0.0414285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0.0635714285714286	0	0	0	0	0.0837142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0141428571428571	0	0.0227142857142857	0.00914285714285714	0.00942857142857143	0.00728571428571429	0.00457142857142857	0.0197142857142857	0.014
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00571428571428571	0.006	0.008	0.00628571428571429	0.011	0.0138571428571429	0.00628571428571429	0.00871428571428571	0.00714285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000285714285714286	0	0.001	0	0.000142857142857143	0.000142857142857143	0.001	0.00571428571428571	0.000142857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000857142857142857	0	0.000142857142857143	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.000571428571428571	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142857142857143	0	0	0	0	0.000142857142857143	0.000285714285714286	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000428571428571429	0	0	0	0.000142857142857143	0	0	0.000857142857142857	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0	0	0.00128571428571429	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000571428571428571	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0.000428571428571429	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales"	0	0	0	0	0	0	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0.000142857142857143	0	0	0	0	0	0	0	0
